"Date","RCOM.NS.Open","RCOM.NS.High","RCOM.NS.Low","RCOM.NS.Close","RCOM.NS.Volume","RCOM.NS.Adjusted"
2015-01-01,80,84.2,80,83.25,8181200,83.25
2015-01-02,83.15,83.9,82.25,82.8,4638900,82.8
2015-01-05,82.85,83.7,81.15,81.6,4063600,81.6
2015-01-06,82,83.2,79.15,79.6,7410700,79.6
2015-01-07,79.05,80.7,77.7,78.45,5911100,78.45
2015-01-08,79,80.2,78.1,78.65,9269600,78.65
2015-01-09,79.65,79.85,76.05,77.05,6091800,77.05
2015-01-12,77.4,78.9,76.1,78,4819800,78
2015-01-13,78.1,78.55,75.85,76.45,4428500,76.45
2015-01-14,76.35,77.4,75.05,75.4,3799700,75.4
2015-01-15,75.55,78.95,75.3,78.45,5782600,78.45
2015-01-16,78.15,78.9,77.15,78.25,3403600,78.25
2015-01-19,78.45,80.95,77.9,79.6,4671900,79.6
2015-01-20,79.7,82.3,79.05,80.6,6325000,80.6
2015-01-21,80.95,80.95,79.05,80.1,4372900,80.1
2015-01-22,80.25,80.75,79.15,79.8,3261600,79.8
2015-01-23,80,82.75,78.6,82.2,6794100,82.2
2015-01-26,82.2,82.2,82.2,82.2,0,82.2
2015-01-27,82.85,83.75,81.55,82,4508000,82
2015-01-28,81.75,82.65,79.1,79.65,4904600,79.65
2015-01-29,80,80.5,78.3,78.7,8029800,78.7
2015-01-30,79.3,83.3,78.75,79.6,7752900,79.6
2015-02-02,80,81.2,79.25,80.55,4644300,80.55
2015-02-03,81.05,81.15,77,77.5,7739000,77.5
2015-02-04,78.3,78.9,77.2,77.7,3350300,77.7
2015-02-05,77.8,78.3,71,72.25,10436000,72.25
2015-02-06,71.5,72.6,70.1,70.75,6612800,70.75
2015-02-09,70.4,70.75,67.3,67.7,6851800,67.7
2015-02-10,67.5,70.65,66.5,68.4,8620300,68.4
2015-02-11,69,70.95,68.8,70.35,4265300,70.35
2015-02-12,70.4,71.8,69.9,71.15,4297200,71.15
2015-02-13,71.45,72.5,70.55,72.05,4124900,72.05
2015-02-16,74,76.4,73.5,75.1,7351500,75.1
2015-02-17,75.1,75.1,75.1,75.1,0,75.1
2015-02-18,75.45,75.7,72.9,73.4,4247600,73.4
2015-02-19,73.55,73.85,69.7,71.35,5040800,71.35
2015-02-20,71.1,73.1,71.1,72,3928800,72
2015-02-23,72.35,72.35,69.3,70.25,4599500,70.25
2015-02-24,70.3,70.5,68.4,68.8,6225300,68.8
2015-02-25,69.15,70.35,67.3,69,8668500,69
2015-02-26,68.9,69.25,67.05,67.4,6875900,67.4
2015-02-27,68,70.05,67.3,69.8,5915700,69.8
2015-03-02,69.05,69.1,65.3,65.8,7567800,65.8
2015-03-03,65.8,67.2,65.25,66.15,6321500,66.15
2015-03-04,67,69.9,66,66.75,13818900,66.75
2015-03-05,67.15,68.2,66,66.85,6560300,66.85
2015-03-06,66.85,66.85,66.85,66.85,0,66.85
2015-03-09,66.5,67,62.4,62.85,9698800,62.85
2015-03-10,62.6,67.15,61.65,64.5,14695100,64.5
2015-03-11,64.5,66.95,63.95,66.4,10208300,66.4
2015-03-12,66.5,70.65,66.05,69.9,13277000,69.9
2015-03-13,70.75,72.25,69,70,12386100,70
2015-03-16,70.05,70.4,66.5,67.3,4518700,67.3
2015-03-17,67.5,68.15,66.1,67.2,4904800,67.2
2015-03-18,67.45,68.6,66.3,66.8,5070600,66.8
2015-03-19,67.35,68.15,62.8,63.65,6130800,63.65
2015-03-20,63.5,64.4,62.75,63.05,5835400,63.05
2015-03-23,63.15,64.1,61.35,62.5,3844900,62.5
2015-03-24,62.45,63.65,61.8,62.35,3979200,62.35
2015-03-25,62.45,62.75,61,61.25,3404000,61.25
2015-03-26,61,61.9,59.45,60.1,11855700,60.1
2015-03-27,60.9,61.6,56.75,58.35,6879000,58.35
2015-03-30,59.4,60.45,58.7,60.25,4141100,60.25
2015-03-31,60.8,61.5,59,59.25,4460500,59.25
2015-04-01,59.25,61.4,58.85,60.7,4208100,60.7
2015-04-02,60.7,60.7,60.7,60.7,0,60.7
2015-04-03,60.7,60.7,60.7,60.7,0,60.7
2015-04-06,60.5,60.85,59.1,60.05,3945900,60.05
2015-04-07,60.3,61.5,59.2,61.1,4900100,61.1
2015-04-08,61.15,63.3,61.15,62.65,5789100,62.65
2015-04-09,63,64.4,62.85,63.45,6877400,63.45
2015-04-10,63.7,74.3,62.65,71.95,43725300,71.95
2015-04-13,72.35,74.2,71.45,73.1,14756300,73.1
2015-04-14,73.1,73.1,73.1,73.1,0,73.1
2015-04-15,72.25,75.45,70.8,72.05,13307100,72.05
2015-04-16,72,73.05,69.2,70.45,10188800,70.45
2015-04-17,70.45,72.4,69.6,69.9,7872100,69.9
2015-04-20,70.05,70.55,65.4,66,6960600,66
2015-04-21,66.15,67.4,65.25,65.55,5541300,65.55
2015-04-22,65.3,66.2,64.1,65.75,6377900,65.75
2015-04-23,66.1,66.75,64.1,64.8,5410600,64.8
2015-04-24,65,65.65,63.1,63.65,5985400,63.65
2015-04-27,63.8,64,60.95,61.45,4135100,61.45
2015-04-28,61.9,63.25,61.5,62.9,4597500,62.9
2015-04-29,63,63.45,61.4,61.65,3541300,61.65
2015-04-30,61.6,61.75,59.75,60.5,7318100,60.5
2015-05-01,60.5,60.5,60.5,60.5,0,60.5
2015-05-04,60.75,63.3,60.75,62.85,4929700,62.85
2015-05-05,63.5,69.9,63.15,67.95,21282000,67.95
2015-05-06,68.25,69.45,62.55,63,13573100,63
2015-05-07,63.25,64.5,60,61.35,8797400,61.35
2015-05-08,62.5,63.4,61.5,62.6,6096200,62.6
2015-05-11,63,66.15,63,64.8,6370400,64.8
2015-05-12,65.2,65.5,60.8,61.25,7172500,61.25
2015-05-13,62,64.65,61.75,64.3,9678000,64.3
2015-05-14,63.65,66,63.1,65.3,9189200,65.3
2015-05-15,66.3,66.3,64,65.1,6715000,65.1
2015-05-18,65.95,68.5,65.15,67.6,8724200,67.6
2015-05-19,67.45,69.2,66.3,68.55,9644700,68.55
2015-05-20,69,69.1,65,65.9,8468800,65.9
2015-05-21,66,66.25,64.1,64.7,4510300,64.7
2015-05-22,64.95,65.1,63.5,64.05,4879900,64.05
2015-05-25,64.1,65.9,63.5,63.95,5877200,63.95
2015-05-26,64,64.65,63.1,63.75,3898600,63.75
2015-05-27,62.8,63.75,62.5,63,4111500,63
2015-05-28,63.25,64.85,62.15,64.55,7547000,64.55
2015-05-29,64.25,68.9,64.25,68.05,14821700,68.05
2015-06-01,68.75,68.75,65.55,65.85,4471200,65.85
2015-06-02,65.85,66.25,63.4,63.65,4821600,63.65
2015-06-03,63.6,64.6,54.6,59.2,10450100,59.2
2015-06-04,59.4,60.6,56.15,60.15,8661200,60.15
2015-06-05,59.4,60.85,59,60,5846600,60
2015-06-08,60.9,60.95,57.1,60.05,8525200,60.05
2015-06-09,59.9,61.3,59.5,60.4,5716500,60.4
2015-06-10,60.4,60.7,59.25,59.7,6068800,59.7
2015-06-11,60.45,60.5,57,57.55,7478700,57.55
2015-06-12,57.7,60.15,56.55,58.55,11917200,58.55
2015-06-15,59.25,60.5,58.4,58.85,7802900,58.85
2015-06-16,59.75,60.55,57.55,58.65,9561600,58.65
2015-06-17,59,59.9,58.15,58.8,6007000,58.8
2015-06-18,58.75,59.6,58.05,59.05,7218400,59.05
2015-06-19,59.9,59.9,58.05,58.7,6120600,58.7
2015-06-22,58.8,61.2,58.35,59.65,12799600,59.65
2015-06-23,59.95,60.3,59.2,59.85,7028300,59.85
2015-06-24,60,60.25,57.45,58,8419200,58
2015-06-25,57.7,58.3,57.3,58.05,8766900,58.05
2015-06-26,57.9,63.3,56.7,61.6,25605000,61.6
2015-06-29,59.65,62.7,58.9,61.8,18828600,61.8
2015-06-30,62.2,63.6,61.2,62.1,12555600,62.1
2015-07-01,62.2,64,61.85,62.7,9266100,62.7
2015-07-02,63.4,66.2,62.85,64.45,16014900,64.45
2015-07-03,64,65.05,62.55,63.35,8816600,63.35
2015-07-06,62.35,64.8,62.05,64.35,6310700,64.35
2015-07-07,64.75,65.6,63.6,64.2,10155700,64.2
2015-07-08,63.2,67.7,62.5,67.1,17252600,67.1
2015-07-09,68,68.7,65.85,66.85,14620700,66.85
2015-07-10,67.6,67.85,65.1,66.75,11100300,66.75
2015-07-13,66.9,68.15,66.6,67.45,6380200,67.45
2015-07-14,67,68.25,66.8,67.2,5539400,67.2
2015-07-15,67.4,70.35,67.15,69.65,12647300,69.65
2015-07-16,69.65,70,68.3,68.7,7104400,68.7
2015-07-17,68.7,71.2,68.1,70,9293700,70
2015-07-20,70.1,71.35,69.4,69.85,6639400,69.85
2015-07-21,69.6,70.55,66.8,67.45,7906500,67.45
2015-07-22,67.45,69.25,67.1,68.95,5267800,68.95
2015-07-23,69.25,70.1,68.5,69.1,6006500,69.1
2015-07-24,69.3,69.9,67.75,68,4273800,68
2015-07-27,68,69.65,66.8,67.15,6347000,67.15
2015-07-28,67.5,68.25,65.35,65.75,5883300,65.75
2015-07-29,65.95,66.6,63.7,65.05,6189000,65.05
2015-07-30,65.7,69,65.15,68.4,10687300,68.4
2015-07-31,69.7,72.5,68.85,70.5,11108400,70.5
2015-08-03,70.45,71.85,70.1,70.85,5036000,70.85
2015-08-04,70.7,72.05,69.4,70.4,6835700,70.4
2015-08-05,70.8,73.95,70.6,72.5,8886400,72.5
2015-08-06,72.65,72.95,71.4,72.5,4240900,72.5
2015-08-07,72.5,74.45,71.15,73.3,5486100,73.3
2015-08-10,74,74.85,71.6,72.15,4873200,72.15
2015-08-11,72.25,72.85,69.8,70.4,5059700,70.4
2015-08-12,69.7,70.7,66.35,66.7,5574800,66.7
2015-08-13,68,69.1,58.75,60.1,31323700,60.1
2015-08-14,60.8,62.2,58.2,60.9,13394000,60.9
2015-08-17,60,63.7,58.6,62.25,11096500,62.25
2015-08-18,62.75,63.25,60.65,61.35,6690900,61.35
2015-08-19,61.5,62.8,60.7,61.05,5424000,61.05
2015-08-20,60.9,62.55,60.15,61.25,7543200,61.25
2015-08-21,60,61.25,58.9,60.25,6336600,60.25
2015-08-24,58.75,58.75,49.5,50.5,9982600,50.5
2015-08-25,51.4,53.45,45.5,50.6,14070400,50.6
2015-08-26,50.6,53.95,48.8,52.3,9723400,52.3
2015-08-27,53.35,55.35,52.3,54.5,8020500,54.5
2015-08-28,55.4,58.05,55,57.45,11174700,57.45
2015-08-31,57.9,60.9,56.65,60.4,13627500,60.4
2015-09-01,59.4,60.3,55.35,57.4,11899100,57.4
2015-09-02,57.95,60.35,57.7,59.2,9878200,59.2
2015-09-03,59.6,60.7,59.15,59.65,4859500,59.65
2015-09-04,59.05,59.5,56.65,58.55,6485800,58.55
2015-09-07,58.9,60,57.4,58.15,6460600,58.15
2015-09-08,58.8,58.8,51.35,55.75,10748300,55.75
2015-09-09,57,65.3,56.25,62.2,29165700,62.2
2015-09-10,61.9,65.4,61,65,27890100,65
2015-09-11,65.6,66.45,63.7,65,13447200,65
2015-09-14,65,67.45,64.5,66.95,8538200,66.95
2015-09-15,67,67.5,64.8,65.8,7269200,65.8
2015-09-16,66.4,67.1,64.6,65.45,6247900,65.45
2015-09-17,65.45,65.45,65.45,65.45,0,65.45
2015-09-18,66,67.1,65.15,66.4,7383500,66.4
2015-09-21,65.8,68.4,65.7,67.45,6354100,67.45
2015-09-22,67.5,67.8,62.9,64.25,7056500,64.25
2015-09-23,63.55,65.9,63,64.95,5102400,64.95
2015-09-24,65.2,65.5,64,64.5,4455100,64.5
2015-09-25,64.5,64.5,64.5,64.5,0,64.5
2015-09-28,64.5,65.7,63.7,64.25,4086100,64.25
2015-09-29,63,65.45,62.75,63.95,6820900,63.95
2015-09-30,64.55,68.65,64.05,67.85,20970500,67.85
2015-10-01,68.75,72.4,68.4,69.05,21556900,69.05
2015-10-02,69.05,69.05,69.05,69.05,0,69.05
2015-10-05,69.7,72.5,68.6,72.2,11979500,72.2
2015-10-06,72.5,73,71.2,71.85,7316000,71.85
2015-10-07,71.5,76.8,71,75.9,16669300,75.9
2015-10-08,76.4,77.4,74.8,76.2,14070900,76.2
2015-10-09,77,77.1,74.35,75.3,7515700,75.3
2015-10-12,75.7,77.15,74.15,74.9,7513700,74.9
2015-10-13,75.05,78.2,74.8,77.8,10682400,77.8
2015-10-14,77.95,79.1,77.1,77.45,7367200,77.45
2015-10-15,77.9,78.8,77.45,78.1,4451200,78.1
2015-10-16,77.5,81.85,77.5,81.5,16106500,81.5
2015-10-19,81.8,83,81,82.15,9339200,82.15
2015-10-20,81.5,82.7,79.65,80.55,6503500,80.55
2015-10-21,81.5,82.85,80.6,81.3,7682300,81.3
2015-10-22,81.3,81.3,81.3,81.3,0,81.3
2015-10-23,82.3,82.75,78.9,79.45,8667900,79.45
2015-10-26,80.2,80.9,78.3,78.9,4860600,78.9
2015-10-27,78,79.3,77,77.35,5632000,77.35
2015-10-28,76.65,78.9,76.6,77.75,5111300,77.75
2015-10-29,77.75,78.1,75.55,76.35,5649700,76.35
2015-10-30,76.65,78.5,74.65,75.3,7143500,75.3
2015-11-02,75.8,81.4,75.55,80.05,17434500,80.05
2015-11-03,81.35,82.65,79.8,81.55,13358300,81.55
2015-11-04,82.8,83.6,81.6,81.9,7616500,81.9
2015-11-05,81.9,82.3,77.85,78.35,7091400,78.35
2015-11-06,78.35,79,76.7,77.8,5472400,77.8
2015-11-09,74,78.4,73.7,77.3,6017700,77.3
2015-11-10,77,77.15,68,70.15,17201700,70.15
2015-11-11,70.15,70.15,70.15,70.15,0,70.15
2015-11-12,70.15,70.15,70.15,70.15,0,70.15
2015-11-13,70.35,71.85,63.2,66.35,16370000,66.35
2015-11-16,66.2,68.2,65.5,66.9,9560800,66.9
2015-11-17,67.35,67.6,65.4,65.85,7188900,65.85
2015-11-18,66,67.1,64.6,65.05,7460700,65.05
2015-11-19,65.45,66.05,64.3,65.6,5888400,65.6
2015-11-20,65.75,67.25,65,66,6697000,66
2015-11-23,66.15,66.8,64.7,65.1,3921500,65.1
2015-11-24,65.2,72.3,65,71.15,23863600,71.15
2015-11-25,71.15,71.15,71.15,71.15,0,71.15
2015-11-26,73,75.25,72.5,74.55,22591000,74.55
2015-11-27,75.2,75.65,73.1,74.1,10140900,74.1
2015-11-30,74.4,78.3,73.5,75.8,18282300,75.8
2015-12-01,76,77.6,75.05,77.05,12724200,77.05
2015-12-02,77.25,78.9,76.45,78.45,11852400,78.45
2015-12-03,78,85.9,77.75,83.6,43272900,83.6
2015-12-04,83.95,86.55,78.8,80.95,62196600,80.95
2015-12-07,82,82.4,78.8,80.85,23725500,80.85
2015-12-08,80.8,81.75,78.35,78.8,11497700,78.8
2015-12-09,78.95,79.5,74.8,76.05,14696200,76.05
2015-12-10,76.45,78.85,75.55,78.4,12901500,78.4
2015-12-11,78.8,79.25,75.05,76.15,10515500,76.15
2015-12-14,76.7,81.4,76.1,80.9,21808600,80.9
2015-12-15,81.65,81.9,79.45,80.35,12881600,80.35
2015-12-16,80.6,83,79.85,82.05,16108500,82.05
2015-12-17,83.05,83.5,81.9,83,11887600,83
2015-12-18,82,84.3,82,83.25,12438600,83.25
2015-12-21,83,84.6,82.6,83.8,9627100,83.8
2015-12-22,84,87.15,83.25,85.65,24806600,85.65
2015-12-23,87.1,87.7,85.3,86.2,15754200,86.2
2015-12-24,86.6,87.45,85.3,86.3,14797400,86.3
2015-12-25,86.3,86.3,86.3,86.3,0,86.3
2015-12-28,86.8,87.15,85.4,85.9,7862200,85.9
2015-12-29,86.1,88.2,85.6,87.65,14322200,87.65
2015-12-30,88.05,88.95,87.6,88.15,9659600,88.15
2015-12-31,88.5,88.7,87,88.25,10570600,88.25
2016-01-01,88.4,91.75,88.2,90.6,15237100,90.6
2016-01-04,90.3,91,82.2,84.65,22537200,84.65
2016-01-05,85.45,86.95,84.4,85.8,11377900,85.8
2016-01-06,85.8,86.4,83.8,84.45,10708100,84.45
2016-01-07,81.65,82.95,79.75,81.1,13255900,81.1
2016-01-08,82.9,83.65,81.9,82.8,6969900,82.8
2016-01-11,81.55,84.4,80.4,83.75,9283700,83.75
2016-01-12,84.25,85.1,78.25,80.1,18758500,80.1
2016-01-13,81.25,82.2,73.7,79,17175800,79
2016-01-14,77.45,80.55,75.3,78.1,15591900,78.1
2016-01-15,79.9,80.1,71.25,73.05,13193400,73.05
2016-01-18,73.3,75.4,68.8,70.55,17135600,70.55
2016-01-19,72.5,74.6,70.85,73.25,10355700,73.25
2016-01-20,71.75,72,64.35,68.4,16933900,68.4
2016-01-21,69.65,70.4,65.45,66.25,18230200,66.25
2016-01-22,68.65,68.65,65.65,66.6,14317100,66.6
2016-01-25,67,67.45,64.55,65.55,13025400,65.55
2016-01-26,65.55,65.55,65.55,65.55,0,65.55
2016-01-27,65.45,65.45,62.5,63,16047300,63
2016-01-28,62.55,63.4,61.8,62.15,11020300,62.15
2016-01-29,62,63.85,60.45,62.15,20035700,62.15
2016-02-01,62.3,62.7,60.3,60.7,12019500,60.7
2016-02-02,60.9,62.25,59.05,59.6,15834200,59.6
2016-02-03,58.65,58.85,55.3,56.45,15696400,56.45
2016-02-04,57.35,57.7,53.7,55,14944300,55
2016-02-05,55.7,58.25,55.1,57.65,11586700,57.65
2016-02-08,58,59.6,56.55,56.85,10844000,56.85
2016-02-09,55.5,58.9,55.3,57.85,10889200,57.85
2016-02-10,57.2,58.1,54.85,56.2,10573700,56.2
2016-02-11,56,56.5,51.55,52.2,10352500,52.2
2016-02-12,52.8,52.95,48.55,50.75,20904800,50.75
2016-02-15,51.85,53.7,51,51.7,20074000,51.7
2016-02-16,53.65,54,48.65,49.5,18746900,49.5
2016-02-17,49.85,50.35,47,49.8,14266700,49.8
2016-02-18,51,51.5,48.65,50.3,12965600,50.3
2016-02-19,50,51.3,49.45,50.4,10841700,50.4
2016-02-22,50.8,51.7,50.5,50.8,7826500,50.8
2016-02-23,51.25,53.15,50.7,52.35,22532900,52.35
2016-02-24,52,54.6,51.75,53.25,21666700,53.25
2016-02-25,53.6,55.45,52.9,54.45,26074400,54.45
2016-02-26,55.45,55.45,51.9,53.4,11227000,53.4
2016-02-29,53.4,53.75,50.2,51.75,13056300,51.75
2016-03-01,51.75,54.35,50.95,53.8,11890700,53.8
2016-03-02,54.85,55.65,54.1,54.65,12546200,54.65
2016-03-03,54.95,55.4,53.75,55,12685900,55
2016-03-04,54.9,56.6,53.5,55.35,20053800,55.35
2016-03-07,55.35,55.35,55.35,55.35,0,55.35
2016-03-08,55.3,55.85,53.7,54.55,9861700,54.55
2016-03-09,54.55,55.3,54.05,55.05,15123700,55.05
2016-03-10,55.6,55.6,53.3,53.8,9754000,53.8
2016-03-11,53.5,54.4,52.3,52.9,7355000,52.9
2016-03-14,53,53.3,51.3,51.9,7748200,51.9
2016-03-15,51.9,52.7,51.5,51.95,6916800,51.95
2016-03-16,52.25,52.6,49.1,50.6,12408300,50.6
2016-03-17,51.1,51.5,50.5,50.8,9938400,50.8
2016-03-18,51.85,52.4,51.1,52.05,9518600,52.05
2016-03-21,52.2,52.6,51.65,52.15,5949100,52.15
2016-03-22,51.8,53.45,51.25,52,12788200,52
2016-03-23,52,52.5,51.4,52,8143000,52
2016-03-24,52,52,52,52,0,52
2016-03-25,52,52,52,52,0,52
2016-03-28,52,52.35,49.8,50.1,10834300,50.1
2016-03-29,50.15,50.5,49.2,49.45,10845500,49.45
2016-03-30,50.2,50.7,49.4,50.3,8295600,50.3
2016-03-31,50.4,50.6,49.6,50,11797400,50
2016-04-01,49.9,51.15,49.7,50.3,9537700,50.3
2016-04-04,50.6,51.7,50.25,51.3,13781100,51.3
2016-04-05,51.15,51.2,49.1,49.4,11784800,49.4
2016-04-06,49.6,52.1,49.3,50.95,15161100,50.95
2016-04-07,52.4,52.5,49.75,50.2,15672400,50.2
2016-04-08,49.1,50.6,48.65,50.4,10920800,50.4
2016-04-11,50.7,51.85,50.35,51.65,14520900,51.65
2016-04-12,51.75,52,51,51.4,7284300,51.4
2016-04-13,51.9,53.9,51.5,53,15872400,53
2016-04-14,53,53,53,53,0,53
2016-04-15,53,53,53,53,0,53
2016-04-18,53.15,54.6,52.7,54.2,12361700,54.2
2016-04-19,54.2,54.2,54.2,54.2,0,54.2
2016-04-20,54.5,55.2,53.8,54.2,14081500,54.2
2016-04-21,54.65,55.1,53.55,54.05,13559600,54.05
2016-04-22,53.7,57.85,53.4,57.1,33211300,57.1
2016-04-25,57.4,58.2,56.1,56.55,16638100,56.55
2016-04-26,56.55,57.9,56.5,57.55,12857600,57.55
2016-04-27,57.85,59.65,57.7,59.4,23745500,59.4
2016-04-28,59.7,60.45,57.55,57.85,17836200,57.85
2016-04-29,57.85,58,54.75,56.2,12292300,56.2
2016-05-02,56,57.55,55.4,56.55,8905800,56.55
2016-05-03,57,58.15,56.35,57.45,11975900,57.45
2016-05-04,57.4,57.65,54.7,55,10305200,55
2016-05-05,55.05,55.5,53.45,54.05,8178100,54.05
2016-05-06,53.9,54.55,53.1,54.1,6039600,54.1
2016-05-09,54.4,56.1,54.3,55.7,6849700,55.7
2016-05-10,55.9,56.4,55.2,55.6,5665600,55.6
2016-05-11,54.65,57.3,53.7,54.3,19289300,54.3
2016-05-12,54.6,55.2,54.1,54.65,5770800,54.65
2016-05-13,53.95,54.2,51.2,51.7,15513200,51.7
2016-05-16,52.1,52.2,50.05,51,9536300,51
2016-05-17,51.3,52.4,51,51.25,8126400,51.25
2016-05-18,50.9,51.6,50.7,51.15,6053300,51.15
2016-05-19,51,52.9,50.75,50.9,10837100,50.9
2016-05-20,51,51.25,49.95,50.05,10534100,50.05
2016-05-23,50.55,50.75,49.5,49.65,6344700,49.65
2016-05-24,49.5,49.6,45.8,47,27575000,47
2016-05-25,47.7,48.15,47.1,47.35,10671100,47.35
2016-05-26,47.5,47.9,47.1,47.5,9488600,47.5
2016-05-27,47.7,50.4,47.65,48.95,20460700,48.95
2016-05-30,49.3,50.65,48.65,48.85,20882300,48.85
2016-05-31,49.55,49.7,46.35,46.95,124745000,46.95
2016-06-01,47.7,50.35,47.3,49.25,45109700,49.25
2016-06-02,49.45,51.1,48.45,50.75,33018600,50.75
2016-06-03,51,51.25,48.35,48.9,24943100,48.9
2016-06-06,48.8,50.15,47.65,47.95,24493300,47.95
2016-06-07,48.4,48.8,47.6,48.3,24040300,48.3
2016-06-08,49.3,50.1,48.6,49.25,19449000,49.25
2016-06-09,49.45,49.6,48.3,48.8,12712500,48.8
2016-06-10,49,50.1,48.8,49.2,16798500,49.2
2016-06-13,49.3,49.35,47,47.85,18783100,47.85
2016-06-14,48.1,48.6,47.6,47.8,12886600,47.8
2016-06-15,48.05,48.35,47.65,47.8,11271200,47.8
2016-06-16,47.95,48,46.4,46.75,19201100,46.75
2016-06-17,47.25,47.7,46.5,47.2,15618200,47.2
2016-06-20,46.7,49.1,46.6,48.7,26033700,48.7
2016-06-21,48.7,49.8,48.25,48.45,26595700,48.45
2016-06-22,48.65,48.75,47.5,47.7,16665900,47.7
2016-06-23,48.2,50.45,48.1,49.7,41443900,49.7
2016-06-24,48,48,45.25,47.2,41444400,47.2
2016-06-27,47.6,48.5,47.5,47.65,18541100,47.65
2016-06-28,48.2,48.9,47.9,48.3,16578000,48.3
2016-06-29,48.5,49.2,48.5,48.6,15653400,48.6
2016-06-30,49.05,51.6,48.9,50.95,54657900,50.95
2016-07-01,51.25,51.45,50.45,50.75,17045100,50.75
2016-07-04,51.4,52.1,51.2,51.4,15226100,51.4
2016-07-05,51.45,53.1,51.05,52.2,23427400,52.2
2016-07-06,52.2,52.2,52.2,52.2,0,52.2
2016-07-07,52.5,53.45,52.2,52.45,17881200,52.45
2016-07-08,52.55,52.8,50.2,50.75,18000200,50.75
