"Date","RDEL.NS.Open","RDEL.NS.High","RDEL.NS.Low","RDEL.NS.Close","RDEL.NS.Volume","RDEL.NS.Adjusted"
2015-01-01,40.4,40.8,40.3,40.5,525800,40.5
2015-01-02,40.65,48.5,40.55,46.45,9842100,46.45
2015-01-05,46.65,47.2,43.25,44.8,3645800,44.8
2015-01-06,44,44.45,42.2,42.55,2057300,42.55
2015-01-07,42.3,45.35,41.75,44.65,3532500,44.65
2015-01-08,45.5,53.55,45,52.9,16387500,52.9
2015-01-09,53.25,60.35,53.25,56.75,22745300,56.75
2015-01-12,57.6,60.8,56.2,56.65,10467200,56.65
2015-01-13,57.4,57.4,53.3,54.25,5707000,54.25
2015-01-14,54.3,56.35,52.7,53.4,4636600,53.4
2015-01-15,54.1,54.5,50.3,50.85,4676100,50.85
2015-01-16,50.95,54.8,50.15,53,7293400,53
2015-01-19,53.7,54.3,51.6,52.1,4219500,52.1
2015-01-20,52.35,53.3,51,51.25,2441100,51.25
2015-01-21,51.55,52.4,48.6,49.75,3513600,49.75
2015-01-22,49.55,49.9,47.3,47.85,2847900,47.85
2015-01-23,48.4,52.1,46.7,50.2,7787200,50.2
2015-01-26,50.2,50.2,50.2,50.2,0,50.2
2015-01-27,51.2,53.3,50.25,50.55,4708000,50.55
2015-01-28,50.5,50.5,48,48.35,2456300,48.35
2015-01-29,48.5,51.6,47.1,50.1,5007100,50.1
2015-01-30,50.6,51.4,48.8,49.2,3013300,49.2
2015-02-02,49.2,50.9,49,50,1741000,50
2015-02-03,50.4,50.7,49.05,49.3,1617100,49.3
2015-02-04,49.7,50.7,48.8,50.1,2126700,50.1
2015-02-05,54.2,56.25,53.05,53.5,11254100,53.5
2015-02-06,53.9,53.9,50.85,51.25,2663400,51.25
2015-02-09,50.95,54.25,49.6,52.5,4347800,52.5
2015-02-10,51.9,56.2,51.9,55.15,5091700,55.15
2015-02-11,55.95,65.8,55.5,64.1,17460600,64.1
2015-02-12,68,74.5,63.05,67.7,47468200,67.7
2015-02-13,69,69.9,64.2,65.35,12506000,65.35
2015-02-16,64.4,72.5,63.5,69.2,32094500,69.2
2015-02-17,69.2,69.2,69.2,69.2,0,69.2
2015-02-18,70.05,82.35,70.05,77.75,41124800,77.75
2015-02-19,82,85,75.8,79.65,38594900,79.65
2015-02-20,81.2,84.3,78.7,83.25,26836800,83.25
2015-02-23,83,83.2,78.85,79.55,12024100,79.55
2015-02-24,79.5,81.4,73,75.25,16853300,75.25
2015-02-25,76.35,80.4,74.45,78.15,18752600,78.15
2015-02-26,79,80.25,74.05,74.85,10667600,74.85
2015-02-27,75.5,79.35,75.5,77.45,15582500,77.45
2015-03-02,75.2,76.5,72.15,72.6,6963900,72.6
2015-03-03,73,74.9,71.3,73.25,10030700,73.25
2015-03-04,74.8,79.9,73.8,76.45,28642900,76.45
2015-03-05,68.85,68.85,68.85,68.85,2458200,68.85
2015-03-06,68.85,68.85,68.85,68.85,0,68.85
2015-03-09,64,65.7,60.75,63.8,26558700,63.8
2015-03-10,63,64.55,61.15,61.35,9939300,61.35
2015-03-11,61.8,62.85,61,61.1,6931500,61.1
2015-03-12,61.4,62.6,60.1,61.55,7027100,61.55
2015-03-13,61.65,62.1,60.5,60.7,5354600,60.7
2015-03-16,60.9,61.3,59.05,59.75,3650900,59.75
2015-03-17,57.7,61.8,57.1,60,8223200,60
2015-03-18,60.3,60.3,58.25,58.5,2038100,58.5
2015-03-19,59,59.85,58.25,58.45,2364200,58.45
2015-03-20,58.7,58.7,57.75,58,2405400,58
2015-03-23,58.2,58.9,55.3,55.95,2256500,55.95
