"Date","RECLTD.NS.Open","RECLTD.NS.High","RECLTD.NS.Low","RECLTD.NS.Close","RECLTD.NS.Volume","RECLTD.NS.Adjusted"
2015-01-01,334.6,337.5,332,335.7,1536500,122.718
2015-01-02,335.9,344.45,334,334.9,2877300,122.426
2015-01-05,335,337,332.7,333.95,3388500,122.079
2015-01-06,333.05,333.05,318.25,319.85,3096600,116.924
2015-01-07,320.4,323.3,310.5,317.85,4484500,116.193
2015-01-08,321,326.4,310.25,320.9,5969600,117.308
2015-01-09,320.1,322.15,314.25,315.2,3002600,115.224
2015-01-12,320,320.25,313.15,315.15,2943800,115.206
2015-01-13,317.65,318,309.9,310.9,4068100,113.652
2015-01-14,313,317,310,312.1,2934500,114.091
2015-01-15,318,334.5,315.95,327.75,9517700,119.812
2015-01-16,326,331.55,321.6,326.25,3465000,119.264
2015-01-19,326.3,334.85,326.3,329.15,3139500,120.324
2015-01-20,331.1,332.45,321.3,321.85,2754700,117.655
2015-01-21,322.8,328.7,322.1,324.85,4447700,118.752
2015-01-22,322.55,326.5,313.5,318.45,4356700,116.412
2015-01-23,321.5,326.1,315,318.15,4849400,116.303
2015-01-26,318.15,318.15,318.15,318.15,0,116.303
2015-01-27,320.8,328,314,326.4,6205100,119.319
2015-01-28,327.75,346.65,325.5,340.7,10537300,124.546
2015-01-29,341.8,349.9,337.4,340.25,9520800,124.382
2015-01-30,343.05,349,330.15,333.1,5570600,121.768
2015-02-02,333.1,348,330,345.2,4180100,126.191
2015-02-03,349.7,351.65,333.35,336.4,4356200,122.974
2015-02-04,337.5,339.5,329.25,330.95,3417200,120.982
2015-02-05,331,336.1,319,321.5,2698200,117.527
2015-02-06,323,331,320,327.85,3098100,119.849
2015-02-09,323,325.8,313.6,315.9,2807700,115.48
2015-02-10,313,330,312.3,324.65,4477600,118.679
2015-02-11,327.2,328.5,320.2,325.95,2671800,119.154
2015-02-12,328.15,328.9,321.05,325.05,2333500,118.825
2015-02-13,326.5,337.2,321.45,325.7,5757000,119.063
2015-02-16,327.5,341.05,325.6,338.35,6775500,123.687
2015-02-17,338.35,338.35,338.35,338.35,0,123.687
2015-02-18,338,338,313.5,315.55,6910700,121.078
2015-02-19,317.7,319.9,307.5,316.5,5527100,121.442
2015-02-20,319,322.85,312.6,317.9,3558100,121.98
2015-02-23,318.15,320.2,313.55,315.35,5550100,121.001
2015-02-24,316.1,321.35,312.65,320.4,4798800,122.939
2015-02-25,321,322.7,317.75,318.8,3234300,122.325
2015-02-26,321,323.85,317.3,322.1,4640400,123.591
2015-02-27,324.7,335.6,322.6,334.4,5225600,128.311
2015-03-02,333.6,366,331,362.3,10011300,139.016
2015-03-03,364.9,370.4,354.5,359.8,6229600,138.057
2015-03-04,362.9,371.75,345,349.5,10824600,134.105
2015-03-05,349.5,354.8,344.85,350.8,3611000,134.603
2015-03-06,350.8,350.8,350.8,350.8,0,134.603
2015-03-09,346.6,351.3,339.85,342,2555200,131.227
2015-03-10,341,352.25,339.65,345.2,4739600,132.455
2015-03-11,346,354.9,338.8,348,5365200,133.529
2015-03-12,351.3,353,347.5,349.05,3495100,133.932
2015-03-13,352.3,352.3,327.6,329.9,3218600,126.584
2015-03-16,331.9,336,325.7,327.5,1862400,125.663
2015-03-17,331,343.7,329.95,342.05,7315300,131.246
2015-03-18,342,349.8,337.45,347.25,4546700,133.241
2015-03-19,349.8,352.9,338,340.15,3878900,130.517
2015-03-20,341,344.85,330.2,334.1,3521200,128.196
2015-03-23,336,340,326.25,329.5,2419500,126.431
2015-03-24,331,338.55,330.1,335.75,3468700,128.829
2015-03-25,338.4,338.4,330.6,332.65,2110300,127.639
2015-03-26,331,334.45,325.5,327.35,6318300,125.606
2015-03-27,328.9,333.9,318,320.4,4990000,122.939
2015-03-30,325,332.3,322.7,327.35,2009900,125.606
2015-03-31,328.5,335.75,327.1,333.2,2901100,127.85
2015-04-01,333,338.1,330.5,337.6,2903800,129.539
2015-04-02,337.6,337.6,337.6,337.6,0,129.539
2015-04-03,337.6,337.6,337.6,337.6,0,129.539
2015-04-06,338.6,340.3,330.2,336.1,4173600,128.963
2015-04-07,323.6,328,320,321.25,11406100,123.265
2015-04-08,318,334,317.8,330.3,21809300,126.737
2015-04-09,342.7,346.6,333.5,336.35,34424600,129.059
2015-04-10,335.5,346.3,334.95,344.1,15804600,132.033
2015-04-13,343.7,347.9,339.55,341.15,5603000,130.901
2015-04-14,341.15,341.15,341.15,341.15,0,130.901
2015-04-15,340.8,342.65,333,335.1,6089500,128.579
2015-04-16,335.85,336.35,328.25,330.8,4798900,126.929
2015-04-17,331,333.55,328,330.65,4214600,126.872
2015-04-20,331.85,331.95,324,325,3013600,124.704
2015-04-21,325.8,328.7,323,323.65,2987800,124.186
2015-04-22,325.05,327.95,319.6,325.95,3449900,125.068
2015-04-23,328.05,329,322,322.85,4128700,123.879
2015-04-24,323.5,323.95,314.7,321.9,6784000,123.514
2015-04-27,321.5,322.95,311.5,314,5289900,120.483
2015-04-28,313.8,318.45,311.85,317.15,3956000,121.692
2015-04-29,317.15,317.95,309.25,312.9,5242200,120.061
2015-04-30,313.85,315.7,309,311.55,10662800,119.543
2015-05-01,311.55,311.55,311.55,311.55,0,119.543
2015-05-04,313.15,320.95,312.85,319,2886900,122.402
2015-05-05,318.35,321.4,315.35,318.75,3835600,122.306
2015-05-06,320,321.25,297.7,307.15,11150900,117.855
2015-05-07,303.2,309.35,284.5,288.4,7258400,110.66
2015-05-08,292.8,298.8,292,296.2,3905100,113.653
2015-05-11,297.1,303.2,291.45,297.85,5023700,114.286
2015-05-12,298.5,298.9,283.9,286.85,7056300,110.066
2015-05-13,291,296.8,285.25,294.75,3805200,113.097
2015-05-14,294,299.5,290.1,298.6,3273500,114.574
2015-05-15,300.7,301.3,292.1,295.15,2712200,113.25
2015-05-18,296.8,300.7,293.5,298.95,3853000,114.708
2015-05-19,297.9,301.7,295.6,298.75,3345200,114.632
2015-05-20,301.3,305.8,299,302.8,3670500,116.186
2015-05-21,303.25,306.35,296.2,305.5,4297800,117.222
2015-05-22,306.8,311.4,303.85,310.1,6131400,118.987
2015-05-25,308.1,309.95,305.25,305.85,2347800,117.356
2015-05-26,305,307,302.5,306,1902000,117.413
2015-05-27,302.9,304.2,299,301.6,3015200,115.725
2015-05-28,301.6,303.3,298.1,301.7,3200600,115.764
2015-05-29,301.45,304.9,294.1,296.25,4901500,113.672
2015-06-01,297,298.65,292.55,297.4,2771000,114.114
2015-06-02,297.4,297.4,287.5,289.05,4736200,110.91
2015-06-03,289,290.5,281.55,288.15,4737200,110.564
2015-06-04,290.9,291.7,278.55,283.1,4666600,108.627
2015-06-05,282,286.5,279,285.65,3620500,109.605
2015-06-08,287.75,289.7,279.2,282.55,3827400,108.416
2015-06-09,281.75,286,278.75,283.15,2892300,108.646
2015-06-10,283.45,289,283,285.15,4533700,109.413
2015-06-11,286.5,287.35,273.45,274.35,4014100,105.269
2015-06-12,274,276,271.1,272.7,3095200,104.636
2015-06-15,273.9,276.25,269,272.4,1882500,104.521
2015-06-16,272,274.9,267.5,272.45,2084400,104.54
2015-06-17,274,277.3,272.7,274.05,2899400,105.154
2015-06-18,275,275.65,271.75,272.6,3575100,104.598
2015-06-19,273.9,282,273.5,281.35,3847900,107.955
2015-06-22,284,287.85,279.1,286.05,3300100,109.759
2015-06-23,286.1,290.4,284.5,288.85,2712400,110.833
2015-06-24,291,292.7,285.65,288.2,3528100,110.584
2015-06-25,286,288.85,284.2,285.2,4981800,109.432
2015-06-26,284.4,286.95,281,283.4,1957300,108.742
2015-06-29,278,279,268.75,273.35,2653300,104.886
2015-06-30,274,276.65,271.5,275.15,3744400,105.576
2015-07-01,273.6,281.75,273.1,280.05,3982100,107.456
2015-07-02,280,284.25,278,280.7,2500100,107.706
2015-07-03,281.3,286.25,280.3,285.25,2763800,109.452
2015-07-06,281.95,290,280.05,288.35,2389300,110.641
2015-07-07,288,291.8,284.2,284.95,2794900,109.337
2015-07-08,283,283.5,275,281.15,3173200,107.878
2015-07-09,281.5,287.45,280.6,285.65,2208800,109.605
2015-07-10,286.7,288.45,282,284.15,2792500,109.03
2015-07-13,284.15,287.95,284.15,286.55,2597800,109.95
2015-07-14,287.95,288.7,283.05,285,1755200,109.356
2015-07-15,282.05,286.25,279.85,280.25,2371200,107.533
2015-07-16,282.15,297.6,280.5,296.35,4017700,113.711
2015-07-17,298.05,301.2,292.2,293.05,4850700,112.445
2015-07-20,294.7,294.85,287.75,290.7,2587700,111.543
2015-07-21,290.7,295.95,281,282.65,2772900,108.454
2015-07-22,282,293.8,281,292.2,3760200,112.118
2015-07-23,293,293.75,288.25,289.5,1922300,111.082
2015-07-24,289.5,291.3,284.3,285.05,3060100,109.375
2015-07-27,281,286.3,280.6,283.15,4217000,108.646
2015-07-28,283.75,284.4,273.5,276,3506100,105.902
2015-07-29,276,277.1,270.1,273.35,3155400,104.886
2015-07-30,275.5,279,271.8,275.55,12304500,105.73
