"Date","RELCAPITAL.NS.Open","RELCAPITAL.NS.High","RELCAPITAL.NS.Low","RELCAPITAL.NS.Close","RELCAPITAL.NS.Volume","RELCAPITAL.NS.Adjusted"
2015-01-01,495,501.7,495,497.75,1401300,476.38
2015-01-02,498.25,507.8,497.35,498.8,2573400,477.38
2015-01-05,499.9,509,495.25,503.75,2797000,482.12
2015-01-06,498,498,473.55,477,3588400,456.52
2015-01-07,475.2,479.05,460.5,464.7,3411200,444.75
2015-01-08,472,476.5,470.8,472.15,1952400,451.88
2015-01-09,476,479,462.6,467,2847700,446.95
2015-01-12,468,474.6,465,470,1938900,449.82
2015-01-13,472.25,475.8,464.1,466.95,2367300,446.9
2015-01-14,467.35,468.9,447.1,448.95,2818200,429.67
2015-01-15,459.05,468.4,454.3,462.9,3433600,443.03
2015-01-16,460,470.8,454.55,465.4,2471800,445.42
2015-01-19,465.4,474.6,465.4,468.45,1816400,448.34
2015-01-20,469.6,474.75,464.1,469,1907800,448.86
2015-01-21,470,473.6,461.75,467.3,2090400,447.24
2015-01-22,466.5,472,460.5,462.9,1947500,443.03
2015-01-23,468.8,480.9,457.2,476.05,4540000,455.61
2015-01-26,476.05,476.05,476.05,476.05,0,455.61
2015-01-27,479.7,483.9,472.05,475.45,2221000,455.04
2015-01-28,474.8,480.8,468.2,470.95,2844000,450.73
2015-01-29,471,475.65,464.7,466.15,2221400,446.14
2015-01-30,470,488.9,467.45,486.1,4849900,465.23
2015-02-02,487,494.85,482.1,489.75,2713100,468.72
2015-02-03,494.9,495.9,478.25,482.55,2670000,461.83
2015-02-04,485.55,495,478.05,485.7,2641700,464.85
2015-02-05,488.4,488.4,460,463.75,3168900,443.84
2015-02-06,463.3,467.9,455.05,458.95,1950500,439.24
2015-02-09,452,454.75,435.55,439.1,2619800,420.25
2015-02-10,436.7,450.7,427.1,435.8,3750600,417.09
2015-02-11,440.7,449.3,436.4,445.75,1725900,426.61
2015-02-12,449.4,471.85,439.1,468.8,4842000,448.67
2015-02-13,473.1,474.7,461.65,463.25,2423300,443.36
2015-02-16,466.9,467.95,451.3,454.4,1988500,434.89
2015-02-17,454.4,454.4,454.4,454.4,0,434.89
2015-02-18,456.5,466,451.15,458.35,2201500,438.67
2015-02-19,460,461.5,447,456.55,1965200,436.95
2015-02-20,458.35,464,453,457.7,1770500,438.05
2015-02-23,454,463.8,446.1,448.75,2146500,429.48
2015-02-24,449.5,452.05,440.9,443.7,2206800,424.65
2015-02-25,447,451.35,443.8,447.65,1665800,428.43
