"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2015-01-01,509.1,516,507.65,512.25,833100,493.31
2015-01-02,512.3,526,511.25,518.05,1738200,498.9
2015-01-05,518.9,523.8,512,515.05,1325000,496.01
2015-01-06,509.9,510,485.05,487.55,2099700,469.53
2015-01-07,487,491,472.5,476.7,2064800,459.08
2015-01-08,485,494.6,480.1,488.55,2379700,470.49
2015-01-09,495.35,498.2,478.2,485.35,2059500,467.41
2015-01-12,485,491.95,478.2,485.05,1474100,467.12
2015-01-13,486.35,492,472.25,475.95,1859000,458.35
2015-01-14,479,479.5,458.8,462.1,2318200,445.02
2015-01-15,476,489.8,466.35,486.85,2801500,468.85
2015-01-16,484.4,494.85,476.65,485.75,1988400,467.79
2015-01-19,486.25,495.8,486,490.05,1242500,471.93
2015-01-20,492,500.65,490.15,495.45,1807400,477.13
2015-01-21,498.4,499.35,479.5,482.6,1869200,464.76
2015-01-22,483,487.5,472.25,477.1,1785500,459.46
2015-01-23,483,488.2,465.3,484.25,3265800,466.35
2015-01-26,484.25,484.25,484.25,484.25,0,466.35
2015-01-27,487,489.95,477.2,483.1,1660600,465.24
2015-01-28,482.8,487.7,474.1,481.05,1641700,463.27
2015-01-29,481.95,484.3,476.05,479.5,1219300,461.77
2015-01-30,482,514.3,482,508.25,4284900,489.46
2015-02-02,506.5,521.95,503.4,517.25,2257800,498.13
2015-02-03,520,521.05,498.75,500.8,2243600,482.29
2015-02-04,502.3,509.3,494.45,497.8,2090800,479.4
2015-02-05,498.5,500.1,466,469.8,2429900,452.43
2015-02-06,469.7,475.85,453.6,458.8,2080100,441.84
2015-02-09,445.7,445.7,417.5,419.35,3199900,403.85
2015-02-10,410,432.8,400.35,421.35,5239200,405.77
2015-02-11,424.45,428.15,415.65,421.9,2383200,406.3
2015-02-12,425.35,444.7,425.35,441.65,3815700,425.32
2015-02-13,444.95,454.5,439,446.7,2195100,430.19
2015-02-16,452.9,459.8,447.5,450.6,2178000,433.94
2015-02-17,450.6,450.6,450.6,450.6,0,433.94
2015-02-18,452.95,463.35,448.8,457.35,1907900,440.44
2015-02-19,461,472.65,448,468.85,2244500,451.52
2015-02-20,470.15,475.5,463.2,465.95,1951400,448.72
2015-02-23,465.05,473.25,456,459.9,1946900,442.9
2015-02-24,458.9,461.8,449,455.7,1817800,438.85
2015-02-25,457.3,461,454,457.25,1358300,440.35
2015-02-26,452.85,464.9,450.05,455.75,2485100,438.9
2015-02-27,459.9,474.9,457.3,473.2,2071500,455.71
2015-03-02,479.3,486,468.45,479.45,2022900,461.72
2015-03-03,483,498.8,480.65,494.5,2873500,476.22
2015-03-04,500,507.9,471,475.4,3731800,457.82
2015-03-05,482.45,492.5,479.35,490.05,4132300,471.93
2015-03-06,490.05,490.05,490.05,490.05,0,471.93
2015-03-09,486,488.65,465.15,467.45,1747700,450.17
2015-03-10,468,471.5,453.3,458.25,1736300,441.31
2015-03-11,459,463.4,453,459.25,1678500,442.27
2015-03-12,462,486.95,461.8,484.55,2751200,466.64
