"Date","RPOWER.NS.Open","RPOWER.NS.High","RPOWER.NS.Low","RPOWER.NS.Close","RPOWER.NS.Volume","RPOWER.NS.Adjusted"
2015-01-01,61.25,63.2,61.25,62.4,2982000,61.13
2015-01-02,62.4,63.85,62.4,63.25,4056700,61.963
2015-01-05,63.25,63.95,62.8,63.4,3624700,62.11
2015-01-06,62.85,62.9,60.6,60.95,4925400,59.71
2015-01-07,60.55,61.3,59.4,60.5,4533100,59.269
2015-01-08,61,61.75,60.6,61.5,3408900,60.249
2015-01-09,61.65,62.2,60.3,60.95,3501700,59.71
2015-01-12,61,61.45,60.5,61.25,2574200,60.004
2015-01-13,61.25,61.5,59.95,60.15,4112700,58.926
2015-01-14,60.15,60.8,58.85,60.05,6639100,58.828
2015-01-15,60.55,62.1,60.2,61.6,5328900,60.347
2015-01-16,61.45,62.1,60.8,61.55,4009700,60.298
2015-01-19,61.25,62.9,61.25,62.15,3356800,60.886
2015-01-20,62.6,62.85,61.65,62.45,4133700,61.179
2015-01-21,62.35,62.7,61.55,62,2550200,60.739
2015-01-22,62.1,62.65,61.45,62,2715700,60.739
2015-01-23,62.5,65.45,60.8,64.8,10157400,63.482
2015-01-26,64.8,64.8,64.8,64.8,0,63.482
2015-01-27,65.8,65.9,63.8,64.1,4867800,62.796
2015-01-28,63.9,64.45,62.55,63,4208200,61.718
2015-01-29,62.95,63.7,62.5,63.45,4014600,62.159
2015-01-30,63.55,65.75,63.45,65.1,6520400,63.775
2015-02-02,65.2,66.85,64.55,66.05,5465800,64.706
2015-02-03,66.35,66.6,64.2,64.45,3813300,63.139
2015-02-04,65,65.5,63.7,64.2,3951100,62.894
2015-02-05,64.2,64.4,60.15,60.65,5575100,59.416
2015-02-06,60.65,61,59.05,59.95,6967600,58.73
2015-02-09,59,59.5,56.35,56.55,7180200,55.399
2015-02-10,55.6,57.6,54.95,56.35,7996500,55.204
2015-02-11,57,58.1,56.35,57.8,4430200,56.624
2015-02-12,58.3,59.55,57.95,59.2,5819800,57.996
2015-02-13,59.75,59.95,59,59.2,3509900,57.996
2015-02-16,59.5,60.85,59.5,60,4873200,58.779
2015-02-17,60,60,60,60,0,58.779
2015-02-18,60.4,61.7,60.15,61.4,4427900,60.151
2015-02-19,61.4,64.2,59.7,63.85,8638700,62.551
2015-02-20,64,64.45,62.6,63.35,5522400,62.061
2015-02-23,62.5,63.75,61.65,62.4,6073400,61.13
2015-02-24,62.45,63.65,62.2,62.75,5320700,61.473
2015-02-25,62.8,63.5,61.95,62.15,3581300,60.886
2015-02-26,61.95,63.05,61.4,62.45,8278900,61.179
2015-02-27,62.7,64.3,62.65,64.05,4363200,62.747
2015-03-02,62.95,63.1,61.15,61.75,3630300,60.494
2015-03-03,62.1,63.1,61.4,62.65,4407800,61.375
2015-03-04,63,63.4,59.85,60.2,5890000,58.975
2015-03-05,60.6,61.4,60,60.95,4100400,59.71
2015-03-06,60.95,60.95,60.95,60.95,0,59.71
2015-03-09,60.65,60.65,57.9,58.2,5586200,57.016
2015-03-10,58.4,58.9,57.55,57.85,3669500,56.673
2015-03-11,58,58.75,57.8,58.1,2876100,56.918
2015-03-12,58.55,60,58.3,59.85,4510600,58.632
2015-03-13,60.3,60.55,58.05,58.25,3772000,57.065
2015-03-16,58.85,58.85,57.6,57.8,2539000,56.624
2015-03-17,58.15,58.65,57.1,57.95,3181100,56.771
2015-03-18,58,58.7,57.75,58.05,2636100,56.869
2015-03-19,58.4,58.75,56.4,56.75,2964500,55.595
2015-03-20,57.3,57.75,56.55,56.7,3023200,55.546
2015-03-23,56.8,57.3,56.05,56.15,2719400,55.008
2015-03-24,56.3,56.85,55.6,55.95,2255500,54.812
2015-03-25,56,56.3,55.25,55.45,2360500,54.322
2015-03-26,55.5,55.9,54.5,54.75,4309700,53.636
2015-03-27,55.4,55.75,53.7,54.85,3959800,53.734
2015-03-30,55.1,56.95,55.1,56.5,3396900,55.35
2015-03-31,57.1,57.5,56.1,56.5,3435100,55.35
2015-04-01,56.8,57.55,56.4,57.3,2463100,56.134
2015-04-02,57.3,57.3,57.3,57.3,0,56.134
2015-04-03,57.3,57.3,57.3,57.3,0,56.134
2015-04-06,57.55,57.55,55.95,56.65,2822500,55.497
2015-04-07,56.85,57.95,56.25,57.85,3321100,56.673
2015-04-08,58,58.8,57.55,58.1,2912900,56.918
2015-04-09,58.2,58.85,57.9,58.4,2998500,57.212
2015-04-10,58.5,62.5,58.15,61.35,11428400,60.102
2015-04-13,61.5,62.35,61.15,61.7,4904000,60.445
2015-04-14,61.7,61.7,61.7,61.7,0,60.445
2015-04-15,61.7,62.75,60.4,61,3976900,59.759
2015-04-16,61,61.25,59.8,60.3,3081900,59.073
2015-04-17,60.2,61.6,59.95,60.2,3479100,58.975
2015-04-20,60.2,60.55,57.8,58.2,3171700,57.016
2015-04-21,58.25,58.95,57.45,57.6,2317900,56.428
2015-04-22,57.8,58.7,57.15,58.5,3321300,57.31
2015-04-23,59.35,59.35,58.1,58.6,2475900,57.408
2015-04-24,58.75,58.75,57.25,57.55,2903000,56.379
2015-04-27,57.6,57.85,55.5,55.75,3049000,54.616
2015-04-28,55.85,58.85,55.15,58.3,4409700,57.114
2015-04-29,58.5,58.95,57.3,57.65,2725600,56.477
2015-04-30,57.6,57.6,56.3,56.65,6121500,55.497
2015-05-01,56.65,56.65,56.65,56.65,0,55.497
2015-05-04,57,59.6,56.95,59.15,4339700,57.947
2015-05-05,59.2,60.9,58.6,59.4,5075800,58.191
2015-05-06,59.25,59.6,55.4,55.7,5298000,54.567
2015-05-07,55,55.95,52.65,53.25,5083600,52.167
2015-05-08,54.65,54.65,53.1,53.8,3565700,52.705
2015-05-11,54.5,54.75,53.6,54.35,3451500,53.244
2015-05-12,54.45,54.55,52.05,52.45,4704900,51.383
2015-05-13,53,54.05,52.1,53.5,5278500,52.411
2015-05-14,53.45,54.35,52.9,54.05,3810100,52.95
2015-05-15,54.2,54.7,53.05,53.5,3417300,52.411
2015-05-18,53.6,54.55,53.5,54.05,3367800,52.95
2015-05-19,54,54.9,53.6,54.55,3801300,53.44
2015-05-20,54.6,55.1,53.8,54.15,3361800,53.048
2015-05-21,54.45,54.5,53.4,53.7,2109800,52.607
2015-05-22,53.8,54.3,52.8,53.2,2635600,52.118
2015-05-25,53.25,54.1,52.8,53.7,2907900,52.607
2015-05-26,53.75,54,53.1,53.5,2402500,52.411
2015-05-27,54.05,54.95,53.55,54.2,5644400,53.097
2015-05-28,54.35,54.35,52.7,53,6411700,51.922
2015-05-29,53.1,53.75,52.7,52.85,3674200,51.775
2015-06-01,53,53.5,52.7,52.85,2098000,51.775
2015-06-02,53,53.1,51.35,51.55,3471500,50.501
2015-06-03,51.9,51.9,41.25,45.65,18685800,44.721
2015-06-04,46,46.35,44.2,45.25,7692900,44.329
2015-06-05,44.9,45.95,44.45,44.75,4484200,43.84
2015-06-08,46,46,43.05,45.5,11667400,44.574
2015-06-09,45.45,46,44.5,45.2,4947000,44.28
2015-06-10,45.25,46.1,44.65,45.3,4098300,44.378
2015-06-11,45.65,45.75,43.4,43.9,4771300,43.007
2015-06-12,43.8,44.25,43,43.8,3561900,42.909
2015-06-15,43.9,44.6,42.6,43,8093300,42.125
2015-06-16,43,43.7,42.4,43.4,3902500,42.517
2015-06-17,43.6,44.35,43.2,43.55,3853300,42.664
2015-06-18,43.5,44.2,43.1,43.7,2911700,42.811
2015-06-19,43.9,44.3,43.2,43.75,3186700,42.86
2015-06-22,43.85,45.85,43.85,45.2,4119900,44.28
2015-06-23,45.2,45.65,44.55,45.15,2975200,44.231
2015-06-24,46,46.1,44.4,44.7,6199200,43.791
2015-06-25,44.6,45.25,44.4,45,7665800,44.084
2015-06-26,45,47.7,43.8,46.5,11859300,45.554
2015-06-29,45,45.5,44.2,44.85,4920600,43.937
2015-06-30,44.9,45.45,44.4,44.85,3965400,43.937
2015-07-01,44.75,45.85,44.75,45.35,3733400,44.427
2015-07-02,45.55,46.2,45,45.2,4199200,44.28
2015-07-03,46,46,44.55,44.8,4124100,43.889
2015-07-06,44.25,45.75,44,45.35,3980200,44.427
2015-07-07,45.2,46.2,45.05,45.7,5114500,44.77
2015-07-08,45.05,45.45,43.9,44.95,7337400,44.035
2015-07-09,44.95,46.7,44.85,45.9,6378600,44.966
2015-07-10,46.6,46.6,44.5,44.7,6879100,43.791
2015-07-13,44.8,45.55,44.7,45.45,3000300,44.525
2015-07-14,45.65,45.85,44.85,44.95,3340400,44.035
2015-07-15,45,45.9,44.95,45.2,3185900,44.28
2015-07-16,45.9,46.1,45.5,45.7,3905900,44.77
2015-07-17,45.9,46.95,45.5,46.3,5062900,45.358
2015-07-20,46.4,46.75,45.6,46.1,2651800,45.162
2015-07-21,46.05,46.2,43.85,44.15,3693100,43.252
2015-07-22,44.1,45.55,43.85,45.25,3140200,44.329
2015-07-23,45.3,45.55,44.75,44.95,2591100,44.035
2015-07-24,44.9,45.15,44.05,44.2,2433000,43.301
2015-07-27,44.2,44.65,42.95,43.1,3291400,42.223
2015-07-28,43.2,43.4,41.7,42.3,3332700,41.439
2015-07-29,42.05,42.65,40.3,40.8,5279100,39.97
2015-07-30,41,42.5,40.75,42.35,4510800,41.488
2015-07-31,42.6,43.45,42.3,42.65,3400600,41.782
2015-08-03,43.5,43.95,42.55,43.3,2603900,42.419
2015-08-04,43.3,43.9,42.7,43.55,2804800,42.664
2015-08-05,43.5,44.55,43.35,43.95,3991600,43.056
2015-08-06,44.05,44.7,43.8,44.4,3262000,43.497
2015-08-07,44.3,44.6,43.6,43.9,2957000,43.007
2015-08-10,43.9,44.3,43.25,43.5,1749500,42.615
2015-08-11,43.75,45.1,42.7,44.55,7706300,43.644
2015-08-12,45,45.7,43.3,43.65,7689800,42.762
2015-08-13,44,44.3,40,40.75,11204200,39.921
2015-08-14,41.3,42.15,40.65,41.85,4497400,40.999
2015-08-17,42,42.6,40.9,42.2,3547100,41.341
2015-08-18,42.45,42.5,40.85,42,2796100,41.145
2015-08-19,41.9,42.4,41.55,42,2259200,41.145
2015-08-20,41.9,42.1,40.7,40.9,2974900,40.068
2015-08-21,40.45,41.75,40,41.35,3339900,40.509
2015-08-24,40,40.25,35.25,35.9,7629800,35.17
2015-08-25,36.9,37.2,33.1,35.95,9370300,35.219
2015-08-26,36,37.6,35.05,36.7,5831900,35.953
2015-08-27,37.55,37.8,36.6,37.35,10256200,36.59
2015-08-28,38,38.9,37,37.7,5434600,36.933
2015-08-31,37.85,38.4,37.1,37.5,3631200,36.737
2015-09-01,37,37.45,35.95,36.4,3703300,35.659
2015-09-02,36.75,37.05,36.25,36.5,3554900,35.757
2015-09-03,36.7,37.75,36.55,37.55,3308600,36.786
2015-09-04,37.5,37.5,35,35.6,4030600,34.876
2015-09-07,36,36.2,34.9,35.2,2986400,34.484
2015-09-08,35.5,36.7,34,36.4,5273500,35.659
2015-09-09,37.25,38.45,36.7,37.9,5665700,37.129
2015-09-10,37.15,38.45,36.65,38.25,4337600,37.472
2015-09-11,38.4,38.6,37.65,38.25,3381800,37.472
2015-09-14,38.2,40.5,37.8,39.95,5305300,39.137
2015-09-15,40,40.25,38.75,38.95,4468500,38.158
2015-09-16,39.5,40.1,38.8,39.8,3240500,38.99
2015-09-17,39.8,39.8,39.8,39.8,0,38.99
2015-09-18,40,41.1,40,40.8,7591600,39.97
2015-09-21,40.5,43.5,40.15,42.7,7206200,41.831
2015-09-22,42.85,42.95,40.6,41.2,4819500,40.362
2015-09-23,40.85,42.45,40.5,41.95,3395200,41.096
2015-09-24,41.8,42.6,41.15,41.55,4997300,40.705
2015-09-25,41.55,41.55,41.55,41.55,0,40.705
2015-09-28,41.7,43.55,41.4,42.55,3728200,41.684
2015-09-29,41.8,43.45,40.5,42.55,6099200,41.684
2015-09-30,42.75,43.4,42.4,43,4149200,42.125
2015-10-01,44,44.7,43,43.5,6521600,42.615
2015-10-02,43.5,43.5,43.5,43.5,0,42.615
2015-10-05,43.65,44.65,43.65,44.5,3563600,43.595
2015-10-06,44.55,45.4,44.35,45.05,4310100,44.133
2015-10-07,45.1,47.3,44.6,46.65,7556300,45.701
2015-10-08,46.85,46.9,45.4,46.2,3972500,45.26
2015-10-09,46.45,47.2,45.6,46.15,3381200,45.211
2015-10-12,46.3,49.65,45.75,47.95,8492600,46.974
2015-10-13,48,48.55,47.15,47.9,4029400,46.925
2015-10-14,47.75,48.75,47.25,47.5,3683000,46.534
2015-10-15,47.95,48.5,47.6,48.05,2801700,47.072
2015-10-16,48.2,49.1,47.85,48.65,4247300,47.66
2015-10-19,48.8,48.95,48.1,48.7,2725000,47.709
2015-10-20,48.6,52.7,48.5,51.15,13584800,50.109
2015-10-21,51.4,51.9,49.65,50.5,6310200,49.473
2015-10-22,50.5,50.5,50.5,50.5,0,49.473
2015-10-23,51,51.35,49.3,49.8,3698000,48.787
2015-10-26,49.85,50.45,49.1,49.3,3645300,48.297
2015-10-27,49.2,50.3,48.65,49.7,4341900,48.689
2015-10-28,49.55,49.8,48.85,49.15,2893500,48.15
2015-10-29,49,50.05,48.75,49,4682900,48.003
2015-10-30,49.1,52.7,49.05,50.45,10253300,49.424
2015-11-02,50.4,50.7,49.05,49.85,3462700,48.836
2015-11-03,50.5,51.1,48.55,49.45,9829900,48.444
2015-11-04,50.15,52.25,50.1,51.4,11071000,50.354
2015-11-05,51.5,52.5,51,51.4,8359600,50.354
2015-11-06,52.25,52.4,47.25,48.5,8071600,47.513
2015-11-09,47,49.9,46.3,49.4,13288100,48.395
2015-11-10,49.5,50.2,46.85,47.15,6080700,46.191
2015-11-11,47.15,47.15,47.15,47.15,0,46.191
2015-11-12,47.15,47.15,47.15,47.15,0,46.191
2015-11-13,47.6,49.8,47.4,48.6,5574700,47.611
2015-11-16,48.1,49.9,48.1,49.6,4420800,48.591
2015-11-17,50.15,50.75,48.75,49.65,4661600,48.64
2015-11-18,49.6,50.45,48.95,49.15,5317600,48.15
2015-11-19,48.3,49,48.05,48.15,3795000,48.15
2015-11-20,48.25,49.1,47.55,48.15,4248000,48.15
2015-11-23,48.15,48.7,48,48.25,2082400,48.25
2015-11-24,48.1,49.3,48.1,48.9,3628000,48.9
