"Date","SAIL.NS.Open","SAIL.NS.High","SAIL.NS.Low","SAIL.NS.Close","SAIL.NS.Volume","SAIL.NS.Adjusted"
2015-01-01,412.75,416.5,410.5,413.75,8588000,80.48
2015-01-02,413.5,419,413,414.25,10148200,80.58
2015-01-05,413.75,421.25,411.5,413.5,12748100,80.43
2015-01-06,412,412.75,390,393.25,24520700,76.49
2015-01-07,393,396.5,382.75,389,15258400,75.67
2015-01-08,391.5,398.25,391,395.75,11819900,76.98
2015-01-09,398.5,403.25,390,392.75,14950800,76.4
2015-01-12,392.25,403.5,385.5,400,17369700,77.81
2015-01-13,398.5,400,388.5,391.25,19089100,76.1
2015-01-14,390,392.25,379,385.25,20078200,74.94
2015-01-15,386,395,385,387.75,19014900,75.42
2015-01-16,387.5,389,381,384.75,14954700,74.84
2015-01-19,386.5,390.5,380.25,384,12368500,74.69
2015-01-20,384,392.75,384,389.75,14945900,75.81
2015-01-21,391,392,382,384.5,16576500,74.79
2015-01-22,385,390.5,384.75,389.5,18412500,75.76
2015-01-23,393.5,393.75,385,390.75,12210500,76.01
2015-01-26,390.75,390.75,390.75,390.75,0,76.01
2015-01-27,390,396,387,393.75,22225300,76.59
2015-01-28,393.75,397.75,388.5,391.25,16083100,76.1
2015-01-29,390,397.5,386.75,393.5,20903900,76.54
2015-01-30,393.5,396,382.75,385.75,9699600,75.03
2015-02-02,385,385,376,377.75,13376200,73.48
2015-02-03,377.75,379.75,367.5,368.25,17264900,71.63
2015-02-04,372.25,373.75,368.25,370.5,16745100,72.07
2015-02-05,371,377.5,366.25,370,11145900,71.97
2015-02-06,369.25,371.25,356,368.25,8105700,71.63
2015-02-09,365.5,365.5,354.25,355.75,10224400,69.2
2015-02-10,352.5,358.5,345.25,348.5,13158900,67.79
2015-02-11,349.5,369.25,349.5,366,13862800,71.19
2015-02-12,367.25,370.5,362,366.5,9030200,71.29
2015-02-13,366.75,385.75,366,375.75,33143900,73.09
2015-02-16,375.75,381,371.25,374.75,17260700,72.89
2015-02-17,374.75,374.75,374.75,374.75,0,72.89
2015-02-18,370,373,362.5,363.75,10674400,72.45
2015-02-19,365.5,376.75,364,374,17050200,74.49
2015-02-20,375,378,370,371.75,11381300,74.04
2015-02-23,375,375,365.5,367.5,7168800,73.19
2015-02-24,368.5,368.75,351.75,353.25,13508900,70.36
2015-02-25,355,358,349.25,350.25,10449900,69.76
2015-02-26,351.25,352.25,337.25,338.25,20444800,67.37
2015-02-27,340.75,352.5,340.5,351.5,12419000,70.01
2015-03-02,355,359,346.5,349,9407100,69.51
2015-03-03,351.25,353.5,345.5,346.75,11631400,69.06
2015-03-04,350.75,350.75,337.5,339,12258300,67.52
2015-03-05,340,341,332.5,334.25,10062400,66.57
2015-03-06,334.25,334.25,334.25,334.25,0,66.57
2015-03-09,333.75,336,327.75,328.75,10978500,65.48
2015-03-10,330.5,338,327.25,335,14365400,66.72
2015-03-11,335.25,336.25,327,330.25,9914700,65.77
2015-03-12,336.25,346.25,334.5,343.25,22212400,68.36
2015-03-13,345.5,346,336.25,338.75,14141900,67.47
2015-03-16,340,340.5,332.25,337.5,8338800,67.22
2015-03-17,338,344.75,336,344,14875700,68.51
2015-03-18,344,344,337.5,340.25,10518400,67.77
2015-03-19,342.5,343.25,338.25,340.25,12558000,67.77
2015-03-20,340,346.75,339,344.25,16926900,68.56
2015-03-23,344.5,351,339,348.75,10194500,69.46
