"Date","SANWARIA.NS.Open","SANWARIA.NS.High","SANWARIA.NS.Low","SANWARIA.NS.Close","SANWARIA.NS.Volume","SANWARIA.NS.Adjusted"
2015-01-01,7.35,7.8,7.35,7.7,45700,7.7
2015-01-02,7.8,8,7.6,7.7,50400,7.7
2015-01-05,7.55,7.95,7.5,7.6,40800,7.6
2015-01-06,7.6,7.6,7.35,7.4,59800,7.4
2015-01-07,7.3,7.55,7.25,7.3,59600,7.3
2015-01-08,7.3,7.6,7,7.45,64500,7.45
2015-01-09,7.4,7.55,7.35,7.4,28200,7.4
2015-01-12,7.45,7.5,7.3,7.45,8500,7.45
2015-01-13,7.35,7.45,7.25,7.35,40900,7.35
2015-01-14,7.3,7.5,7.3,7.45,51700,7.45
2015-01-15,7.3,7.45,7.3,7.3,33400,7.3
2015-01-16,7.3,7.45,7.2,7.25,40700,7.25
2015-01-19,7.3,7.4,7.1,7.15,67200,7.15
2015-01-20,7.3,7.35,7.1,7.15,81300,7.15
2015-01-21,7.3,7.7,7.1,7.25,191900,7.25
2015-01-22,7.2,7.3,7.1,7.15,58300,7.15
2015-01-23,7.2,7.25,6.95,7.15,81900,7.15
2015-01-26,7.15,7.15,7.15,7.15,0,7.15
2015-01-27,7.05,7.15,7,7.05,40300,7.05
2015-01-28,7.05,7.15,7,7.05,69500,7.05
2015-01-29,7.05,7.2,7,7.05,22000,7.05
2015-01-30,7.05,7.15,7,7,57000,7
2015-02-02,7.15,7.15,6.9,6.95,70400,6.95
2015-02-03,7.15,7.15,6.7,6.85,55300,6.85
2015-02-04,6.85,7.1,6.85,6.9,76100,6.9
2015-02-05,6.85,6.95,6.8,6.85,44800,6.85
2015-02-06,6.95,6.95,6.3,6.65,57500,6.65
2015-02-09,6.5,6.85,6.4,6.5,35700,6.5
2015-02-10,6.55,6.85,6.2,6.35,56500,6.35
2015-02-11,6.25,6.5,6.25,6.3,39200,6.3
2015-02-12,6.45,6.95,6.45,6.75,115700,6.75
2015-02-13,6.75,7.15,6.55,6.75,69500,6.75
2015-02-16,6.9,7.1,6.8,6.9,53700,6.9
2015-02-17,6.9,6.9,6.9,6.9,0,6.9
2015-02-18,6.8,7.05,6.75,6.85,66300,6.85
2015-02-19,7,7,6.85,6.95,31200,6.95
2015-02-20,7,7.25,6.85,7.1,122800,7.1
2015-02-23,7.1,7.3,6.95,7,94500,7
2015-02-24,7,7.15,6.9,6.9,20000,6.9
2015-02-25,6.9,7.1,6.9,7,34400,7
2015-02-26,6.95,7,6.9,7,20000,7
2015-02-27,7,7.05,6.95,7,20600,7
2015-03-02,7.1,7.1,6.9,6.9,26400,6.9
2015-03-03,7,7,6.85,6.85,25900,6.85
2015-03-04,6.85,7.1,6.8,6.8,13500,6.8
2015-03-05,6.7,7,6.7,6.85,20300,6.85
2015-03-06,6.85,6.85,6.85,6.85,0,6.85
2015-03-09,6.8,6.95,6.65,6.8,13600,6.8
2015-03-10,6.8,6.95,6.7,6.7,31900,6.7
2015-03-11,6.7,6.8,6.65,6.8,26400,6.8
2015-03-12,6.7,6.85,6.6,6.75,22800,6.75
2015-03-13,6.7,6.8,6.6,6.6,20600,6.6
2015-03-16,6.75,6.75,6.6,6.65,19900,6.65
2015-03-17,6.75,6.75,6.6,6.7,24200,6.7
2015-03-18,6.6,7,6,6.7,52600,6.7
2015-03-19,6.65,6.8,6.4,6.55,54000,6.55
2015-03-20,6.55,6.7,6.25,6.3,25000,6.3
2015-03-23,5.85,6.9,5.85,6.05,81500,6.05
2015-03-24,6,6.4,5.8,5.85,54500,5.85
2015-03-25,5.85,6,5.8,5.85,63700,5.85
2015-03-26,5.75,5.85,5.7,5.8,29000,5.8
2015-03-27,5.85,5.85,5.65,5.7,41700,5.7
2015-03-30,5.65,5.9,5.65,5.75,54400,5.75
2015-03-31,5.75,5.85,5.55,5.8,112300,5.8
2015-04-01,5.9,6.05,5.75,5.9,147700,5.9
2015-04-02,5.9,5.9,5.9,5.9,0,5.9
2015-04-03,5.9,5.9,5.9,5.9,0,5.9
2015-04-06,6,6.15,5.95,6.15,35700,6.15
2015-04-07,6.15,6.3,6.05,6.15,46500,6.15
2015-04-08,6.15,6.65,6.15,6.6,79300,6.6
2015-04-09,6.7,6.9,6.5,6.75,80300,6.75
2015-04-10,7,7.1,6.3,6.75,59500,6.75
2015-04-13,6.9,6.9,6.65,6.7,19400,6.7
2015-04-14,6.7,6.7,6.7,6.7,0,6.7
2015-04-15,6.65,6.8,6.55,6.7,56200,6.7
2015-04-16,6.85,6.85,6.55,6.55,17000,6.55
2015-04-17,6.6,6.65,6.35,6.4,61500,6.4
2015-04-20,6.5,6.7,6.3,6.4,63600,6.4
2015-04-21,6.3,6.6,6.2,6.25,22800,6.25
2015-04-22,6.45,6.55,6.3,6.5,23400,6.5
2015-04-23,6.5,6.65,6.4,6.45,16000,6.45
2015-04-24,6.3,6.35,6.15,6.2,28400,6.2
2015-04-27,6.1,6.3,6,6,28800,6
2015-04-28,6,6.2,5.95,6.1,26900,6.1
2015-04-29,6.05,6.2,6.05,6.05,20200,6.05
2015-04-30,6.05,6.2,6.05,6.1,15800,6.1
2015-05-01,6.1,6.1,6.1,6.1,0,6.1
2015-05-04,6.1,6.2,6.05,6.1,16700,6.1
2015-05-05,6.2,6.7,6,6.2,44500,6.2
2015-05-06,6.2,6.45,6,6,57400,6
2015-05-07,6.1,6.25,5.85,5.95,43400,5.95
2015-05-08,6,6.1,5.85,5.85,20900,5.85
2015-05-11,6,6,5.85,5.9,10100,5.9
2015-05-12,5.85,5.9,5.75,5.8,20600,5.8
2015-05-13,6.25,6.25,5.75,5.9,12000,5.9
2015-05-14,6.1,6.1,5.75,5.85,19200,5.85
2015-05-15,6,6.05,5.85,5.9,15400,5.9
2015-05-18,6.2,6.25,5.85,5.95,26900,5.95
2015-05-19,6.15,6.2,5.85,6,32000,6
2015-05-20,6.2,6.2,5.9,5.95,13800,5.95
2015-05-21,6,6.15,5.8,5.85,29800,5.85
2015-05-22,6,6,5.85,5.9,11200,5.9
2015-05-25,6,6.05,5.75,5.75,22900,5.75
2015-05-26,6,6,5.75,5.85,7700,5.85
2015-05-27,5.95,7,5.7,5.75,47800,5.75
2015-05-28,5.75,5.95,5.7,5.7,24800,5.7
2015-05-29,5.9,5.9,5.65,5.8,11800,5.8
2015-06-01,5.95,6.05,5.75,5.85,29800,5.85
2015-06-02,6,6,5.7,5.7,17800,5.7
2015-06-03,5.95,6,5.3,5.5,50300,5.5
2015-06-04,5.9,6.6,5.05,5.6,86400,5.6
2015-06-05,5.85,5.85,5.6,5.7,4700,5.7
2015-06-08,5.9,5.9,5.55,5.6,13500,5.6
2015-06-09,5.6,5.9,5.5,5.7,14600,5.7
2015-06-10,5.6,5.9,5.4,5.45,29800,5.45
2015-06-11,5.4,5.8,5.1,5.25,76700,5.25
2015-06-12,5.1,5.55,5.1,5.25,146400,5.25
2015-06-15,5.5,5.5,5,5.2,31900,5.2
2015-06-16,5.1,5.35,5,5.1,21600,5.1
2015-06-17,5.05,5.3,4.95,5.15,14600,5.15
2015-06-18,5.1,5.45,5.1,5.15,28200,5.15
2015-06-19,5.4,5.4,5.1,5.2,24300,5.2
2015-06-22,5.1,5.4,5.1,5.3,29500,5.3
2015-06-23,5.45,5.45,5.2,5.35,32200,5.35
2015-06-24,5.4,5.45,5.25,5.3,9600,5.3
2015-06-25,5.35,5.5,5.25,5.4,28300,5.4
2015-06-26,5.4,5.45,5.3,5.4,3800,5.4
2015-06-29,5.35,5.5,5.1,5.15,21000,5.15
2015-06-30,5.35,5.45,5.1,5.3,35300,5.3
2015-07-01,5.2,5.45,5.1,5.35,25500,5.35
2015-07-02,5.45,5.5,5.2,5.2,30900,5.2
2015-07-03,5.35,5.4,5.1,5.25,19000,5.25
2015-07-06,5.1,5.4,5.1,5.25,18800,5.25
2015-07-07,5.2,6.3,5.2,6.2,163000,6.2
2015-07-08,6.3,7.4,6.3,7.4,726700,7.4
2015-07-09,8,8.85,6.9,7.35,1902100,7.35
2015-07-10,7.25,8,7.2,7.95,965600,7.95
2015-07-13,7.95,8.65,7.7,8.35,754900,8.35
2015-07-14,8.7,9.15,8.6,9.1,1064000,9.1
2015-07-15,9.15,9.95,9.15,9.7,1588300,9.7
2015-07-16,9.85,10.05,9.4,9.55,776700,9.55
2015-07-17,9.8,9.8,9.35,9.4,728600,9.4
2015-07-20,9.2,9.2,8.95,8.95,386600,8.95
2015-07-21,8.7,9.15,8.55,8.7,485200,8.7
2015-07-22,8.9,9,8.65,8.7,446600,8.7
2015-07-23,8.85,8.85,8.3,8.35,156100,8.35
2015-07-24,8.1,8.35,8,8.15,582600,8.15
2015-07-27,7.9,8.15,7.9,8.05,153500,8.05
2015-07-28,8,8.15,7.8,7.95,335200,7.95
2015-07-29,7.9,8.3,7.7,8.05,531500,8.05
2015-07-30,8,8.2,8,8.05,34000,8.05
2015-07-31,8,8.25,7.8,8,527400,8
2015-08-03,8,8.05,7.85,7.9,45800,7.9
2015-08-04,7.9,8.2,7.75,8,762600,8
2015-08-05,8.15,8.15,7.75,7.85,133500,7.85
2015-08-06,7.9,8.05,7.65,7.8,134100,7.8
2015-08-07,7.8,8,7.75,7.85,216300,7.85
2015-08-10,8,8,7.85,8,226200,8
2015-08-11,8,8,7.7,7.75,79800,7.75
2015-08-12,7.75,7.8,7.4,7.4,314000,7.4
2015-08-13,7.45,7.55,7.2,7.35,120500,7.35
2015-08-14,7.35,7.45,7,7,342100,7
2015-08-17,7.25,7.35,6.8,7.35,158500,7.35
2015-08-18,7.6,7.7,7.35,7.4,187100,7.4
2015-08-19,7.45,7.75,7.25,7.4,86800,7.4
2015-08-20,7.45,7.45,7.05,7.05,38600,7.05
2015-08-21,6.7,7.1,6.7,6.95,121000,6.95
2015-08-24,6.7,6.8,6.65,6.65,49400,6.65
2015-08-25,6.65,6.65,6.35,6.35,25700,6.35
2015-08-26,6.05,6.35,6.05,6.05,142200,6.05
2015-08-27,6,6.15,5.85,6.05,144500,6.05
2015-08-28,6.3,6.35,6.1,6.25,77700,6.25
2015-08-31,6.35,6.55,6.25,6.35,70700,6.35
2015-09-01,6.4,6.5,6.05,6.2,63700,6.2
2015-09-02,6.35,6.35,5.9,6,68800,6
2015-09-03,6.05,6.25,5.9,6.05,39700,6.05
2015-09-04,5.85,6.2,5.8,6.05,21600,6.05
2015-09-07,5.95,6.15,5.8,5.85,29200,5.85
2015-09-08,5.85,6.1,5.85,6,19000,6
2015-09-09,5.9,6.15,5.9,5.95,21400,5.95
2015-09-10,5.85,6.2,5.75,6.1,51900,6.1
2015-09-11,6.15,6.35,6.05,6.25,34000,6.25
