"Date","SBIN.NS.Open","SBIN.NS.High","SBIN.NS.Low","SBIN.NS.Close","SBIN.NS.Volume","SBIN.NS.Adjusted"
2015-01-01,312.45,315,310.7,314,6138400,306.0654
2015-01-02,314.35,318.3,314.35,315.25,9935000,307.2838
2015-01-05,316.25,316.8,312.1,312.75,9136700,304.847
2015-01-06,310,311.1,298.7,299.9,15329200,292.3217
2015-01-07,300,302.55,295.15,300.15,15046700,292.5654
2015-01-08,305,306.5,302.35,304.85,8939700,297.1467
2015-01-09,306.7,307.85,302,303.2,11953900,295.5384
2015-01-12,304.15,307.8,301.1,307.1,8536100,299.3398
2015-01-13,308.15,310.75,304.15,305.1,9484800,297.3903
2015-01-14,304,307,302.25,304.7,8855600,297.0004
2015-01-15,319.9,323.7,314,320.3,30729500,312.2062
2015-01-16,320,320.3,313.1,315.45,21598500,307.4788
2015-01-19,316.55,317.95,312.5,313.15,9975600,305.2369
2015-01-20,314,319.8,314,318.15,13104600,310.1106
2015-01-21,319.9,327.6,319,326.2,22617600,317.9572
2015-01-22,326.9,327.6,321.8,324.65,12232600,316.4463
2015-01-23,328.25,332.55,324.65,327.45,17127200,319.1756
2015-01-26,327.45,327.45,327.45,327.45,0,319.1756
2015-01-27,329.4,332.15,322.6,330.05,13734000,321.7098
2015-01-28,330.4,336,328.2,334.6,19428800,326.1449
2015-01-29,332.8,333.6,325.1,327,14911600,318.7369
2015-01-30,328.7,330.5,307,308.95,30252800,301.1431
2015-02-02,309.5,311.9,305.1,307.5,17639800,299.7297
2015-02-03,312,312,299.05,300.3,23743800,292.7116
2015-02-04,302.7,302.95,291.9,293.05,21477500,285.6448
2015-02-05,293.15,297.8,289.2,290.8,15722300,283.4517
2015-02-06,291,294.85,285.7,290.3,15985700,282.9643
2015-02-09,289.5,292.8,278,279.5,17088700,272.4372
2015-02-10,277.5,290.8,275.7,287.3,22589600,280.0401
2015-02-11,290.8,293.5,283.7,285.95,17366500,278.7242
2015-02-12,288.9,289,278.3,284.3,20957100,277.1159
2015-02-13,288,307.95,285.35,306.95,70540000,299.1936
2015-02-16,310.6,313.15,304.7,306.7,21372100,298.9499
2015-02-17,306.7,306.7,306.7,306.7,0,298.9499
2015-02-18,306.8,307.9,302,305.7,13472400,297.9752
2015-02-19,306.1,307.3,296.8,302.35,17762100,294.7098
2015-02-20,301.9,306.5,297.05,302.3,15792500,294.6611
2015-02-23,303.2,304.6,294.4,296.55,12440500,289.0564
2015-02-24,296.9,299,292.1,296.25,15046600,288.764
2015-02-25,299,300.65,295,295.55,12845100,288.0816
2015-02-26,297,297,288.05,289.4,18707300,282.0871
2015-02-27,291.25,301,290.1,299.9,18316000,292.3217
2015-03-02,305.9,305.9,296.7,302,15085500,294.3687
2015-03-03,303.5,305.4,299.7,302.6,14387900,294.9535
2015-03-04,314,315,292,293.85,38674100,286.4246
2015-03-05,294.75,296.25,289.75,293.8,16803800,286.3759
2015-03-06,293.8,293.8,293.8,293.8,0,286.3759
2015-03-09,292,294,288.7,290.65,13199800,283.3055
2015-03-10,290.75,293.25,285.1,287.6,14064400,280.3325
2015-03-11,288.55,290.9,283.75,285.15,16329300,277.9444
2015-03-12,288.15,289.45,286.1,286.85,9969700,279.6015
2015-03-13,290,291.05,280,280.75,13414200,273.6556
2015-03-16,281.5,283.85,280,281.65,15132900,274.5329
2015-03-17,283.9,284,279.5,283.1,11350400,275.9463
2015-03-18,284.1,288.45,282,287.3,12394200,280.0401
2015-03-19,290,290.3,280.6,281.6,11046600,274.4842
2015-03-20,281.8,282.4,276.8,278.25,11482600,271.2188
2015-03-23,279.4,280,273.55,274.75,13058000,267.8073
2015-03-24,273.8,276.4,269,270.55,17585200,263.7134
2015-03-25,271.9,272.1,265,265.4,15824600,258.6935
2015-03-26,264.5,265.9,255.2,256.65,22253300,250.1646
2015-03-27,259.85,264.95,256,263.6,19423100,256.939
2015-03-30,265.1,269.35,263.15,267.9,12303800,261.1303
2015-03-31,268.9,271.35,266,267.05,19482600,260.3018
2015-04-01,266.65,274.65,263.15,273.45,12383500,266.5401
2015-04-02,273.45,273.45,273.45,273.45,0,266.5401
2015-04-03,273.45,273.45,273.45,273.45,0,266.5401
2015-04-06,275.45,275.75,271.2,274.65,12925400,267.7098
2015-04-07,275.3,276.35,270.3,272.05,12933500,265.1755
2015-04-08,271.9,277.35,271.85,273.9,9913800,266.9787
2015-04-09,275,281.8,272.5,280.85,13471200,273.7531
2015-04-10,281,287.35,280.05,285.75,16880500,278.5293
2015-04-13,287.8,288.5,283.35,286.3,11985400,279.0654
2015-04-14,286.3,286.3,286.3,286.3,0,279.0654
2015-04-15,287.4,294.45,285.95,290,17289500,282.6719
2015-04-16,290.25,294.25,286.5,292.4,15043900,285.0112
2015-04-17,291,294.9,289.2,291.75,16819000,284.3777
2015-04-20,291,293.35,284.85,287.65,13788500,280.3813
2015-04-21,287.4,292,281.75,289.2,15487900,281.8921
2015-04-22,290.55,293.25,275.4,283.85,17741700,276.6773
2015-04-23,285,287.4,276.25,277.65,13874700,270.634
2015-04-24,278.35,279.6,274.35,275.55,10049500,268.587
2015-04-27,276.55,276.55,266.1,267.05,12394100,260.3018
2015-04-28,267,273.5,265.15,272.5,12693400,265.6141
2015-04-29,272.25,273.4,269.55,271.9,8217600,265.0293
2015-04-30,270.1,273.45,266.7,269.75,21635200,262.9336
2015-05-01,269.75,269.75,269.75,269.75,0,262.9336
2015-05-04,274,278,271.65,277.15,8012600,270.1466
2015-05-05,277,277,271.35,272.05,7102700,265.1755
2015-05-06,271.45,273.6,263.25,265.4,16335600,258.6935
2015-05-07,264,267.25,259.65,260.95,15962700,254.356
2015-05-08,264,268,260.3,261.95,14044500,255.3307
2015-05-11,263.4,277.2,262.6,276.05,17198300,269.0744
2015-05-12,275.3,275.4,266.35,267.4,12792300,260.643
2015-05-13,269.9,275,268.05,274.3,9245700,267.3686
2015-05-14,274,281.9,272.95,280.95,13101400,273.8506
2015-05-15,282,288.35,282,287.45,18247800,280.1863
2015-05-18,289.9,290,285.4,289.75,13266100,282.4282
2015-05-19,289.2,291.35,286.2,288.45,14541000,281.1611
2015-05-20,289.5,294.8,289.25,292.6,11807500,285.2062
2015-05-21,294,294.75,288.45,290.25,12118400,282.9156
2015-05-22,293,305,280.75,282.45,69490100,275.3127
2015-05-25,280.2,284.3,276.15,277.65,20356800,270.634
2015-05-26,279,280.8,276,277.15,9675700,270.1466
