"Date","SHREECEM.NS.Open","SHREECEM.NS.High","SHREECEM.NS.Low","SHREECEM.NS.Close","SHREECEM.NS.Volume","SHREECEM.NS.Adjusted"
2015-01-01,9405.65,9450,9301,9377.55,5500,9337.49
2015-01-02,9400,9400,9297.5,9325.9,1600,9286.06
2015-01-05,9299.5,9394.95,9280,9302.55,2600,9262.81
2015-01-06,9315,9315,9000.05,9076.35,2100,9037.58
2015-01-07,9085,9145.7,8977.7,9064,6100,9025.28
2015-01-08,9200,9200,9070.5,9161.75,9500,9122.61
2015-01-09,9185,9250,9175.05,9188.3,5800,9149.05
2015-01-12,9115,9280,9115,9202.05,21100,9162.74
2015-01-13,9231.05,9312,9199.95,9231.9,16800,9192.46
2015-01-14,9289.2,9302,9159.95,9262.4,13000,9222.83
2015-01-15,9220,10132,9220,9974,34300,9931.39
2015-01-16,10100,10100,9840,9920.2,5100,9877.82
2015-01-19,9930,10322,9930,10257.2,23200,10213.38
2015-01-20,10205,10550,10107.2,10456.4,24900,10411.73
2015-01-21,10525,10650,10360,10427.3,11900,10382.76
2015-01-22,10450,11200,10345,10904.2,27100,10857.62
2015-01-23,11125,11132,10801,11030,46700,10982.88
2015-01-26,11030,11030,11030,11030,0,10982.88
2015-01-27,11099.9,11243,10588.2,10848.7,12300,10802.36
2015-01-28,11050,11100,10900,11057.7,12800,11010.47
2015-01-29,11190,11190,10770,10894.9,12800,10848.36
2015-01-30,11050,11050,10800,10969.7,26500,10922.84
2015-02-02,11100,11100,10843.2,10897.8,11800,10851.25
2015-02-03,11190,11786,10298,10848.3,90400,10801.96
2015-02-04,10848.3,10906.6,10100,10688.2,31100,10642.54
2015-02-05,10499,11097.7,10352.5,11001.8,9400,10954.8
2015-02-06,10996.4,11200,10690.5,11073,18900,11025.7
2015-02-09,10903.6,11177.7,10903.6,11066.7,12300,11019.43
2015-02-10,11000,11160,10832,11002.7,21400,10955.7
2015-02-11,11010,11100.2,10850,11084.8,7700,11037.45
2015-02-12,10930,11169.9,10930,11114.5,2500,11067.02
2015-02-13,11045,11499.5,11045,11299.8,29000,11251.53
2015-02-16,11345.2,11425.7,10910,11062.3,5800,11015.05
2015-02-17,11062.3,11062.3,11062.3,11062.3,0,11015.05
2015-02-18,10861.7,11300,10740.3,10899,85600,10852.44
2015-02-19,11054,11245,10801.1,11003.7,47400,10956.7
2015-02-20,11061.2,11150,10905,11109.3,12500,11061.84
2015-02-23,11125.5,11150,11015.3,11110.8,7300,11063.34
2015-02-24,11150,11222,10607.7,10988.8,11700,10941.86
2015-02-25,11195.1,11207,10878.8,11064,60000,11016.74
2015-02-26,11064,11100,10815.7,10993.2,20600,10946.24
