"Date","SIEMENS.NS.Open","SIEMENS.NS.High","SIEMENS.NS.Low","SIEMENS.NS.Close","SIEMENS.NS.Volume","SIEMENS.NS.Adjusted"
2015-01-01,904.1,919,898.4,906.7,148500,890.869
2015-01-02,910,917.9,901.55,914.35,156800,898.386
2015-01-05,908,933,908,918.65,264200,902.611
2015-01-06,910,913.65,875.1,895.7,307000,880.061
2015-01-07,901,910,881.8,899.2,160700,883.5
2015-01-08,909.5,929.05,904,920.4,245300,904.33
2015-01-09,928,937.25,911.05,914.45,189800,898.484
2015-01-12,915.5,931.75,905.05,926.2,196600,910.029
2015-01-13,937.7,937.7,907.4,919.4,215500,903.348
2015-01-14,916.5,940.8,909.1,931.65,358400,921.397
2015-01-15,944.9,963.7,928.95,945.65,360400,935.243
2015-01-16,944,970.95,936.6,965.1,363900,954.479
2015-01-19,967.8,987.4,955.6,969.3,433400,958.632
2015-01-20,971.05,978.8,950.15,952.95,265600,942.462
2015-01-21,959.8,993.9,956,986.9,366900,976.039
2015-01-22,994,1017,990,1010.65,545000,999.527
2015-01-23,1017.1,1043.85,1009,1039,501300,1027.565
2015-01-26,1039,1039,1039,1039,0,1027.565
2015-01-27,1040,1072,1025.15,1064.25,375000,1052.537
2015-01-28,1061,1084.1,1044.25,1056.3,343200,1044.675
2015-01-29,1056,1069.8,1047,1055.95,290100,1044.329
2015-01-30,1057.8,1060,990,1042.15,864100,1030.681
2015-02-02,1042,1104,1039,1096.6,436100,1084.531
2015-02-03,1106.1,1118.8,1072.95,1110.4,390100,1098.179
2015-02-04,1117.6,1117.75,1082.5,1095.95,327700,1083.888
2015-02-05,1095,1106.9,1081.5,1094,284200,1081.96
2015-02-06,1095,1128.7,1092,1108,406300,1095.806
2015-02-09,1094.2,1138,1080,1106.1,487100,1093.927
2015-02-10,1105,1156.7,1090,1146.75,358300,1134.129
2015-02-11,1154.3,1184,1154.3,1171.2,309000,1158.31
2015-02-12,1172.5,1195,1165,1191.4,226000,1178.288
2015-02-13,1195,1208,1183.05,1203.7,225300,1190.453
2015-02-16,1205.05,1249,1201.05,1233.9,393900,1220.32
2015-02-17,1233.9,1233.9,1233.9,1233.9,0,1220.32
2015-02-18,1234,1260,1215.1,1251.9,311800,1238.122
2015-02-19,1254.8,1277,1242.1,1271.3,334600,1257.309
2015-02-20,1270,1276,1251.5,1257.9,173400,1244.056
2015-02-23,1262,1291.8,1255.8,1277.05,309100,1262.995
2015-02-24,1281,1288,1257,1269.85,230400,1255.875
2015-02-25,1275,1355,1275,1340.75,770100,1325.994
2015-02-26,1349,1368.5,1272.05,1280.2,1109700,1266.111
2015-02-27,1270,1339.9,1262.45,1327.7,660000,1313.088
2015-03-02,1340.1,1424.85,1324.55,1400.2,466800,1384.79
2015-03-03,1404,1450,1400,1428.15,384500,1412.432
2015-03-04,1435,1452.45,1401.4,1411.25,319100,1395.718
2015-03-05,1423,1423.7,1355.85,1376.1,445800,1360.955
2015-03-06,1376.1,1376.1,1376.1,1376.1,0,1360.955
2015-03-09,1375,1403.9,1355.9,1363.35,281500,1348.346
2015-03-10,1359.35,1380.9,1350,1368.5,283300,1353.439
2015-03-11,1385.45,1407.9,1375.1,1391.85,392300,1376.532
2015-03-12,1401,1489.8,1392.65,1471.95,543300,1455.75
2015-03-13,1479.85,1500,1421.4,1432.75,580200,1416.982
2015-03-16,1442.1,1448.8,1376.05,1395.2,381400,1379.845
2015-03-17,1402.4,1435.95,1383.3,1408.3,667500,1392.801
2015-03-18,1416,1439,1396.8,1403.65,348600,1388.202
2015-03-19,1417,1433.8,1360.5,1368.45,352600,1353.389
2015-03-20,1354,1387.65,1346,1367.95,314700,1352.895
2015-03-23,1374.95,1383.25,1335.55,1347.75,247600,1332.917
2015-03-24,1337,1353.4,1318.75,1338.7,305100,1323.967
2015-03-25,1348.9,1368,1338.6,1364.5,357400,1349.483
2015-03-26,1359.95,1386,1341.45,1355.2,693100,1340.285
2015-03-27,1365,1394,1340,1381.35,269900,1366.147
2015-03-30,1398.8,1418.55,1381,1414,235300,1398.438
2015-03-31,1418.85,1438.95,1391.3,1396.75,326400,1381.378
2015-04-01,1397.1,1419,1392.55,1412.5,161800,1396.955
2015-04-02,1412.5,1412.5,1412.5,1412.5,0,1396.955
2015-04-03,1412.5,1412.5,1412.5,1412.5,0,1396.955
2015-04-06,1420,1452,1400,1447.75,309200,1431.817
2015-04-07,1457,1470,1432.5,1449.05,335500,1433.102
2015-04-08,1458,1482.9,1450,1462.2,303700,1446.108
2015-04-09,1469,1490,1440,1458.85,313000,1442.795
2015-04-10,1465,1479,1439.4,1447.35,317700,1431.421
2015-04-13,1456.8,1457,1420.2,1441.35,248400,1425.487
2015-04-14,1441.35,1441.35,1441.35,1441.35,0,1425.487
2015-04-15,1450,1459.95,1421.15,1430.95,212600,1415.202
2015-04-16,1431.1,1439.7,1390,1404.4,178400,1388.944
2015-04-17,1409,1409,1313.95,1325.8,236300,1311.209
2015-04-20,1332,1344.9,1291.95,1303.35,269100,1289.006
2015-04-21,1307.8,1322.4,1272.7,1291.5,239700,1277.286
2015-04-22,1296.1,1318,1251.8,1296.15,325700,1281.885
2015-04-23,1305.8,1316.65,1268.6,1281.6,213100,1267.495
2015-04-24,1285,1299,1212.25,1228.15,416900,1214.634
2015-04-27,1274.8,1283,1245,1264.95,674900,1251.029
2015-04-28,1254.3,1304.45,1241,1293.6,323300,1279.363
2015-04-29,1293.1,1324.95,1289.05,1300.65,321400,1286.336
2015-04-30,1302.1,1369,1293.3,1360.8,605400,1345.824
2015-05-01,1360.8,1360.8,1360.8,1360.8,0,1345.824
2015-05-04,1380,1409,1371.5,1403.6,507600,1388.153
2015-05-05,1365.5,1370,1321.2,1345.6,414300,1330.791
2015-05-06,1335,1347.7,1280,1295.9,377800,1281.638
2015-05-07,1296,1298.95,1225.9,1250.5,408100,1236.738
2015-05-08,1262,1320.9,1262,1303,307700,1288.66
2015-05-11,1307.4,1351.6,1307.4,1342.2,291700,1327.428
2015-05-12,1349,1349,1266.15,1276.05,295400,1262.006
2015-05-13,1285,1309.55,1257.1,1298.55,293000,1284.259
2015-05-14,1307.9,1358,1289.95,1347.7,326000,1332.868
2015-05-15,1358,1364,1332.35,1342.45,179000,1327.676
2015-05-18,1344.85,1401.85,1342.45,1394.25,367000,1378.906
2015-05-19,1392.1,1394,1352.5,1362.55,246000,1347.554
2015-05-20,1374.7,1404.85,1370.05,1394.3,300800,1378.955
2015-05-21,1383.5,1417.8,1383.5,1395.05,450800,1379.697
