"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2015-01-01,25.6175,26.4322,25.527,26.2511,3269000,24.87691
2015-01-02,26.2511,28.4236,26.2511,27.971,23632400,26.50678
2015-01-05,28.1068,28.6499,27.9258,28.1521,13768000,26.6784
2015-01-06,27.8805,27.8805,26.749,26.93,7591100,25.52027
2015-01-07,26.8848,27.0205,26.1606,26.5227,4750200,25.13429
2015-01-08,27.0658,27.6089,26.8395,27.3826,4835100,25.94918
2015-01-09,27.6994,27.8805,26.9753,27.2016,4803500,25.77765
2015-01-12,27.1563,27.6542,26.7942,27.3374,3684100,25.90635
2015-01-13,27.7447,28.1521,27.5637,27.7447,7732700,26.29232
2015-01-14,27.971,28.0615,27.2468,27.6089,2790800,26.16363
2015-01-15,28.5141,28.8762,27.5637,27.79,9259100,26.33525
2015-01-16,27.6089,27.9258,26.8848,27.0205,5081200,25.60604
2015-01-19,27.1563,28.1521,27.0658,27.6994,6899300,26.2494
2015-01-20,27.8352,28.0615,26.2511,26.5227,12159700,25.13429
2015-01-21,26.5227,26.6585,25.889,26.0248,5452500,24.66246
2015-01-22,25.9343,26.0248,25.0291,25.2101,6543400,23.89041
2015-01-23,25.4364,25.708,24.7575,25.3006,8588800,23.97617
2015-01-26,25.3006,25.3006,25.3006,25.3006,0,23.97617
2015-01-27,25.5722,25.5722,25.1649,25.2101,3570400,23.89041
2015-01-28,25.2554,25.3459,24.9386,25.0291,3294000,23.71888
2015-01-29,25.0291,25.3459,24.7575,25.2101,2631900,23.89041
2015-01-30,24.8933,25.3459,24.8933,25.0291,4602800,23.71888
2015-02-02,25.1196,25.3459,24.9838,25.2554,3468700,23.93333
2015-02-03,25.3459,25.4364,24.7575,24.8933,2321800,23.59019
2015-02-04,24.9386,25.1649,24.6217,24.667,2497900,23.37574
2015-02-05,24.8933,25.0291,24.4407,24.5312,1985100,23.24705
2015-02-06,24.5312,24.667,23.8071,23.9428,4305400,22.68945
2015-02-09,23.8071,23.8071,23.3092,23.3997,4312800,22.17478
2015-02-10,23.3092,23.5807,23.1734,23.3544,3596400,22.13185
2015-02-11,23.445,23.6713,23.3544,23.4902,2366400,22.26054
2015-02-12,23.626,24.4407,23.5355,24.3502,2279800,23.07552
2015-02-13,24.5312,24.6217,23.8071,23.9881,2875200,22.73237
2015-02-16,24.3049,24.3954,23.5355,23.6713,2847900,22.43216
2015-02-17,23.6713,23.6713,23.6713,23.6713,0,22.43216
2015-02-18,23.7165,25.0291,23.5355,24.8933,3508100,23.59019
2015-02-19,24.0333,24.9838,24.0333,24.848,1908100,23.54726
2015-02-20,24.7123,24.9386,24.3049,24.3954,1345900,23.11835
2015-02-23,24.4407,24.7123,24.1691,24.2144,1090200,22.94683
2015-02-24,24.2596,24.2596,23.7618,23.8976,1062400,22.64661
2015-02-25,24.4407,25.6175,24.4407,24.7575,7969300,23.4615
2015-02-26,24.8933,25.0291,24.3049,24.3954,2055900,23.11835
2015-02-27,24.6217,25.2101,24.3502,24.9838,3087300,23.67595
2015-03-02,25.2101,25.5722,24.8933,25.3912,4433700,24.06202
2015-03-03,25.527,25.6627,24.8028,25.0291,4171300,23.71888
2015-03-04,25.527,25.7533,24.0786,24.2596,6795200,22.98966
2015-03-05,24.2596,24.486,24.0786,24.3954,1696600,23.11835
2015-03-06,24.3954,24.3954,24.3954,24.3954,0,23.11835
2015-03-09,24.0333,24.3049,23.8071,23.8976,1794500,22.64661
2015-03-10,23.9881,24.0333,23.4902,23.5355,2939500,22.30347
2015-03-11,23.626,23.7165,23.3544,23.445,2176000,22.2177
2015-03-12,23.626,23.626,23.2639,23.3997,2582300,22.17478
2015-03-13,23.626,23.626,23.3092,23.3544,2314400,22.13185
2015-03-16,23.445,23.5355,23.2187,23.3997,9227400,22.17478
2015-03-17,23.4902,23.5807,22.9471,23.1281,12719700,21.91739
2015-03-18,23.3544,23.445,22.9018,22.9924,5109500,21.7888
2015-03-19,23.2639,23.3544,22.5397,22.6303,4555800,21.44565
2015-03-20,22.9471,23.2639,22.1777,22.4945,14748600,21.31696
2015-03-23,22.5397,22.6303,21.9514,22.0419,3295100,20.88805
2015-03-24,21.9966,22.1777,21.6345,21.7251,3441700,20.58784
2015-03-25,21.7251,22.0419,21.4535,21.7251,4905700,20.58784
