"Date","SRF.NS.Open","SRF.NS.High","SRF.NS.Low","SRF.NS.Close","SRF.NS.Volume","SRF.NS.Adjusted"
2015-01-01,877,888.35,871.25,876.4,108300,857.53
2015-01-02,909,971.4,909,921.75,1449900,901.9
2015-01-05,928,935,901.3,907.45,370400,887.91
2015-01-06,901,901,863.5,867.4,189800,848.72
2015-01-07,865,871.85,845,857.75,243900,839.28
2015-01-08,866,879.95,860.25,864.85,154300,846.23
2015-01-09,872,875,850.1,855.65,162300,837.22
2015-01-12,859.9,863.3,842.6,847.9,157600,829.64
2015-01-13,845.05,924.4,842,897.75,1057400,878.42
2015-01-14,905.7,933.8,899,916.8,676900,897.06
2015-01-15,931.45,935.9,905,918,247000,898.23
2015-01-16,915,927.7,902.4,916.3,127700,896.57
2015-01-19,920.8,927,910,913.9,106900,894.22
2015-01-20,916.7,930.1,911,924.6,146000,904.69
2015-01-21,927.95,945.9,920,925.65,160500,905.72
2015-01-22,926.9,951,924.85,939.4,163000,919.17
2015-01-23,948.9,979,937.05,955,269300,934.43
2015-01-26,955,955,955,955,0,934.43
2015-01-27,960,964.9,930.5,943.95,127600,923.62
2015-01-28,935,980,935,974.65,322800,953.66
2015-01-29,979.5,998,958.25,963.7,231700,942.95
2015-01-30,967,971.95,945,949.65,56100,929.2
2015-02-02,947,975,930.15,964.9,75200,944.12
2015-02-03,974,984,951.35,979.5,103500,958.41
2015-02-04,983.95,1025,975,998.2,373700,976.7
2015-02-05,999.9,1004.95,965.5,979.1,147600,958.02
2015-02-06,979.1,979.85,928.2,944.55,128000,924.21
2015-02-09,940,971,915,947.25,109700,926.85
2015-02-10,953,1010.45,953,989.4,263800,968.09
2015-02-11,958,958,881.7,933.2,330600,913.1
2015-02-12,941.9,960,933.05,944.1,131700,923.77
2015-02-13,941,957.8,923,938.8,74500,923.47
2015-02-16,941.45,956,931,934.95,49400,919.69
2015-02-17,934.95,934.95,934.95,934.95,0,919.69
2015-02-18,938,939,913.3,919.25,56600,904.24
2015-02-19,919.7,930.95,908.6,923.5,52200,908.42
2015-02-20,922.8,930,915.2,927.2,48700,912.06
2015-02-23,929.9,937.4,912.5,922.8,44900,907.74
2015-02-24,926,929,916.85,920.15,27100,905.13
2015-02-25,901.1,975,901.1,937.15,349200,921.85
2015-02-26,935.05,961.85,915,923.8,104100,908.72
2015-02-27,925.05,956.85,925.05,945.85,77900,930.41
2015-03-02,935.05,959,920.5,951.35,129300,935.82
2015-03-03,959.9,1009,942,983.5,178900,967.44
2015-03-04,994,998.3,937,943.35,128200,927.95
2015-03-05,946,959,931,940.2,43500,924.85
2015-03-06,940.2,940.2,940.2,940.2,0,924.85
2015-03-09,937,954,921.9,926.4,67200,911.28
2015-03-10,931.85,949.95,921,925.5,64400,910.39
2015-03-11,925.9,944,921.1,925,70000,909.9
2015-03-12,929,936,912,921.9,54500,906.85
2015-03-13,925.1,935,911.1,913.6,46100,898.69
2015-03-16,913.6,923.05,908,916.7,27500,901.74
2015-03-17,923.6,944,918,924.2,111800,909.11
2015-03-18,927.2,935,922,929.55,39900,914.38
2015-03-19,936.3,949.5,931,937.6,148800,922.29
2015-03-20,939.95,948,901.25,909.8,93400,894.95
2015-03-23,913.95,928.55,913.1,920.05,89500,905.03
2015-03-24,916,931,905.1,912.55,48700,897.65
2015-03-25,918.95,928.95,908.5,912.15,110400,897.26
2015-03-26,910.7,915.05,895.5,901.1,34700,886.39
2015-03-27,896.05,910,875.45,891.25,39000,876.7
2015-03-30,895.85,975,895.1,951.55,81500,936.02
2015-03-31,960,1022,921.1,992,252100,975.81
2015-04-01,985.1,1021,980,999.5,170400,983.18
2015-04-02,999.5,999.5,999.5,999.5,0,983.18
2015-04-03,999.5,999.5,999.5,999.5,0,983.18
2015-04-06,994,1034,994,1006.6,82800,990.17
2015-04-07,1010,1088.9,1010,1057.7,436500,1040.43
2015-04-08,1065.1,1080.85,1045,1056.25,124500,1039.01
2015-04-09,1051,1064.25,1025,1030.25,52900,1013.43
2015-04-10,1030.25,1060,1017.8,1020.4,57300,1003.74
2015-04-13,1026.45,1051.75,1008,1018.7,55500,1002.07
2015-04-14,1018.7,1018.7,1018.7,1018.7,0,1002.07
2015-04-15,1032,1079.8,1032,1050.55,178000,1033.4
2015-04-16,1063.7,1080,1020.25,1027.45,121000,1010.68
2015-04-17,1028.45,1083.95,1025,1065.7,148600,1048.3
2015-04-20,1076.15,1122.5,1066.1,1105.6,286900,1087.55
2015-04-21,1114,1127,1085,1112.15,211000,1093.99
2015-04-22,1095,1120,1061.1,1078.85,154900,1061.24
2015-04-23,1088.95,1102.55,1054.15,1061.15,78100,1043.83
2015-04-24,1055,1066.95,1000.25,1004.35,78800,987.95
2015-04-27,1008.9,1008.9,954,960,116100,944.33
2015-04-28,953.95,1015,937.65,1002.75,111300,986.38
2015-04-29,975.8,1053.8,975.8,1037.3,65400,1020.37
2015-04-30,1010.4,1033.55,931.7,972.1,366300,956.23
2015-05-01,972.1,972.1,972.1,972.1,0,956.23
2015-05-04,991,1031,960.15,972.45,104200,956.58
2015-05-05,979.9,988,970,973.15,51900,957.26
2015-05-06,974.75,991,943,953.95,88400,938.38
2015-05-07,960,980,914,920.75,223300,905.72
2015-05-08,929.95,953.05,929.95,937,52800,921.7
2015-05-11,947.9,963.85,937,947.1,113600,931.64
2015-05-12,953.9,958,904.05,906.9,335800,892.1
2015-05-13,915.2,935,899,920.75,212800,905.72
2015-05-14,921,958,910,940.1,96800,924.75
2015-05-15,941.95,964,936.15,960.6,95300,944.92
2015-05-18,967.5,987.45,960,983.55,59300,967.49
2015-05-19,983,994.9,964.7,976.25,52500,960.31
2015-05-20,980,993.2,980,986.4,48500,970.3
2015-05-21,998,1015,984.05,1011.6,94400,995.09
2015-05-22,1018,1029,1008.05,1014.8,175200,998.23
2015-05-25,1014.8,1014.8,988.1,993.45,53700,977.23
2015-05-26,992.8,999.15,975,993.05,89900,976.84
2015-05-27,984.2,1007,970.6,997.5,37000,981.22
2015-05-28,997.95,1015.9,990,1010.4,60500,993.91
2015-05-29,1011,1137.7,1011,1101.05,344700,1083.08
2015-06-01,1116,1165,1093.05,1139.7,304800,1121.09
2015-06-02,1138,1140,1078.1,1111,109000,1092.86
2015-06-03,1102,1138,1030,1053.25,133300,1036.06
2015-06-04,1064,1087.9,1009,1080.5,111700,1062.86
2015-06-05,1080.4,1113.9,1060,1081.8,173400,1064.14
2015-06-08,1090,1099,1035,1056.5,99400,1039.25
2015-06-09,1050,1078,1031.1,1049.45,87900,1032.32
2015-06-10,1051.9,1093.95,1044,1074.45,96200,1056.91
2015-06-11,1080,1086.6,1024.2,1033.95,101700,1017.07
2015-06-12,1029.8,1059,1008,1025.15,100400,1008.41
2015-06-15,1028,1049.1,1018,1023.95,71200,1007.23
2015-06-16,1023.95,1045,1002,1033.3,86800,1016.43
2015-06-17,1037.15,1073.45,1031.05,1039.85,137700,1022.87
2015-06-18,1052,1081,1045.1,1072.35,166600,1054.84
2015-06-19,1075,1095,1066.2,1071.75,148400,1054.25
2015-06-22,1073.4,1125,1060.1,1115.8,213100,1097.59
2015-06-23,1134,1145,1115,1121.7,296000,1103.39
2015-06-24,1122,1140,1094.65,1109.15,177900,1091.04
2015-06-25,1083.05,1140,1083.05,1123.8,67500,1105.45
2015-06-26,1128.8,1222.05,1125.15,1200.65,866000,1181.05
2015-06-29,1174.8,1236,1151.1,1226.45,665500,1206.43
2015-06-30,1234,1251,1221,1232.25,223400,1212.13
2015-07-01,1232,1268,1225,1236.75,290900,1216.56
2015-07-02,1250,1275,1236.25,1257.5,235800,1236.97
2015-07-03,1260,1272.7,1241.15,1252.15,140900,1231.71
2015-07-06,1230,1329.9,1227.75,1323.25,478000,1301.65
2015-07-07,1337.95,1356,1316.3,1328.9,449600,1307.21
2015-07-08,1311,1350,1282.35,1300.65,394000,1279.42
2015-07-09,1300.65,1329,1297.6,1304.45,182400,1283.16
2015-07-10,1329,1329,1293.5,1306.6,164200,1285.27
2015-07-13,1307,1314.5,1274,1306.35,125200,1285.02
2015-07-14,1308,1319.25,1295.95,1308.8,185100,1287.43
2015-07-15,1313,1336.5,1302.7,1307.9,208000,1286.55
