"Date","SRTRANSFIN.NS.Open","SRTRANSFIN.NS.High","SRTRANSFIN.NS.Low","SRTRANSFIN.NS.Close","SRTRANSFIN.NS.Volume","SRTRANSFIN.NS.Adjusted"
2015-01-01,1116,1116,1096,1102.35,44900,1073.73
2015-01-02,1097,1118,1097,1106.1,228000,1077.38
2015-01-05,1109.45,1124.7,1064.6,1071.6,542800,1043.78
2015-01-06,1069.9,1085.4,1035.25,1045.45,526000,1018.31
2015-01-07,1038,1049.15,1023.6,1040,599400,1013
2015-01-08,1050,1064.75,1038.45,1053.4,424500,1026.05
2015-01-09,1060,1074,1048.7,1061.1,326300,1033.55
2015-01-12,1060,1070,1034.45,1040.85,334400,1013.83
2015-01-13,1042,1053.25,1032.3,1039.5,268300,1012.51
2015-01-14,1037.05,1054.85,1020,1034.2,344300,1007.35
2015-01-15,1057.75,1122.5,1057.75,1110.85,1326800,1082.01
2015-01-16,1113,1169.9,1113,1165.1,1297300,1134.85
2015-01-19,1171.2,1177.1,1117.15,1142.6,719200,1112.93
2015-01-20,1135.05,1148.85,1109.25,1124.3,805600,1095.11
2015-01-21,1136.95,1160,1097.05,1106.45,793800,1077.72
2015-01-22,1116,1128,1102.5,1122.85,449900,1093.7
2015-01-23,1133,1141.6,1078.1,1095.45,877700,1067.01
2015-01-26,1095.45,1095.45,1095.45,1095.45,0,1067.01
2015-01-27,1088.9,1116.75,1086.6,1101.65,1345200,1073.05
2015-01-28,1101,1163.8,1097,1158.85,573200,1128.76
2015-01-29,1150,1169.15,1135,1159.9,303500,1129.79
2015-01-30,1164,1168.9,1130.3,1142.35,414300,1112.69
2015-02-02,1140,1170.75,1136.3,1158.9,379700,1128.81
2015-02-03,1168.9,1205,1160,1173.1,704400,1142.64
2015-02-04,1169,1177,1133.35,1140.85,268900,1111.23
2015-02-05,1141,1188.7,1141,1157.15,499300,1127.11
2015-02-06,1150,1177.95,1130.05,1140.1,272600,1110.5
2015-02-09,1140.1,1164,1131,1147.5,239000,1117.71
2015-02-10,1149.85,1169,1137.5,1146.25,362700,1116.49
2015-02-11,1142,1169.3,1142,1158.85,209400,1128.76
2015-02-12,1169.95,1220,1152,1212.15,465800,1180.68
