"Date","STAR.NS.Open","STAR.NS.High","STAR.NS.Low","STAR.NS.Close","STAR.NS.Volume","STAR.NS.Adjusted"
2015-01-01,965,971.9,953.55,960.95,579500,955.42
2015-01-02,961.7,976.8,956,960.95,435900,955.42
2015-01-05,962.9,969.9,953.5,961.8,313000,956.26
2015-01-06,956.9,957.95,920,925.9,342500,920.57
2015-01-07,926,936.9,915,923.1,288300,917.79
2015-01-08,930,942,930,935.4,475000,930.02
2015-01-09,940.1,948.75,917.65,927.2,359800,921.86
2015-01-12,930,942,924,927.8,336400,922.46
2015-01-13,929,937.4,919,925.15,200200,919.82
2015-01-14,928,929.7,913.9,920.9,174900,915.6
2015-01-15,930,941.35,916.45,923.55,381800,918.23
2015-01-16,923.55,939,922.25,926.4,225000,921.07
2015-01-19,923.2,939,923.2,926.65,250800,921.32
2015-01-20,930.35,951,928.5,938.05,733000,932.65
2015-01-21,945,946.3,907.9,925.15,380800,919.82
2015-01-22,923.1,941,923.1,931.55,327200,926.19
2015-01-23,936,936.9,919.5,922.8,271500,917.49
2015-01-26,922.8,922.8,922.8,922.8,0,917.49
2015-01-27,926.9,934.2,917.95,920.3,205800,915
2015-01-28,921,926.75,907,911.7,233600,906.45
2015-01-29,913.5,916,885.15,899.65,745600,894.47
2015-01-30,903.35,941.75,899.95,932.45,621900,927.08
2015-02-02,935,949.25,925.1,932.45,384000,927.08
2015-02-03,936,937.4,904.9,907.2,324100,901.98
2015-02-04,910,922.8,904.4,908.05,225400,902.82
2015-02-05,910,914,890,897.35,167000,892.18
2015-02-06,895,898.9,843,865.95,487800,860.97
2015-02-09,845,855,825.15,833.05,273500,828.25
2015-02-10,825,861.15,821,825.35,601200,820.6
2015-02-11,829.4,861.5,828.05,853.45,551200,848.54
2015-02-12,861.35,887,858.85,873.5,551500,868.47
2015-02-13,877,891.35,868,876.2,571700,871.16
2015-02-16,878.95,893,876.25,890.6,474600,885.47
2015-02-17,890.6,890.6,890.6,890.6,0,885.47
2015-02-18,895,942.65,893.9,933.75,804000,928.38
2015-02-19,940.1,950,917.5,932.15,499000,926.78
2015-02-20,928.85,930,913.8,917.75,224600,912.47
2015-02-23,921,926.75,906.5,911.4,236200,906.15
2015-02-24,914.95,930.8,909,918.1,240200,912.82
2015-02-25,920,926.8,880.2,888.75,380500,883.63
2015-02-26,894.5,894.5,843.85,857.3,1062400,852.37
2015-02-27,862.25,919.55,861.3,910.75,593500,905.51
2015-03-02,915,945,912,938.75,373400,933.35
2015-03-03,940.5,981.2,929.9,967.6,1029500,962.03
2015-03-04,969,983.9,931.25,945.3,663300,939.86
2015-03-05,948,1069.9,945,1032.2,1871900,1026.26
2015-03-06,1032.2,1032.2,1032.2,1032.2,0,1026.26
2015-03-09,1028.3,1057.55,1013.6,1031.9,1046200,1025.96
2015-03-10,1035,1045.2,1000.25,1009.9,732100,1004.09
2015-03-11,1012,1080,1002.9,1065.65,1395800,1059.52
2015-03-12,1072.9,1073.4,1045.2,1061.35,610900,1055.24
2015-03-13,1062.9,1108.7,1055,1067.6,1296100,1061.45
2015-03-16,1067.6,1105,1060.25,1094.1,752300,1087.8
2015-03-17,1103.9,1136,1102.05,1126.8,755000,1120.31
2015-03-18,1133.5,1162.75,1115,1155.45,914400,1148.8
2015-03-19,1166.7,1198.7,1150.05,1167.65,1093600,1160.93
2015-03-20,1160,1182.6,1065,1077.55,1118800,1071.35
2015-03-23,1080,1099.8,1025.2,1059.05,899500,1052.95
2015-03-24,1067,1119.7,1065,1107.4,1319500,1101.03
2015-03-25,1117.7,1132,1081.1,1103.75,729700,1097.4
2015-03-26,1098.5,1098.5,1037.85,1063.05,751100,1056.93
2015-03-27,1076,1116.95,1021.1,1100.05,794100,1093.72
2015-03-30,1127.7,1162,1121.9,1157,828500,1150.34
2015-03-31,1164,1197.55,1161,1180.85,995800,1174.05
2015-04-01,1174,1206,1165,1198.65,773900,1191.75
2015-04-02,1198.65,1198.65,1198.65,1198.65,0,1191.75
2015-04-03,1198.65,1198.65,1198.65,1198.65,0,1191.75
2015-04-06,1204.7,1231,1196.1,1227.8,668300,1220.73
2015-04-07,1236,1237.2,1201.7,1230.05,595100,1222.97
2015-04-08,1235,1248.8,1212.5,1235.35,586200,1228.24
2015-04-09,1237,1239.9,1169.6,1188.55,706900,1181.71
2015-04-10,1187,1211.75,1170,1202.9,531600,1195.98
2015-04-13,1207,1217.5,1180.95,1203.85,343700,1196.92
2015-04-14,1203.85,1203.85,1203.85,1203.85,0,1196.92
2015-04-15,1205,1227.7,1188.25,1198.5,587700,1191.6
2015-04-16,1205,1211.7,1152.15,1185.25,504400,1178.43
2015-04-17,1189.9,1189.9,1130,1140.1,463200,1133.54
2015-04-20,1125.25,1155,1111.8,1119.35,405200,1112.91
2015-04-21,1115.7,1127.3,1082.2,1112.3,466000,1105.9
2015-04-22,1124.8,1137.8,1100.4,1130.4,321600,1123.89
2015-04-23,1142,1143.9,1105.7,1112.5,272100,1106.1
2015-04-24,1115,1115,1042.85,1054.15,404300,1048.08
2015-04-27,1059.7,1063,933.05,954.6,1334400,949.11
2015-04-28,944.8,1024.95,916.25,1016,1178200,1010.15
2015-04-29,1015.3,1084.4,996.6,1022.2,1156000,1016.32
2015-04-30,1019.9,1042.6,985.25,1029.1,836400,1023.18
2015-05-01,1029.1,1029.1,1029.1,1029.1,0,1023.18
2015-05-04,1041.9,1078,1041.1,1072.45,440700,1066.28
2015-05-05,1072.9,1098.95,1054.5,1090.05,573100,1083.78
2015-05-06,1078.05,1087,987.7,1000.15,856100,994.39
2015-05-07,1006,1028,963,998.1,861000,992.35
2015-05-08,1014.35,1033.95,994,1012.95,407300,1007.12
2015-05-11,1020.05,1048,1020.05,1031.95,375200,1026.01
2015-05-12,1034.9,1034.9,983.15,991.8,305200,986.09
2015-05-13,1004,1023,993,1011.05,333700,1005.23
2015-05-14,1011.7,1028,998.75,1024.3,281200,1018.4
2015-05-15,1043,1080,1032.2,1070.9,701100,1064.74
2015-05-18,1070,1099.7,1070,1090.95,386400,1084.67
2015-05-19,1084,1121,1081.4,1106.05,456600,1099.68
2015-05-20,1114.2,1130.4,1086.1,1094.45,406100,1088.15
2015-05-21,1099,1196,1069.2,1188.15,2222400,1181.31
2015-05-22,1195.85,1217.8,1166.15,1194.95,2116400,1188.07
2015-05-25,1195.1,1195.9,1161,1170.1,460800,1163.36
2015-05-26,1181,1224,1180.65,1219.65,1167900,1212.63
2015-05-27,1214.95,1247.6,1203.2,1224.95,839600,1217.9
2015-05-28,1229.9,1239.65,1196,1220.5,527700,1213.47
2015-05-29,1218,1275,1210.05,1264.4,778200,1257.12
2015-06-01,1264.25,1264.95,1216.7,1222.45,372500,1215.41
2015-06-02,1225,1244,1195,1201.75,635600,1194.83
2015-06-03,1203.3,1215.1,1101.55,1178.5,684500,1171.72
2015-06-04,1200,1208.5,1141.85,1178.15,526600,1171.37
2015-06-05,1172,1193.15,1163,1169.85,387300,1163.12
2015-06-08,1171.85,1171.85,1135.2,1148.15,385900,1141.54
2015-06-09,1143.7,1155.4,1110,1119.75,323900,1113.3
2015-06-10,1115.1,1159.2,1113,1140.95,375400,1134.38
2015-06-11,1148.7,1162.75,1095,1100.35,490800,1094.02
2015-06-12,1098,1119.6,1085,1113.65,300800,1107.24
2015-06-15,1110,1135.75,1109.4,1120.1,263300,1113.65
2015-06-16,1119,1145,1098.8,1131.45,319600,1124.94
2015-06-17,1139.7,1170.95,1137.5,1153.35,505700,1146.71
2015-06-18,1127.1,1183.95,1095.25,1170.35,896200,1163.61
2015-06-19,1184.7,1205,1170,1174.9,604600,1168.14
2015-06-22,1176.2,1185.55,1160.1,1168.9,376600,1162.17
2015-06-23,1170,1185,1159.2,1180.1,375800,1173.31
2015-06-24,1177,1193,1163,1168.75,480800,1162.02
2015-06-25,1168.75,1179.95,1144.75,1150.05,365500,1143.43
2015-06-26,1147,1153,1125.4,1128.15,307700,1121.66
2015-06-29,1110,1112.1,1074,1094.95,366900,1088.65
2015-06-30,1104.9,1119.65,1100.05,1110.85,260700,1104.46
2015-07-01,1116.6,1150,1112,1143.55,433000,1136.97
2015-07-02,1167,1171.5,1152.25,1159.1,469700,1152.43
2015-07-03,1152.55,1173.5,1142,1152.15,290200,1145.52
2015-07-06,1142,1208.15,1136.6,1202.25,768800,1195.33
2015-07-07,1213.5,1218,1191.25,1206.25,567200,1199.31
2015-07-08,1189.3,1211,1171,1189.1,425500,1182.26
2015-07-09,1195.8,1224,1189.1,1212.5,492800,1205.52
2015-07-10,1219,1228,1206.75,1220.5,370800,1213.47
2015-07-13,1227.3,1236.6,1221.1,1223.85,451000,1216.81
2015-07-14,1228.4,1252,1224.95,1246.95,327300,1239.77
2015-07-15,1250.8,1259.75,1240,1250,345500,1242.81
2015-07-16,1252,1299,1251,1294.85,592100,1287.4
2015-07-17,1305.6,1337,1300,1310.6,812900,1303.06
2015-07-20,1315,1324.65,1294,1317.65,371900,1310.07
2015-07-21,1318,1325,1255.75,1268.2,430500,1260.9
2015-07-22,1260.2,1314,1258.35,1305.8,400400,1301.36
2015-07-23,1314.5,1319,1276,1289.75,375900,1285.37
2015-07-24,1287,1298,1264,1277.95,292200,1273.61
2015-07-27,1271.1,1283.05,1246,1258.85,374600,1254.57
2015-07-28,1260.05,1282.7,1247.7,1272.65,246500,1268.32
2015-07-29,1272.65,1274.05,1231.65,1246.85,341700,1242.61
2015-07-30,1256.5,1291.9,1245,1257.9,836900,1253.63
2015-07-31,1267.4,1289.8,1263,1274.55,481200,1270.22
2015-08-03,1279.5,1279.5,1238,1244.45,540500,1240.22
2015-08-04,1249,1249,1213,1236.55,880900,1232.35
