"Date","SUNPHARMA.NS.Open","SUNPHARMA.NS.High","SUNPHARMA.NS.Low","SUNPHARMA.NS.Close","SUNPHARMA.NS.Volume","SUNPHARMA.NS.Adjusted"
2015-01-01,826.5,830,818.09998,822.20001,587400,818.4155
2015-01-02,824,830.5,824,826.25,710300,822.44685
2015-01-05,826.09998,830.70001,824.45001,826.75,792200,822.94454
2015-01-06,823,824.59998,803.70001,808.54999,1709800,804.82831
2015-01-07,809.09998,815.20001,800,809.79999,1730500,806.07255
2015-01-08,815,821,814.40002,818.79999,943500,815.03113
2015-01-09,820,836,820,830.04999,1766800,826.22934
2015-01-12,832.45001,837.25,830.09998,835.29999,1188600,831.45518
2015-01-13,837.04999,843.40002,826.15002,833.09998,838400,829.26529
2015-01-14,831,837.75,817,820.65002,996000,816.87265
2015-01-15,826,833.90002,819.40002,825.90002,2224100,822.09848
2015-01-16,828.90002,854.40002,826.20001,849.75,2005200,845.83868
2015-01-19,855,866.15002,853.09998,863,1382700,859.02769
2015-01-20,865,874.5,854.5,872.29999,2053100,868.28487
2015-01-21,875,888,873,885.95001,2358500,881.87206
2015-01-22,885.29999,927.34998,885.29999,920.04999,4797700,915.81508
2015-01-23,921.5,938.70001,918,926.79999,2835600,922.53401
2015-01-26,926.79999,926.79999,926.79999,926.79999,0,922.53401
2015-01-27,939.90002,939.95001,901,914,2261800,909.79294
2015-01-28,915,933.09998,892,909.75,1939800,905.5625
2015-01-29,900,933,891,919.79999,2668100,915.56623
2015-01-30,923.5,927.79999,910.5,917.75,1873400,913.52568
2015-02-02,925,943.54999,922,929.09998,1750000,924.82341
2015-02-03,936,947.65002,919.04999,941.25,2275200,936.91751
2015-02-04,947.5,965.95001,946,958.95001,2769300,954.53605
2015-02-05,960,965.90002,951,959.54999,1850300,955.13327
2015-02-06,958.75,962.90002,920.25,926.84998,3120500,922.58377
2015-02-09,926.79999,948.20001,915.84998,941.45001,1350000,937.1166
2015-02-10,942,942,911,919.54999,1515400,915.31738
2015-02-11,924.79999,937,920.20001,925.84998,1046400,921.58837
2015-02-12,929.65002,932.20001,919,923.59998,778500,919.34873
2015-02-13,928,952,928,940.54999,2046600,936.22072
2015-02-16,918,930.90002,907.29999,914.75,2869300,910.53949
2015-02-17,914.75,914.75,914.75,914.75,0,910.53949
2015-02-18,919.90002,927.5,911.75,917.79999,1309600,913.57544
2015-02-19,922.70001,926.79999,909.54999,916.70001,1190300,912.48053
2015-02-20,914.79999,921.59998,910,913.20001,1146600,908.99664
2015-02-23,914,924,904.25,908.65002,2440600,904.46759
2015-02-24,907,913.90002,905,910.45001,1469000,906.25929
2015-02-25,913.5,914.65002,886.40002,890.75,1407600,886.64996
2015-02-26,890.09998,894.25,860.20001,865.70001,2614000,861.71527
2015-02-27,870.15002,883.90002,868.54999,878.90002,2160300,874.85453
2015-03-02,912.09998,932,909.40002,925.20001,2019800,920.9414
2015-03-03,937.45001,951.40002,933.09998,943.04999,2114700,938.70921
2015-03-04,946.90002,1035.94995,937.79999,1006.29999,7567200,1001.66808
2015-03-05,1018,1045.94995,1005.5,1038.75,3792400,1033.96873
2015-03-06,1038.75,1038.75,1038.75,1038.75,0,1033.96873
2015-03-09,1024.34998,1049.90002,1008,1041,3154100,1036.20837
2015-03-10,1046,1055.5,1017.75,1024.65002,2094800,1019.93365
2015-03-11,1029.40002,1035.40002,1007.04999,1009.84998,1845600,1005.20173
2015-03-12,1012.65002,1039.80005,1010,1036.15002,1990600,1031.38072
