"Date","SUNTV.NS.Open","SUNTV.NS.High","SUNTV.NS.Low","SUNTV.NS.Close","SUNTV.NS.Volume","SUNTV.NS.Adjusted"
2015-01-01,381,384.95,376.3,378.6,465300,352.121
2015-01-02,379,383.5,374.1,375.7,405200,349.424
2015-01-05,375,378.2,367.55,370,420700,344.123
2015-01-06,366.7,369,348.05,350.05,843500,325.568
2015-01-07,350.1,353,337.05,342.35,710000,318.407
2015-01-08,345,356.85,343.5,347.75,1563000,323.429
2015-01-09,351,355.85,350.1,353.65,1419100,328.916
2015-01-12,354.2,380.05,351.05,377.55,1420200,351.145
2015-01-13,379,379.9,367.45,371,352100,345.053
2015-01-14,371,372.25,355,365.65,505600,340.077
2015-01-15,374.5,378.8,367.4,375.35,354000,349.099
2015-01-16,385,429.4,382.55,418.15,4644700,388.905
2015-01-19,419.95,421.8,402.8,404.9,1081300,376.582
2015-01-20,408,413,404.9,409.7,555700,381.046
2015-01-21,411,439.7,405.15,412.35,2122700,383.511
2015-01-22,408,409.1,371.55,391.5,2822900,364.119
2015-01-23,398,402.8,384.4,397.95,1030500,370.118
2015-01-26,397.95,397.95,397.95,397.95,0,370.118
2015-01-27,398.75,406.4,393,402.2,1176900,374.071
2015-01-28,405.8,417.9,366,404.5,2361600,376.21
2015-01-29,405,419.5,396.5,414.85,1348800,385.836
2015-01-30,416,418,404.55,407.45,611300,378.954
2015-02-02,407.05,414.8,404.1,409.9,495800,381.232
2015-02-03,410,419.4,410,415.15,519200,386.115
2015-02-04,415.85,418.8,410.7,413.95,444700,384.999
2015-02-05,413.95,423.6,400,404.7,368100,376.396
2015-02-06,406.9,412,377.2,381.05,1233200,354.4
2015-02-09,394.9,420.75,389.85,416.9,2939800,387.743
2015-02-10,416.9,427,405.4,421.45,872000,391.974
2015-02-11,419.2,437.95,415,433.1,805900,409.366
2015-02-12,433,441.95,428,432.9,1007300,409.177
2015-02-13,433.9,441.7,432.6,437.7,456600,413.714
2015-02-16,437.95,438.95,428,430.9,318900,407.287
2015-02-17,430.9,430.9,430.9,430.9,0,407.287
2015-02-18,431,440.5,426.1,431.3,575700,407.665
2015-02-19,432.3,439.4,429.05,435.7,561900,411.824
2015-02-20,437,439.7,429.05,430.1,543300,406.53
2015-02-23,431,440,428.65,431.05,476300,407.428
2015-02-24,433.05,453.15,424.65,445.75,796300,421.323
2015-02-25,449.8,450,429.6,437.6,951600,413.619
2015-02-26,437.9,440.5,428.8,430.3,510900,406.719
2015-02-27,431,435,422.45,427.25,392700,403.837
2015-03-02,411,422.5,410.8,419,641000,396.039
2015-03-03,419,425.5,415.35,423.1,532400,399.914
2015-03-04,426.6,432,419.4,421.7,425500,398.591
2015-03-05,423,435.95,416.25,433.8,348800,410.028
2015-03-06,433.8,433.8,433.8,433.8,0,410.028
2015-03-09,435,439.9,424.3,436.05,399400,412.154
2015-03-10,436,440.5,429,437.05,241600,413.1
2015-03-11,437,437,400.1,405.5,504100,383.279
2015-03-12,408.45,419.5,406.1,416.85,519700,394.007
2015-03-13,420,421,410.1,417.7,520700,394.81
2015-03-16,419,426.65,409,417.25,740100,394.385
2015-03-17,416.9,440.1,416.9,436.25,408100,412.343
2015-03-18,433.2,442,428.6,437.15,214900,413.194
2015-03-19,439,447.5,434.75,438.25,468300,414.234
2015-03-20,438,459,419.2,426.35,1562100,402.986
2015-03-23,428,429.25,410,412.35,279600,389.753
2015-03-24,414.95,422,410.1,414.3,417200,391.596
2015-03-25,416,421.45,414.5,419.05,229200,396.086
2015-03-26,417,435.35,417,430.95,531200,407.334
2015-03-27,429.95,434.5,419.6,422,247700,398.874
2015-03-30,424,427.75,415.85,424.95,214400,401.663
2015-03-31,427,446.2,424.85,441.85,387200,417.637
2015-04-01,439.75,459,439.75,456,943400,431.011
2015-04-02,456,456,456,456,0,431.011
2015-04-03,456,456,456,456,0,431.011
2015-04-06,420,433.95,395.85,411.05,3279700,388.524
2015-04-07,412,419.7,404.4,405.95,1513800,383.704
2015-04-08,408.45,411,372.25,385.5,2704600,364.375
2015-04-09,390,394.8,382.5,386.85,1577600,365.651
2015-04-10,388,395,385.15,391.25,953900,369.809
2015-04-13,393.7,395.7,388.05,392.5,1084600,370.991
2015-04-14,392.5,392.5,392.5,392.5,0,370.991
2015-04-15,395,395.45,380.65,382.25,1130200,361.303
2015-04-16,381,385.5,367.2,370.4,1152500,350.102
2015-04-17,373.9,378,367.5,372.6,415000,352.181
2015-04-20,370.05,376.05,359.05,359.45,561200,339.752
2015-04-21,359.05,372,358.85,359.55,666700,339.847
2015-04-22,360.9,363.55,356.7,359.75,628100,340.036
2015-04-23,362,365.9,355.65,355.95,593500,336.444
2015-04-24,357.25,359.4,353.9,354.95,412500,335.499
2015-04-27,356,360.2,352.15,354.1,536500,334.695
2015-04-28,355,356,347.05,349.7,700600,330.536
2015-04-29,348,353.4,345.5,348.25,413900,329.166
2015-04-30,348.5,354.6,345.2,347.1,1028600,328.079
2015-05-01,347.1,347.1,347.1,347.1,0,328.079
2015-05-04,349,371.6,349,369.4,589500,349.157
2015-05-05,364,366.45,353.5,357.3,341300,343.296
