"Date","SUZLON.NS.Open","SUZLON.NS.High","SUZLON.NS.Low","SUZLON.NS.Close","SUZLON.NS.Volume","SUZLON.NS.Adjusted"
2015-01-01,14.65,15,14.45,14.55,15853700,14.55
2015-01-02,14.5,15.25,14.5,14.85,24968600,14.85
2015-01-05,14.85,15.4,14.7,14.85,21356100,14.85
2015-01-06,14.55,14.65,13.7,14.1,24599400,14.1
2015-01-07,14.05,16.4,13.9,15.4,79822700,15.4
2015-01-08,15.65,16.05,15.1,15.25,44173200,15.25
2015-01-09,15.25,15.5,14.65,14.75,22464400,14.75
2015-01-12,15,15.85,14.9,15.7,28011300,15.7
2015-01-13,15.75,16.05,15,15.2,25604800,15.2
2015-01-14,15.2,15.3,14.5,14.95,26149400,14.95
2015-01-15,15.35,15.65,14.9,15,20827700,15
2015-01-16,15.1,16.35,14.8,16.1,60597500,16.1
2015-01-19,16.3,18.05,15.7,17.5,125083500,17.5
2015-01-20,17.75,18.1,16.6,17.65,82168400,17.65
2015-01-21,17.8,17.9,16.9,17.2,45247900,17.2
2015-01-22,18,18.6,15.85,16,145135700,16
2015-01-23,16.05,16.15,14.1,14.85,75778900,14.85
2015-01-26,14.85,14.85,14.85,14.85,0,14.85
2015-01-27,15.25,15.75,15.1,15.25,35939200,15.25
2015-01-28,15.4,16.4,15.25,16.15,46849700,16.15
2015-01-29,16.35,16.8,16.05,16.5,27657600,16.5
2015-01-30,16.6,16.75,15.8,16.2,34502600,16.2
2015-02-02,16.2,17.1,16,16.65,32688300,16.65
2015-02-03,16.95,17.85,16.45,17.1,61149000,17.1
2015-02-04,17.25,18.25,17,17.5,72370100,17.5
2015-02-05,17.5,18.15,16.75,17.05,44461800,17.05
2015-02-06,17.1,17.3,16.05,16.7,31414900,16.7
2015-02-09,16.45,18.1,16.15,17.55,64452800,17.55
2015-02-10,17.3,18.6,17,17.55,48052000,17.55
2015-02-11,18.2,18.4,17.55,17.75,33939500,17.75
2015-02-12,17.95,19.45,17.7,19.2,89023700,19.2
2015-02-13,19.2,19.95,17.75,19.2,141731000,19.2
2015-02-16,22.8,23,20.9,23,233621500,23
2015-02-17,23,23,23,23,0,23
2015-02-18,24.2,27.6,23.5,26.75,276176100,26.75
2015-02-19,27.25,27.4,24.6,25,109148200,25
2015-02-20,24.7,26.4,24.2,25.55,74876700,25.55
2015-02-23,25.8,26.65,25,25.25,59666000,25.25
2015-02-24,26.25,27.1,25.85,26.25,85155600,26.25
2015-02-25,26.5,26.7,25.7,26.05,45951500,26.05
2015-02-26,26.25,26.4,25.5,25.75,25749600,25.75
2015-02-27,25.4,28.25,25.1,27.8,106058000,27.8
2015-03-02,27.55,28.35,27.1,27.45,45153400,27.45
2015-03-03,27.45,27.75,26.65,26.95,36806000,26.95
2015-03-04,27.15,27.4,24.55,25.25,47932000,25.25
2015-03-05,25.2,26.7,24.7,26.45,48977000,26.45
