"Date","SYNDIBANK.NS.Open","SYNDIBANK.NS.High","SYNDIBANK.NS.Low","SYNDIBANK.NS.Close","SYNDIBANK.NS.Volume","SYNDIBANK.NS.Adjusted"
2015-01-01,131.55,135.45,130.9,133.75,2372200,127.91
2015-01-02,133.6,136.45,133.2,133.55,2216600,127.72
2015-01-05,133.85,134.6,131.4,132.3,1748100,126.52
2015-01-06,130,130.35,124.7,125.3,2166000,119.83
2015-01-07,124.95,127,121.65,124.25,2404200,118.82
2015-01-08,126.75,128.4,125.5,127.95,1357600,122.36
2015-01-09,128.55,129.55,125,127.55,1570600,121.98
2015-01-12,128,132.4,126,131.05,1735500,125.33
2015-01-13,132,132.3,127.3,128.6,1759600,122.98
2015-01-14,128.65,129.95,125.4,126.55,1459600,121.02
2015-01-15,132,133,130,131.45,2191500,125.71
2015-01-16,132,132.2,127.9,128.4,2105300,122.79
2015-01-19,129.5,130.4,127.65,128.1,1275900,122.5
2015-01-20,129.1,131.65,128.5,129.2,1870500,123.56
2015-01-21,129.5,132,128.2,129.45,2122300,123.8
2015-01-22,130,130.4,126.8,127.3,1191900,121.74
2015-01-23,128.95,129.3,125.1,126.45,1292800,120.93
2015-01-26,126.45,126.45,126.45,126.45,0,120.93
2015-01-27,127.4,127.4,123.2,125.45,1602700,119.97
2015-01-28,124,126.4,122.6,124.15,1609800,118.73
2015-01-29,123.5,124.5,121,121.9,2341300,116.58
2015-01-30,123,123.25,115.6,117.15,2872600,112.03
2015-02-02,116.05,120.75,115.9,120,1624200,114.76
2015-02-03,120.95,121.35,115.3,117,2228100,111.89
2015-02-04,117,119.4,115.1,117.75,1833700,112.61
2015-02-05,117.8,118.85,112.4,113.85,2185100,108.88
2015-02-06,112.8,115.5,111,113,2953100,108.06
2015-02-09,112.5,114.8,107.2,108.1,2332600,103.38
2015-02-10,107,111.2,103.1,104.4,3214400,99.84
2015-02-11,103.5,119.75,103,114.95,12481600,109.93
2015-02-12,115,115,111,113.4,3061300,108.45
2015-02-13,114.1,118.9,113.15,118,2897500,112.85
2015-02-16,118.8,119.65,115.6,117.75,1761000,112.61
2015-02-17,117.75,117.75,117.75,117.75,0,112.61
2015-02-18,117.9,118.7,116.1,117.2,1635400,112.08
2015-02-19,117.9,117.9,114.2,116.4,1219900,111.32
2015-02-20,117,122.4,115.2,119.9,2965500,114.66
2015-02-23,120.95,120.95,116.8,117.4,978300,112.27
2015-02-24,117.9,121.35,115,117.95,1905800,112.8
2015-02-25,119.65,119.65,116.35,117.05,1075800,111.94
2015-02-26,117,117,113.85,114.25,2151300,109.26
2015-02-27,115,119.5,114.2,119,1781100,113.8
2015-03-02,120,121.6,117.6,119.7,1312600,114.47
2015-03-03,120,123.75,118.7,122.75,1785800,117.39
2015-03-04,126.05,127,117.45,118.1,2763200,112.94
2015-03-05,118.6,119.2,116.3,117.6,1174200,112.46
2015-03-06,117.6,117.6,117.6,117.6,0,112.46
2015-03-09,116.75,117.6,113.15,113.45,1269800,108.49
2015-03-10,113.45,115.25,110.1,112.2,1868700,107.3
2015-03-11,112.8,114.2,111.45,112.25,1386700,107.35
2015-03-12,113.4,114.4,112.6,113.4,788100,108.45
2015-03-13,114.8,114.8,110.7,111.4,1103400,106.53
2015-03-16,112.15,112.3,109.15,109.9,1497900,105.1
2015-03-17,110.9,111.5,108.75,110.7,1198600,105.86
2015-03-18,111.3,113,110.2,112.2,1117900,107.3
2015-03-19,113.25,113.8,107.3,108.25,1507400,103.52
2015-03-20,108,109,105.6,106.3,1888800,101.66
2015-03-23,106.6,107.5,104.15,104.95,1064900,100.37
2015-03-24,104,106.2,103.25,104.25,1268100,99.7
2015-03-25,105,105,102.8,103.3,968000,98.79
2015-03-26,102.1,103.05,100.5,100.9,1166400,96.49
2015-03-27,101.5,102,95,99.75,4165300,95.39
2015-03-30,100.75,102.7,99.4,102.25,1061300,97.78
2015-03-31,102.65,103.45,100.6,101.2,1304000,96.78
2015-04-01,100.8,103.75,100.1,103.4,1578400,98.88
2015-04-02,103.4,103.4,103.4,103.4,0,98.88
2015-04-03,103.4,103.4,103.4,103.4,0,98.88
2015-04-06,104,104,101.05,101.95,1116600,97.5
2015-04-07,102.4,104.3,101.1,102.45,1403300,97.97
2015-04-08,102.5,105.5,102.15,102.6,1341400,98.12
2015-04-09,103.15,106.75,102.7,105.8,2246100,101.18
2015-04-10,106.5,107.9,105.2,106.85,1366400,102.18
