"Date","TATACHEM.NS.Open","TATACHEM.NS.High","TATACHEM.NS.Low","TATACHEM.NS.Close","TATACHEM.NS.Volume","TATACHEM.NS.Adjusted"
2015-01-01,434.85,436.15,431.25,434.5,154100,416.94
2015-01-02,437,441.95,435.6,438.15,417000,420.44
2015-01-05,438,442.4,435,435.75,166600,418.14
2015-01-06,433,434.2,420,422.6,292600,405.52
2015-01-07,422.9,437.05,415.2,432.6,486700,415.11
2015-01-08,437,442.25,434.4,440.4,489400,422.6
2015-01-09,444.9,449,439.5,442.05,579200,424.18
2015-01-12,442.7,444.45,437.05,439.8,198900,422.02
2015-01-13,442,454,438.7,447.85,553600,429.75
2015-01-14,448.5,456.7,441.75,443.05,681400,425.14
2015-01-15,450,453.95,442.3,445.8,416300,427.78
2015-01-16,444.2,447.8,443,444.05,238100,426.1
2015-01-19,446,450.9,443.1,444.7,344400,426.73
2015-01-20,442.6,451.3,442.6,444.75,460900,426.77
2015-01-21,444.1,447.65,438.1,438.8,383200,421.06
2015-01-22,437,446,437,441.6,414300,423.75
2015-01-23,444,445.25,438.3,440.65,469200,422.84
2015-01-26,440.65,440.65,440.65,440.65,0,422.84
2015-01-27,441.05,446.3,438.3,440.15,456600,422.36
2015-01-28,441,446.5,437,440.85,626200,423.03
2015-01-29,441.45,453.9,438.9,450.25,1366700,432.05
2015-01-30,453.4,466.9,452.25,456.65,1289700,438.19
2015-02-02,450.3,468.3,450,463.4,694700,444.67
2015-02-03,465.9,471.55,456.6,460.25,704800,441.65
2015-02-04,462.4,473.9,453.5,468.95,851100,450
2015-02-05,467.1,476.05,458.25,462.45,728900,443.76
2015-02-06,462.9,466.3,442.7,448.75,1729300,430.61
2015-02-09,445.9,457.75,444.1,452.5,613600,434.21
2015-02-10,451.5,459.75,450.05,458.1,560700,439.58
2015-02-11,459.95,472,456.5,470.25,305500,451.24
2015-02-12,473,474.95,466.8,471.8,631300,452.73
2015-02-13,472.9,473.6,463.8,466.55,303100,447.69
2015-02-16,467,469.05,456.75,458.55,195600,440.02
2015-02-17,458.55,458.55,458.55,458.55,0,440.02
2015-02-18,459.95,466.65,453.2,463.35,322900,444.62
2015-02-19,464,467.5,456.2,461.75,284200,443.09
2015-02-20,462,469.5,458,466.5,445600,447.64
2015-02-23,468.5,472,456.2,459.7,434600,441.12
2015-02-24,459.5,466,458.05,463.55,315000,444.81
2015-02-25,463.4,464.9,447.35,451.35,326500,433.11
2015-02-26,451,454.9,439.75,442.25,1161900,424.37
2015-02-27,443.95,460.25,441.6,459.25,482800,440.69
2015-03-02,456,467.15,452,465.4,507400,446.59
2015-03-03,466,481.4,461.1,479.1,1103300,459.74
2015-03-04,482,482,463.25,464.85,429200,446.06
2015-03-05,464,471.5,458,466.45,384900,447.6
2015-03-06,466.45,466.45,466.45,466.45,0,447.6
2015-03-09,464,464,452.5,454.15,151400,435.79
2015-03-10,454.95,458.9,448.1,449.75,207100,431.57
2015-03-11,452,453,446.75,449.85,283800,431.67
2015-03-12,449.95,454.6,447.75,449.5,202200,431.33
2015-03-13,451.15,454,436.15,437.7,276800,420.01
2015-03-16,437.2,438.7,425.9,428.95,420800,411.61
2015-03-17,430,435,427,430.7,354700,413.29
2015-03-18,432,439.2,430,436.3,333200,418.67
2015-03-19,440,441.25,431,433.15,238700,415.64
2015-03-20,432,433.5,421,425.1,419300,407.92
2015-03-23,426,426.05,415.45,419.3,231000,402.35
2015-03-24,419.3,425.6,417,417.95,176300,401.06
2015-03-25,419.6,422.8,415,418.7,263700,401.78
2015-03-26,417.05,424.5,414,421.45,540400,404.42
2015-03-27,423,428.9,411.55,426.75,379900,409.5
2015-03-30,429,445,425.5,441,594400,423.18
2015-03-31,443.9,446.25,435,443.55,479400,425.62
2015-04-01,444.95,444.95,439.2,441.1,205700,423.27
2015-04-02,441.1,441.1,441.1,441.1,0,423.27
2015-04-03,441.1,441.1,441.1,441.1,0,423.27
2015-04-06,442.05,443,432.1,437.4,242100,419.72
2015-04-07,438,459.05,435.35,456.8,481800,438.34
2015-04-08,459.8,460,447.7,449.05,354500,430.9
2015-04-09,451.35,458,444.25,448.35,294800,430.23
2015-04-10,448.95,456,447.45,450.35,221900,432.15
2015-04-13,450.8,458.9,450,452.2,409200,433.92
2015-04-14,452.2,452.2,452.2,452.2,0,433.92
2015-04-15,453.7,455.9,439.7,441.6,460800,423.75
2015-04-16,441.6,448.9,440.2,447.7,276100,429.6
2015-04-17,449.8,452.45,440,442.5,317200,424.61
2015-04-20,441.9,442.3,424.6,430.2,421500,412.81
2015-04-21,428,437,426.35,430.4,231000,413
2015-04-22,431,439,426.1,433.25,218700,415.74
2015-04-23,435,439,428.55,432.2,174600,414.73
2015-04-24,433.75,434,422,424.75,296500,407.58
2015-04-27,424.5,424.5,409.2,412.35,197300,395.68
2015-04-28,410.35,430.65,408.6,428.7,265000,411.37
2015-04-29,428.95,438,425.85,431.6,239300,414.16
2015-04-30,431.9,434.4,425.65,426.95,229600,409.69
2015-05-01,426.95,426.95,426.95,426.95,0,409.69
2015-05-04,432.5,443.8,429.8,441.55,257800,423.7
2015-05-05,444.95,447.2,438.65,439.9,357600,422.12
2015-05-06,438,444.95,425.1,428.05,483100,410.75
2015-05-07,428.6,434.6,415.55,419.65,406700,402.69
2015-05-08,420.5,439.15,420.5,436.1,375500,418.47
2015-05-11,438.95,449,435.9,445.75,431300,427.73
2015-05-12,451,451,429.05,436.1,888800,418.47
2015-05-13,437.4,448.75,437.4,444.9,569300,426.92
2015-05-14,445.75,454.05,440.6,443.2,541600,425.29
2015-05-15,444.7,448.9,441.25,444.1,191900,426.15
2015-05-18,445,449.5,440.55,444.8,286200,426.82
2015-05-19,445,455,444,445.7,534400,427.69
2015-05-20,446.5,449.75,441,442.25,283200,424.37
2015-05-21,443,445,436.8,437.75,229800,420.06
2015-05-22,439.35,443.4,434,434.95,220800,417.37
2015-05-25,434.95,443.15,432.5,439.65,348500,421.88
2015-05-26,439.5,448.6,439.25,444.55,801300,426.58
2015-05-27,441.7,443.95,425.05,428.35,829500,411.04
2015-05-28,425.05,442.9,425,434.95,1343900,417.37
2015-05-29,435,436.5,428.35,432.25,758300,414.78
2015-06-01,434.95,435.4,427.15,428.5,264800,411.18
2015-06-02,429.8,430.5,415.7,419.4,323500,402.45
2015-06-03,419.45,420.95,409.2,416.75,360600,399.91
2015-06-04,420,424,415,421.45,192500,404.42
2015-06-05,419.9,428.9,417,425.25,292900,408.06
2015-06-08,425.8,428.35,403.75,412,692300,395.35
2015-06-09,414.5,423.5,410,420.2,503900,403.22
2015-06-10,421,423.75,414.05,415.65,255900,398.85
2015-06-11,419.5,419.5,404.75,408.65,610500,392.13
2015-06-12,408.5,415,403.35,411.2,278400,394.58
2015-06-15,407.55,414.4,407.05,410.2,348100,393.62
2015-06-16,410.65,414.7,406.8,410.35,252200,393.76
2015-06-17,413,414.8,406.5,408,303300,391.51
2015-06-18,408,416.5,406.5,409.95,901500,393.38
2015-06-19,412,419.9,410.55,417.95,402700,401.06
2015-06-22,418.8,419.5,415.5,417.55,364200,400.67
2015-06-23,418.1,423.5,417.05,419.1,317700,402.16
2015-06-24,419.9,421.2,411.25,414.05,330100,397.31
2015-06-25,414.05,414.5,410.5,412.15,703300,395.49
2015-06-26,412,417.5,411.05,414.05,299200,397.31
2015-06-29,412,412.6,404.05,411.5,313100,394.87
2015-06-30,410.7,423,410.7,420.9,200700,403.89
2015-07-01,436,443.8,432.05,437.1,1019700,419.43
2015-07-02,437,438,431.5,434,207200,416.46
2015-07-03,434.7,438,431.5,434.6,136100,417.03
2015-07-06,433.3,446,429,441.3,300300,423.46
2015-07-07,439,453,439,449.25,344100,431.09
2015-07-08,449,449,428.2,437.95,343300,420.25
2015-07-09,438.8,448.2,438.8,442.55,217200,424.66
2015-07-10,444.6,445.45,438.6,442.05,151900,424.18
2015-07-13,445,445,434,444,217600,426.05
2015-07-14,444.4,452,440,449.25,606400,431.09
