"Date","TATACOMM.NS.Open","TATACOMM.NS.High","TATACOMM.NS.Low","TATACOMM.NS.Close","TATACOMM.NS.Volume","TATACOMM.NS.Adjusted"
2015-01-01,441.5,445.2,438.7,441.6,357200,431.6
2015-01-02,441.9,445.4,434.1,435.45,242600,425.59
2015-01-05,435,445.25,435,437.1,412400,427.2
2015-01-06,434.6,435.45,414,416.8,554200,407.36
2015-01-07,410,426.85,410,423.65,267900,414.05
2015-01-08,427,430.1,421.1,425.7,277200,416.06
2015-01-09,428,431.45,420.2,425.25,297800,415.62
2015-01-12,425,427.8,419.3,420.55,346200,411.03
2015-01-13,418.8,427.65,418.75,425.35,646300,415.72
2015-01-14,424.45,435.3,418.4,423.95,461500,414.35
2015-01-15,429,437.35,422.45,433.8,550700,423.98
2015-01-16,433.8,436.35,425.5,426.95,316300,417.28
2015-01-19,427.5,438,424.5,425.3,504100,415.67
2015-01-20,426.4,429.9,423.1,424.2,296100,414.59
2015-01-21,425.5,430.4,422.05,423.85,610700,414.25
2015-01-22,424.3,428.5,414.15,418.15,263300,408.68
2015-01-23,420.55,424.75,411.1,416.25,596900,406.82
2015-01-26,416.25,416.25,416.25,416.25,0,406.82
2015-01-27,416.5,419.25,404.5,407.25,806000,398.03
2015-01-28,407.25,414.1,399.65,403.45,826600,394.31
2015-01-29,402.95,414.9,399.4,411.4,768700,402.08
2015-01-30,413.35,417.5,409.35,410.5,305500,401.2
2015-02-02,406,418.5,406,409.2,418000,399.93
2015-02-03,411.15,419.25,407.9,414.7,676000,405.31
2015-02-04,418.7,423.4,413.25,415.95,745700,406.53
2015-02-05,416.2,424.55,404.25,407.2,415400,397.98
2015-02-06,408.05,411.35,392.1,394.55,491000,385.61
2015-02-09,393,393.95,380.7,386.9,389800,378.14
2015-02-10,385.05,395,377.1,384.65,354700,375.94
2015-02-11,385.8,400,385.35,397.05,545400,388.06
2015-02-12,399,415,397.5,413.45,491500,404.09
2015-02-13,418.95,420.5,408.1,410.05,610100,400.76
2015-02-16,411.95,413.95,400.95,402.75,289100,393.63
2015-02-17,402.75,402.75,402.75,402.75,0,393.63
2015-02-18,406.8,414,402.15,412.45,481400,403.11
2015-02-19,415,416,404.2,411.4,472000,402.08
2015-02-20,410.7,415.6,408,410.9,528400,401.59
2015-02-23,412.9,415.35,396.1,399,951600,389.96
2015-02-24,399.55,407.6,396.05,405.1,399200,395.93
2015-02-25,406.8,407,402,403.15,257500,394.02
2015-02-26,403.2,408.45,394,395.85,520500,386.88
2015-02-27,397.05,403.8,394.7,399.15,807300,390.11
2015-03-02,400,423.55,398.05,422.6,676600,413.03
2015-03-03,424,432,411.5,429.25,835100,419.53
2015-03-04,441.5,441.8,420,423.15,1076900,413.57
