"Date","TATAELXSI.NS.Open","TATAELXSI.NS.High","TATAELXSI.NS.Low","TATAELXSI.NS.Close","TATAELXSI.NS.Volume","TATAELXSI.NS.Adjusted"
2015-01-01,597,617.2,596,603.75,483900,588.26
2015-01-02,607.4,614.9,604,606.2,196400,590.64
2015-01-05,601.5,624.45,601.5,617.15,478800,601.31
2015-01-06,617.6,636,607,620.75,974000,604.82
2015-01-07,619.1,664.9,619,650.75,1177600,634.05
2015-01-08,667,681.75,645.2,648.15,953600,631.52
2015-01-09,651.5,676.7,641,672.1,974000,654.85
2015-01-12,675.05,736,668.4,729.45,3535100,710.73
2015-01-13,733,735.9,702.3,713.35,1012500,695.04
2015-01-14,713.8,744.8,705.25,736.55,1245600,717.65
2015-01-15,747,758,730.2,748.4,1081700,729.19
2015-01-16,746.8,748,734.3,738.8,437100,719.84
2015-01-19,744.95,764.8,735.55,747.6,750000,728.41
2015-01-20,750.7,755,732.55,739.55,329200,720.57
2015-01-21,743,813.75,727.5,801.2,4918900,780.64
2015-01-22,812,817.2,792,796.8,1018600,776.35
2015-01-23,799.95,804.5,768.9,779.1,506500,759.11
2015-01-26,779.1,779.1,779.1,779.1,0,759.11
2015-01-27,782.3,795,765,773.85,376100,753.99
2015-01-28,769,791.5,757.25,764.45,482000,744.83
2015-01-29,765.5,773.7,760.55,763,184600,743.42
2015-01-30,766,780,755.05,763.85,263100,744.25
2015-02-02,755.1,771.35,755,759.35,247300,739.86
2015-02-03,761.8,822.9,759,791,2235300,770.7
2015-02-04,794,809,774,790.2,589400,769.92
2015-02-05,791.5,804.7,773.1,777.45,561500,757.5
2015-02-06,774.8,785.5,760.55,763.1,233000,743.52
2015-02-09,760,781,749.6,773.05,381500,753.21
2015-02-10,769,793.75,766,779.45,381800,759.45
2015-02-11,781.75,806.8,777.35,797.1,332800,776.64
2015-02-12,801.1,864.4,795,853.5,1430900,831.6
2015-02-13,858,893.55,856.1,869.7,1033100,847.38
2015-02-16,871.9,1024,869.7,1012.15,3770800,986.18
2015-02-17,1012.15,1012.15,1012.15,1012.15,0,986.18
2015-02-18,1003.95,1033.7,975.6,994.95,1962800,969.42
2015-02-19,994,1023.7,985.55,998.8,724500,973.17
2015-02-20,998,998.4,975.1,982.35,416600,957.14
2015-02-23,979,1064,974.5,1049.9,1986400,1022.96
2015-02-24,1044,1081,1022.15,1033.8,1002400,1007.27
2015-02-25,1033.95,1049,1013.25,1023.7,468800,997.43
2015-02-26,1026,1089,1026,1058.6,1411900,1031.43
2015-02-27,1062,1073.8,1037.4,1060.9,438800,1033.67
2015-03-02,1115,1175.25,1091.25,1158.95,964200,1129.21
2015-03-03,1161.2,1390.7,1161.2,1390.7,2659600,1355.01
2015-03-04,1440,1485,1332,1372.35,2771900,1337.13
2015-03-05,1345,1460,1344.9,1439.75,1693100,1402.8
2015-03-06,1439.75,1439.75,1439.75,1439.75,0,1402.8
2015-03-09,1420,1458,1375,1388.9,821500,1353.26
2015-03-10,1398.4,1439,1254,1281.35,1158600,1248.47
2015-03-11,1287.9,1309.9,1220,1255.2,981100,1222.99
2015-03-12,1264.9,1335,1251.05,1292.75,1289300,1259.57
2015-03-13,1302,1308.9,1222,1229.15,576500,1197.61
2015-03-16,1236.4,1258,1192.15,1206.7,737800,1175.73
2015-03-17,1220,1263.2,1188.75,1203.9,833900,1173
2015-03-18,1208.9,1228.4,1185.25,1210.15,589300,1179.09
2015-03-19,1221.1,1249.95,1184,1198,537400,1167.26
2015-03-20,1201,1208.95,1082.25,1092,633100,1063.98
2015-03-23,1104.9,1138,1053.4,1105.2,814600,1076.84
2015-03-24,1110,1136.8,1092.1,1102.15,515000,1073.87
2015-03-25,1107.9,1118,1066.6,1077.3,342400,1049.65
2015-03-26,1070,1076.9,1036.2,1048.55,336000,1021.64
2015-03-27,1060,1135,1060,1125.6,1116100,1096.71
2015-03-30,1139.8,1189,1139.8,1176.2,669900,1146.01
2015-03-31,1179,1183.8,1140.1,1157.25,453800,1127.55
2015-04-01,1161.7,1272.95,1137.05,1272.95,1130400,1240.28
2015-04-02,1272.95,1272.95,1272.95,1272.95,0,1240.28
2015-04-03,1272.95,1272.95,1272.95,1272.95,0,1240.28
2015-04-06,1288,1324,1261.05,1296.05,1248800,1262.79
2015-04-07,1302,1328.8,1286.5,1307.15,798000,1273.6
2015-04-08,1308,1405,1305,1362.15,1655500,1327.19
2015-04-09,1371.6,1387.95,1301.6,1340,722200,1305.61
2015-04-10,1339,1365,1304,1330.55,577700,1296.4
2015-04-13,1332.2,1357,1311.55,1323.3,434900,1289.34
2015-04-14,1323.3,1323.3,1323.3,1323.3,0,1289.34
2015-04-15,1328.3,1350,1285.65,1304,474100,1270.54
2015-04-16,1308.3,1350,1289.65,1319.1,870900,1285.25
2015-04-17,1319,1328.8,1258,1266.05,380600,1233.56
2015-04-20,1266.8,1274.8,1130,1152.75,815200,1123.17
2015-04-21,1156.3,1186,1104.1,1130.25,741700,1101.24
2015-04-22,1144,1174,1116.95,1156.4,463000,1126.72
2015-04-23,1166.8,1172,1115,1121.8,346200,1093.01
2015-04-24,1123.95,1130,1046.4,1054.85,477200,1027.78
2015-04-27,1060.9,1067.95,975,1003.75,608600,977.99
2015-04-28,1010,1146.7,1010,1100.55,1335600,1072.31
2015-04-29,1111.3,1182,1100.5,1135.6,1272000,1106.46
2015-04-30,1134,1136.85,1096,1108.05,405800,1079.61
2015-05-01,1108.05,1108.05,1108.05,1108.05,0,1079.61
2015-05-04,1115.9,1163,1115,1148.8,489100,1119.32
2015-05-05,1149.7,1212.85,1148.8,1188.3,977800,1157.8
2015-05-06,1182.6,1184.8,1102.6,1109.75,608400,1081.27
2015-05-07,1106.5,1128,1063.1,1080.85,542200,1053.11
2015-05-08,1101.9,1141.2,1101.9,1112.35,393900,1083.8
2015-05-11,1125.9,1154,1125,1134.95,332700,1105.82
2015-05-12,1137,1145,1105.1,1117.25,377400,1088.58
2015-05-13,1124,1161.9,1124,1153.15,454700,1123.56
2015-05-14,1157.3,1175,1131.25,1150.65,389300,1121.12
2015-05-15,1158,1172.5,1136,1144.15,263500,1114.79
2015-05-18,1149.3,1164.3,1145,1151.85,195600,1122.29
2015-05-19,1151,1206,1143,1192.9,636800,1162.29
2015-05-20,1191.7,1213.5,1182.55,1188.85,381000,1158.34
2015-05-21,1192,1195.55,1156.6,1170.85,242100,1140.8
2015-05-22,1174,1245,1166.2,1233.85,1191900,1202.19
2015-05-25,1236,1260,1224.1,1232.7,476200,1201.06
2015-05-26,1236,1255.5,1223.95,1240.75,349000,1208.91
2015-05-27,1232,1252.65,1221,1241.1,249000,1209.25
2015-05-28,1243.85,1296,1241.5,1247.8,698100,1215.78
2015-05-29,1255,1271.3,1251,1265,257900,1232.54
2015-06-01,1269.9,1292,1256.35,1265.45,338400,1232.97
2015-06-02,1269.9,1272.25,1181.1,1193.25,312400,1162.63
2015-06-03,1196,1199,1053.15,1123.65,449000,1094.81
2015-06-04,1133.7,1141,1102.6,1129.2,289000,1100.22
2015-06-05,1126,1153.8,1117.5,1127.65,298100,1098.71
2015-06-08,1132.25,1135.4,1054.5,1080.85,272100,1053.11
2015-06-09,1075,1128.8,1045.15,1112,504200,1083.46
2015-06-10,1115,1141.4,1115,1125.4,270200,1096.52
2015-06-11,1138,1147,1066,1075.15,448200,1047.56
2015-06-12,1076.7,1110,1060.2,1083.9,370400,1056.08
2015-06-15,1086.6,1112,1082,1087.9,270300,1059.98
2015-06-16,1090,1116.8,1072,1103.65,238300,1075.33
2015-06-17,1120,1135.5,1110.1,1117.7,295700,1089.02
2015-06-18,1123.9,1152.4,1120.5,1138.25,380300,1109.04
2015-06-19,1148.6,1225,1142.9,1200.95,1352200,1170.13
2015-06-22,1208.5,1234.4,1206.25,1220.5,379200,1189.18
2015-06-23,1222.3,1229.7,1184,1200.35,312000,1169.55
2015-06-24,1206,1264,1187,1229.35,921800,1197.8
2015-06-25,1222.1,1253,1211.2,1239.5,318700,1207.69
2015-06-26,1230.2,1254,1206.55,1226.75,321700,1195.27
2015-06-29,1151,1200,1151,1180.95,254700,1150.64
2015-06-30,1182,1223.9,1182,1202.75,324500,1171.88
2015-07-01,1205,1234,1205,1215.45,315400,1184.26
2015-07-02,1224,1235,1195.4,1206.95,236600,1175.98
2015-07-03,1208.9,1248,1208.9,1220.25,460400,1188.93
2015-07-06,1200,1224.75,1184,1215.45,257600,1184.26
2015-07-07,1222.9,1259.9,1220,1236.4,475900,1204.67
2015-07-08,1221,1230,1195,1206.15,240700,1175.2
2015-07-09,1211.3,1228,1192.65,1200,186700,1169.2
2015-07-10,1210.95,1218,1197.35,1208.3,161700,1177.29
2015-07-13,1210.2,1228.5,1206,1218.35,180300,1187.08
2015-07-14,1224.8,1323,1218.5,1291.7,1738100,1270.02
2015-07-15,1297,1320,1281.2,1289.55,595200,1278.79
2015-07-16,1295.75,1338.5,1293.05,1330,691500,1318.91
2015-07-17,1333,1351.8,1307.5,1330.15,473300,1319.05
2015-07-20,1334.3,1367,1317,1359.3,526400,1347.96
2015-07-21,1360,1424.95,1336,1389,1156800,1377.41
2015-07-22,1391,1434.9,1386.25,1419.55,675800,1407.71
2015-07-23,1425,1462.6,1401.5,1415.45,644100,1403.64
2015-07-24,1420.5,1616.45,1408,1591.6,4699500,1578.32
2015-07-27,1575.45,1695,1565.1,1672.5,2635700,1658.55
2015-07-28,1677,1742.5,1598.7,1615.1,2350400,1601.63
2015-07-29,1621.9,1664.95,1605.25,1638.25,793600,1624.58
2015-07-30,1653.65,1759.5,1651,1732.95,1502600,1718.49
2015-07-31,1737,1749.1,1674,1705.2,840100,1690.98
2015-08-03,1705,1814.5,1703.05,1801.55,1311700,1786.52
2015-08-04,1810.9,1895,1802,1879,1420900,1863.33
2015-08-05,1897,1937.95,1838.1,1850.95,1142800,1835.51
2015-08-06,1840.1,1852.8,1802.1,1831.2,576500,1815.93
2015-08-07,1831,1908,1825.25,1878.05,875000,1862.38
2015-08-10,1875,1892.7,1815.1,1832.1,452700,1816.82
2015-08-11,1836.1,1848.5,1706,1724.45,744400,1710.07
2015-08-12,1710,1738,1661.1,1703.85,786300,1689.64
2015-08-13,1720,1749,1681,1700.65,423700,1686.46
2015-08-14,1714.2,1773.1,1685,1755.6,547000,1740.96
2015-08-17,1764.3,1797.25,1715,1784.2,651600,1769.32
2015-08-18,1793,2141,1786.3,2134.85,4057600,2117.04
2015-08-19,2154,2317.4,2115,2194.2,3716200,2175.9
2015-08-20,2169.8,2185,2045,2099.25,1430300,2081.74
2015-08-21,2045,2074.6,1983.15,2059.15,1170200,2041.97
2015-08-24,1943,1966,1655.55,1691.8,1155300,1677.69
2015-08-25,1769,1819.95,1555,1765.5,1919800,1750.77
2015-08-26,1747,1864.9,1688,1790.65,1455400,1775.71
2015-08-27,1844.7,1898,1836.5,1853.1,1014500,1837.64
2015-08-28,1885.5,1919.9,1847,1864.95,963100,1849.39
2015-08-31,1854.2,1862.9,1800,1838.45,531700,1823.11
2015-09-01,1805,1909.7,1778,1807.4,1170100,1792.32
2015-09-02,1840,1884,1833.55,1848.5,862300,1833.08
2015-09-03,1877.1,1900,1853.55,1866.8,577200,1851.23
2015-09-04,1848,1854.4,1722,1769.1,802300,1754.34
2015-09-07,1780,1810,1713,1723.9,707200,1709.52
2015-09-08,1750.75,1914.8,1724,1880.75,1851800,1865.06
2015-09-09,1929.7,2010.9,1929.7,1948.1,1694900,1931.85
2015-09-10,1898,1945,1862,1927.8,1144900,1911.72
2015-09-11,1955,2010,1953,1972.35,1142000,1955.9
2015-09-14,1999.95,2024,1983.65,1999.2,828400,1982.52
2015-09-15,2001.7,2016.9,1901.5,1917,818800,1901.01
2015-09-16,1943.8,1956.85,1836.7,1861.6,953700,1846.07
2015-09-17,1861.6,1861.6,1861.6,1861.6,0,1846.07
2015-09-18,1891.45,1931,1856.5,1877,702700,1861.34
2015-09-21,1860,1927.8,1828,1917.45,754900,1901.46
2015-09-22,1926.9,1955,1867.35,1879.6,857300,1863.92
2015-09-23,1850,1918.8,1831.75,1894.2,762400,1878.4
2015-09-24,1885,1913,1874.05,1886.55,473700,1870.81
2015-09-25,1886.55,1886.55,1886.55,1886.55,0,1870.81
2015-09-28,1895,1928.5,1874.25,1881.85,581300,1866.15
2015-09-29,1845,1907,1835.6,1870.3,553800,1854.7
2015-09-30,1888,1907.7,1872,1879.95,380000,1864.27
2015-10-01,1895,1918,1875.1,1880.6,545300,1864.91
2015-10-02,1880.6,1880.6,1880.6,1880.6,0,1864.91
2015-10-05,1899.4,1971,1892,1943.05,1059200,1926.84
2015-10-06,1955,1988.85,1942.5,1952.5,736000,1936.21
2015-10-07,1961.3,1965.95,1910.5,1916.65,450300,1900.66
2015-10-08,1922.3,1925.75,1847.55,1853.65,598300,1838.19
2015-10-09,1864.9,1884,1812.2,1825.1,538400,1809.88
2015-10-12,1836.8,1839.25,1771.85,1783.35,438200,1768.47
2015-10-13,1789,1856,1752,1842.45,1025100,1827.08
2015-10-14,1850,1884.55,1840.1,1847.9,715900,1832.49
2015-10-15,1858.6,1866,1810.65,1822,370800,1806.8
2015-10-16,1829.9,1868,1818.05,1845,536100,1829.61
2015-10-19,1854,1861.2,1822,1842.1,320200,1826.73
2015-10-20,1850,1907.8,1845,1867,855900,1851.43
2015-10-21,1871.3,1894.5,1855.65,1861.95,415100,1846.42
2015-10-22,1861.95,1861.95,1861.95,1861.95,0,1846.42
2015-10-23,1880,1888.3,1835.75,1849.3,360800,1833.87
2015-10-26,1863.95,1863.95,1828,1838.05,290500,1822.72
2015-10-27,1839.8,1867,1830.1,1851.05,311900,1835.61
2015-10-28,1856.9,1942.7,1815.1,1859.55,2171900,1844.04
2015-10-29,1858,1888,1845,1854.55,471400,1839.08
2015-10-30,1860,1868.8,1811.55,1826.5,305500,1811.26
2015-11-02,1830,1833.8,1792,1819.2,287500,1804.03
2015-11-03,1830.05,1849.5,1808.8,1815.2,359800,1800.06
2015-11-04,1824.3,1841,1810.65,1817.2,305500,1802.04
2015-11-05,1820,1822.95,1751.25,1761,378600,1746.31
2015-11-06,1769.9,1787,1745.8,1755.55,337800,1740.91
2015-11-09,1709,1842.1,1678.8,1833.5,690700,1818.21
2015-11-10,1825,1844.8,1762.1,1772.15,343300,1757.37
2015-11-11,1772.15,1772.15,1772.15,1772.15,0,1757.37
2015-11-12,1772.15,1772.15,1772.15,1772.15,0,1757.37
2015-11-13,1779.7,1779.7,1749,1765.5,156000,1750.77
2015-11-16,1759.95,1818,1738,1800.05,342200,1785.04
2015-11-17,1810,1814.8,1772.1,1784.1,220900,1769.22
2015-11-18,1782.2,1789.3,1730,1738.75,269800,1724.25
2015-11-19,1752,1785,1742.55,1772.7,289900,1757.91
2015-11-20,1775,1784,1751.8,1762.05,260400,1747.35
2015-11-23,1772,1877,1765,1847.5,1353400,1832.09
2015-11-24,1842.5,1884.9,1831.1,1866.05,709900,1850.48
2015-11-25,1866.05,1866.05,1866.05,1866.05,0,1850.48
2015-11-26,1869.8,1884,1848.1,1877.6,331000,1861.94
2015-11-27,1886,1976.7,1876.95,1961.05,1484500,1944.69
2015-11-30,1958.1,2058.05,1958.1,2023.7,1191400,2006.82
2015-12-01,2036,2058,1983,2004.95,632900,1988.23
2015-12-02,2002,2012,1961.3,1970.15,293700,1953.72
2015-12-03,1968,2055,1921.5,1996.8,1254700,1980.14
2015-12-04,1977.9,2035,1961,1976.15,610100,1959.67
2015-12-07,1991,2022.55,1971.1,1979.8,420500,1963.29
2015-12-08,1972,2015,1941.1,1956.1,511600,1939.78
2015-12-09,1950,1979.9,1822.65,1848,652000,1832.59
2015-12-10,1867,1955,1836,1939,759300,1922.83
2015-12-11,1951,2003.9,1940.1,1989.5,879400,1972.91
2015-12-14,1980,2148.5,1960,2125.2,1904800,2107.47
2015-12-15,2131,2216.4,2131,2186.95,1616000,2168.71
2015-12-16,2195.5,2214.85,2146.5,2176.55,1002300,2158.39
2015-12-17,2194,2273,2190.95,2251.4,1402000,2232.62
2015-12-18,2235,2235,2176.5,2196.55,585200,2178.23
2015-12-21,2198,2222.4,2156.3,2209.65,632400,2191.22
2015-12-22,2215.3,2304.9,2191.1,2261.35,1348600,2242.49
2015-12-23,2271,2329.9,2270.05,2283.35,859300,2264.3
2015-12-24,2294,2311.8,2251.75,2267.85,445400,2248.93
2015-12-25,2267.85,2267.85,2267.85,2267.85,0,2248.93
2015-12-28,2274,2280.85,2232,2246.55,269200,2227.81
2015-12-29,2251,2298,2226.2,2257.2,628700,2238.37
2015-12-30,2264,2292,2235,2243,392200,2224.29
2015-12-31,2250,2264.8,2226,2244.05,283900,2225.33
2016-01-01,2252,2281.2,2223.5,2250.75,420900,2231.98
2016-01-04,2243,2281,2185,2211.95,454700,2193.5
2016-01-05,2222.7,2238,2170,2180.05,333300,2161.87
2016-01-06,2180.7,2242.5,2155,2168.25,535300,2150.16
2016-01-07,2134.3,2145,2075,2083.5,358400,2066.12
2016-01-08,2103,2124,2039,2052.25,326200,2035.13
2016-01-11,2020,2049.9,1975.7,2024.7,398900,2007.81
2016-01-12,2040,2063.5,2002.7,2018.3,318200,2001.46
2016-01-13,2034,2049,1851.55,1932.6,775100,1916.48
2016-01-14,1894.9,1944,1841.5,1890.35,543100,1874.58
2016-01-15,1901.7,1928,1717,1782.9,494900,1768.03
2016-01-18,1774,1789.3,1650,1664.65,687900,1650.76
2016-01-19,1688.8,1752,1636.65,1728.5,712200,1714.08
2016-01-20,1700,1760,1652,1701.1,1135600,1686.91
2016-01-21,1731,1747.95,1694,1713.4,512900,1699.11
2016-01-22,1741,1779.9,1725,1758.3,463000,1743.63
2016-01-25,1778,1858.8,1773,1826.75,637900,1811.51
2016-01-26,1826.75,1826.75,1826.75,1826.75,0,1811.51
2016-01-27,1847,1977,1840,1954.2,888500,1937.9
2016-01-28,1961.8,2019.4,1960.2,1990.4,673400,1973.8
2016-01-29,1994.05,2096,1990.4,2082.6,917200,2065.23
2016-02-01,2095.1,2277,2085.6,2250.35,1619300,2231.58
2016-02-02,2245,2403,2242,2298.6,2483400,2279.43
2016-02-03,2248,2262,2132,2146.95,1013200,2129.04
2016-02-04,2175,2234.95,2032.1,2075.8,1015000,2058.49
2016-02-05,2080.15,2165.65,2020,2118.6,1057300,2100.93
2016-02-08,2159,2182,2088.3,2108.6,677500,2091.01
2016-02-09,2074,2090,2027,2047.3,532300,2030.22
2016-02-10,2035,2055,1975,1996.5,603900,1979.85
