"Date","TATAGLOBAL.NS.Open","TATAGLOBAL.NS.High","TATAGLOBAL.NS.Low","TATAGLOBAL.NS.Close","TATAGLOBAL.NS.Volume","TATAGLOBAL.NS.Adjusted"
2015-01-01,150.95,151.75,150.35,150.7,535600,145.856
2015-01-02,150.9,153.2,150.55,152.5,2043100,147.599
2015-01-05,151.65,154.5,151.65,152.95,1873100,148.034
2015-01-06,151.95,151.95,147,148.15,2390200,143.388
2015-01-07,147.2,149.2,146,148.45,2770500,143.679
2015-01-08,149.9,154.5,149.5,153.7,2292900,148.76
2015-01-09,154.5,157.7,153.3,155.6,4013400,150.599
2015-01-12,156.35,158.7,155.2,157.35,1647100,152.293
2015-01-13,157.55,157.9,154.2,155.25,1558100,150.26
2015-01-14,155.05,157,153.8,154.85,1383100,149.873
2015-01-15,156.6,157.6,154.05,155.65,1183900,150.647
2015-01-16,155,155.75,153.75,154.3,1299800,149.341
2015-01-19,154.3,157.8,154.3,156.55,1000100,151.518
2015-01-20,156.8,157.45,155.6,156.35,1211300,151.325
2015-01-21,157.4,159.4,156.65,158,2696900,152.922
2015-01-22,157.1,160.6,157.1,158.85,2326800,153.744
2015-01-23,159.15,162.15,156.9,161.15,2437300,155.97
2015-01-26,161.15,161.15,161.15,161.15,0,155.97
2015-01-27,161,162,158.6,159.4,1634500,154.277
2015-01-28,158.8,159.9,157.65,158.75,1819000,153.648
2015-01-29,158.95,160.75,157.3,158.25,2823300,153.164
2015-01-30,158.95,162.4,154.05,158.7,4094300,153.599
2015-02-02,157.9,167.75,157.75,163.6,5423700,158.342
2015-02-03,164,164.5,159.2,160.45,1927200,155.293
2015-02-04,160.7,163.1,157.65,158.55,1567700,153.454
2015-02-05,159.25,159.8,153.5,154.75,2403900,149.776
2015-02-06,154.4,154.7,151.55,152.4,1392500,147.502
2015-02-09,151.5,152.9,148.7,149.55,1470500,144.743
2015-02-10,148.9,153.15,148,151.55,1719900,146.679
2015-02-11,151.2,154.7,151.2,154.35,1131700,149.389
2015-02-12,154.95,156.8,153.2,155.2,1727000,150.212
2015-02-13,155.65,158.95,154.85,157.4,1565800,152.341
2015-02-16,157.85,157.95,154.75,155.15,696900,150.163
2015-02-17,155.15,155.15,155.15,155.15,0,150.163
2015-02-18,155.5,158,155.05,156.85,1122100,151.809
2015-02-19,157.4,158.5,154.45,157,1377000,151.954
2015-02-20,157.75,162.25,156.6,159.7,2886600,154.567
2015-02-23,160.95,161.5,155.3,155.95,1614500,150.938
2015-02-24,156,157.3,153.6,155.55,1404800,150.55
2015-02-25,155.55,156.25,153.1,153.5,1546200,148.566
2015-02-26,153.9,154.5,151.9,152.55,2960500,147.647
2015-02-27,153.4,156.55,153.15,156.05,1540600,151.034
2015-03-02,155.5,158.9,155,158.35,1211500,153.261
2015-03-03,158.5,164.9,157.15,163.55,4314500,158.293
2015-03-04,164,164.35,157,158.35,2204000,153.261
2015-03-05,157.9,161.4,156.1,159.3,1419000,154.18
2015-03-06,159.3,159.3,159.3,159.3,0,154.18
2015-03-09,159.05,162.85,157.25,159.05,2281000,153.938
2015-03-10,159.65,161,155.8,157.25,1354700,152.196
2015-03-11,157.35,159.5,156.7,157.85,1773700,152.777
2015-03-12,158.5,161.4,157.85,160,2130500,154.857
2015-03-13,160.95,161.1,153.55,154.85,2248300,149.873
2015-03-16,154.95,155.65,152.85,154.75,1343200,149.776
2015-03-17,155.25,157.3,155.25,156.7,1416200,151.664
2015-03-18,156.9,158.25,155.4,155.85,1268300,150.841
2015-03-19,156.65,157.35,152.7,153.85,1776500,148.905
2015-03-20,153.75,153.75,149,149.95,1834500,145.13
2015-03-23,149.8,150.55,146.9,147.2,1229400,142.469
2015-03-24,147.35,148.95,146.2,147.95,1328100,143.195
2015-03-25,148,149.4,147.75,149,1566000,144.211
2015-03-26,148.05,149.55,146.5,147.3,2029200,142.566
2015-03-27,148.45,149.2,142.7,145.75,2099100,141.065
2015-03-30,147.1,150.25,146.55,149.75,818800,144.937
2015-03-31,150.25,151.2,148.3,148.8,1383900,144.017
2015-04-01,148.8,151.95,148.8,151.1,575000,146.244
2015-04-02,151.1,151.1,151.1,151.1,0,146.244
2015-04-03,151.1,151.1,151.1,151.1,0,146.244
2015-04-06,151.95,152.1,149.8,151.45,843400,146.582
2015-04-07,152.4,152.4,149.9,151.1,1810400,146.244
2015-04-08,151.8,153.7,150.8,151.6,1142100,146.727
2015-04-09,152.35,153,151,152.05,852900,147.163
2015-04-10,152.7,162.5,152.05,161.2,6349500,156.019
2015-04-13,161.65,162.75,158.6,161.5,3122500,156.309
2015-04-14,161.5,161.5,161.5,161.5,0,156.309
2015-04-15,161.45,163.5,157.85,158.95,4215500,153.841
2015-04-16,158.9,160.25,156.05,159.3,1373400,154.18
2015-04-17,159.25,161.2,157,157.55,1223100,152.486
2015-04-20,157.3,157.75,151.2,153.25,1753100,148.324
2015-04-21,152.9,154.65,149.65,150.2,3096300,145.372
2015-04-22,150.9,151.75,145.85,149.65,2719200,144.84
2015-04-23,151,152.5,149.9,150.2,2312700,145.372
2015-04-24,150.65,150.65,146.2,147.25,1179200,142.517
2015-04-27,147.65,148.15,141.4,142.15,3007000,137.581
2015-04-28,141.6,144.15,141,141.95,3701200,137.388
2015-04-29,142.25,143.35,141.5,142.55,1836500,137.968
2015-04-30,142.25,143.15,140.4,142.1,2456800,137.533
2015-05-01,142.1,142.1,142.1,142.1,0,137.533
2015-05-04,143.4,144.9,142.55,143.55,1103900,138.936
2015-05-05,143.85,145.9,143.5,144.55,1785800,139.904
2015-05-06,144.25,144.95,138.75,139.8,2281500,135.307
2015-05-07,139,140.45,136.6,137.75,2366200,133.323
2015-05-08,139,141.85,138.3,141.05,1572600,136.517
2015-05-11,141.4,143.9,140.55,143.35,2341600,138.743
2015-05-12,143.3,145.5,139.4,142.85,3019800,138.259
2015-05-13,143.15,145.9,143.05,144.55,2227200,139.904
2015-05-14,145.05,146.9,143.65,146.3,1373700,141.598
2015-05-15,146.85,148.5,145.45,147.4,2232700,142.662
2015-05-18,147.75,150.45,147.65,147.95,1497600,143.195
2015-05-19,147.8,149.25,146.8,147.55,1138800,142.808
2015-05-20,147.45,148.75,144.55,145.95,1648400,141.259
2015-05-21,146.15,147.5,145.05,146.65,702700,141.937
2015-05-22,147,149.15,146.55,147.95,1010800,143.195
2015-05-25,147.5,149.45,146.75,147.45,872100,142.711
2015-05-26,146.8,149.7,146.8,148.8,1118600,144.017
2015-05-27,147.4,150,147.4,148.7,909100,143.921
2015-05-28,149.4,150.3,143,144.9,5132000,140.243
2015-05-29,143.05,146.65,143.05,146.25,1343400,141.549
2015-06-01,145.3,146.4,144.8,145.15,569500,140.485
2015-06-02,145,145.75,140,140.8,2077200,136.275
2015-06-03,140.6,141.2,136.5,137.35,2271100,132.935
2015-06-04,137.65,138.6,136,137.75,2132000,133.323
2015-06-05,137.9,139.7,136.85,138.5,756500,134.048
2015-06-08,138.8,138.8,134,134.85,1937900,130.516
2015-06-09,135,138.9,134,137.55,877700,133.129
2015-06-10,137.6,138.7,136,136.6,799400,132.21
2015-06-11,137,137.75,133.6,134.4,1586500,130.08
