"Date","TATAMOTORS.NS.Open","TATAMOTORS.NS.High","TATAMOTORS.NS.Low","TATAMOTORS.NS.Close","TATAMOTORS.NS.Volume","TATAMOTORS.NS.Adjusted"
2015-01-01,489.252,494.15,487.026,493.16,944500,492.9604
2015-01-02,491.973,511.909,491.973,506.369,4193000,506.164
2015-01-05,504.687,520.418,501.323,518.241,6758600,518.0312
2015-01-06,508.892,508.892,493.952,496.079,7979500,495.8782
2015-01-07,489.747,495.09,484.009,488.609,9232600,488.4112
2015-01-08,498.651,509.337,495.683,506.567,5535500,506.3619
2015-01-09,515.718,519.379,510.029,516.757,4053500,516.5478
2015-01-12,512.998,519.132,505.825,516.757,2560500,516.5478
2015-01-13,514.828,520.121,509.782,513.938,4328800,513.7299
2015-01-14,515.966,521.061,508.496,514.828,6070600,514.6196
2015-01-15,522.694,530.312,518.192,527.294,6902500,527.0805
2015-01-16,525.464,530.114,516.856,520.171,4250100,519.9604
2015-01-19,520.913,533.874,517.598,532.785,4617300,532.5693
2015-01-20,533.033,555.047,529.075,553.266,6140300,553.042
2015-01-21,550.941,552.524,540.206,545.647,6521300,545.4261
2015-01-22,544.806,562.665,542.729,560.488,6010500,560.2611
2015-01-23,568.898,584.877,567.909,582.205,7764700,581.9693
2015-01-26,582.205,582.205,582.205,582.205,0,581.9693
2015-01-27,589.725,601.251,589.725,598.134,7213500,597.8918
2015-01-28,592.643,592.841,580.771,582.947,8297700,582.711
2015-01-29,579.781,594.325,574.439,592.248,5874500,592.0082
2015-01-30,595.018,598.283,574.933,578.94,4180900,578.7056
2015-02-02,581.562,589.576,574.686,586.212,4363200,585.9747
2015-02-03,591.308,605.901,589.873,596.898,6100300,596.6564
2015-02-04,600.212,600.212,581.958,585.124,3398700,584.8871
2015-02-05,584.728,596.502,575.824,582.947,6847400,582.711
2015-02-06,561.032,565.93,546.34,553.661,12221200,553.4369
2015-02-09,544.163,548.566,535.556,536.891,4628500,536.6736
2015-02-10,538.227,561.972,537.584,558.114,5617200,557.8881
2015-02-11,560.983,565.336,547.478,552.969,4637500,552.7451
2015-02-12,556.234,559.994,546.637,555.838,5488900,555.613
2015-02-13,556.729,561.181,549.11,559.548,3506500,559.3214
2015-02-16,562.962,574.29,559.499,568.057,5793600,567.827
2015-02-17,568.057,568.057,568.057,568.057,0,567.827
2015-02-18,566.622,580.771,554.7,578.099,5846500,577.865
2015-02-19,579.781,586.262,566.029,570.432,4316900,570.2011
2015-02-20,573.35,578.792,566.177,573.746,3907200,573.5137
2015-02-23,575.824,578.248,565.979,568.107,3040400,567.877
2015-02-24,570.877,571.866,554.008,558.41,4350300,558.1839
2015-02-25,560.686,569.887,558.015,562.17,3082700,561.9424
2015-02-26,564.05,565.979,551.435,554.7,3570900,554.4755
2015-02-27,561.032,574.834,557.52,569.046,4357000,568.8157
2015-03-02,591.06,594.622,567.018,578.792,4951800,578.5577
2015-03-03,576.318,576.318,565.93,568.008,3593200,567.778
2015-03-04,575.329,585.817,564.05,568.008,6242700,567.778
2015-03-05,569.887,571.668,561.675,564.644,3354500,564.4154
2015-03-06,564.644,564.644,564.644,564.644,0,564.4154
2015-03-09,564.94,567.513,556.036,559.103,3566000,558.8767
2015-03-10,561.873,566.622,552.771,554.255,3917100,554.0306
2015-03-11,555.047,559.202,542.382,545.054,3184800,544.8334
2015-03-12,549.011,560.933,548.418,557.916,3430700,557.6902
2015-03-13,559.647,559.697,549.209,552.425,5382400,552.2013
2015-03-16,553.117,559.697,548.368,550.99,2786900,550.7669
2015-03-17,558.015,572.856,556.432,565.485,5395800,565.2561
2015-03-18,564.297,564.94,550.594,554.255,4569600,554.0306
2015-03-19,559.004,562.912,545.4,547.923,3295100,547.7012
2015-03-20,543.124,544.806,535.259,541.789,5119700,541.5697
2015-03-23,542.234,551.881,542.234,545.598,3153800,545.3771
2015-03-24,545.944,546.637,522.793,526.602,4519000,526.3888
2015-03-25,529.817,539.81,527.838,536.1,8625200,535.8829
2015-03-26,525.266,533.28,515.273,518.687,6544500,518.477
2015-03-27,520.072,531.103,512.651,529.669,4721200,529.4546
2015-03-30,531.153,535.308,525.711,534.269,4012500,534.0527
2015-03-31,534.418,553.859,531.895,544.361,5409500,544.1406
2015-04-01,543.273,560.389,542.185,558.905,4222500,558.6788
2015-04-02,558.905,558.905,558.905,558.905,0,558.6788
2015-04-03,558.905,558.905,558.905,558.905,0,558.6788
2015-04-06,563.9,573.5,555.35,568.15,5728300,567.92
2015-04-07,569.05,570.7,554.05,560.35,3201700,560.1231
2015-04-08,565,569.6,559.2,561.5,3774800,561.2727
2015-04-09,562.8,564.85,552.25,559.9,3043100,559.6734
2015-04-10,558.8,569.4,555.55,562.65,2808000,562.4222
2015-04-13,563,563.9,552.45,556.25,2889200,556.0248
2015-04-14,556.25,556.25,556.25,556.25,0,556.0248
2015-04-15,551.25,551.25,538.25,540.45,4118900,540.2312
2015-04-16,543.75,551.25,534.2,541.25,4027700,541.0309
2015-04-17,541.5,544.8,534.15,535.35,2728200,535.1332
2015-04-20,543.15,543.15,521.05,533.2,5011200,532.9842
2015-04-21,531.45,538,523.5,527.4,3243800,527.1865
2015-04-22,529,529.7,510.65,523.5,4311300,523.2881
2015-04-23,527.8,527.8,508.45,512,4961900,511.7927
2015-04-24,515.25,520,508.6,516.2,4302300,515.991
2015-04-27,521,523,513.05,516.85,3082800,516.6407
2015-04-28,520.5,533.8,518.35,529.85,6417000,529.6355
2015-04-29,526.75,528,516.8,520.9,3685700,520.6891
2015-04-30,518.2,520.8,506.75,508.25,10009100,508.0442
2015-05-01,508.25,508.25,508.25,508.25,0,508.0442
2015-05-04,511.75,516,497.5,506.45,5849800,506.245
2015-05-05,509.5,515.7,506.05,510.45,3398700,510.2434
2015-05-06,508.5,508.5,495.8,497.85,5925400,497.6485
2015-05-07,493.5,503,482.6,488.1,5504500,487.9024
2015-05-08,498.75,515.9,497.35,513.7,6229200,513.492
2015-05-11,522.25,530.95,517,529.7,5520500,529.4856
2015-05-12,525.7,525.7,511.15,513.55,4569600,513.3421
2015-05-13,517,525.55,506.55,520.45,4442100,520.2393
2015-05-14,519,519,510.1,516.6,3587700,516.3908
2015-05-15,519,524.5,517.05,519.9,4038800,519.6896
2015-05-18,517.25,524.4,510.3,520.7,4363700,520.4892
2015-05-19,516.9,518.75,508.7,509.8,5500600,509.5936
2015-05-20,511,513.85,503.55,505.25,6385600,505.0455
2015-05-21,506.5,512.5,505,511.2,4708700,510.9931
2015-05-22,511.75,516.95,510.2,514.65,4744800,514.4417
2015-05-25,513,514,503,505.3,3080500,505.0954
2015-05-26,505,506,493.55,497.6,7389600,497.3986
2015-05-27,473.6,474.95,463.55,471.75,15936300,471.559
2015-05-28,473.85,487.45,472.25,484.35,11792800,484.1539
2015-05-29,485.2,490.25,479.4,481.65,7892000,481.455
2015-06-01,482.9,482.9,471,472.05,4610200,471.8589
2015-06-02,473.1,478.4,465,466.95,6237200,466.761
2015-06-03,467,468.75,434.7,456.85,9702700,456.6651
2015-06-04,456.85,458.45,445.45,451.2,8001000,451.0174
2015-06-05,445.65,449.55,439.5,442.1,11195600,441.921
2015-06-08,435.3,438,429.05,435.6,7072000,435.4237
2015-06-09,431.3,443.8,431.3,440.05,7741600,439.8718
2015-06-10,439.9,449.4,436,446.6,9716100,446.4192
2015-06-11,446.5,446.8,428.1,430.2,9668300,430.0259
2015-06-12,426.55,429.5,417.25,421.8,10871800,421.6292
