"Date","TATAMTRDVR.NS.Open","TATAMTRDVR.NS.High","TATAMTRDVR.NS.Low","TATAMTRDVR.NS.Close","TATAMTRDVR.NS.Volume","TATAMTRDVR.NS.Adjusted"
2015-01-01,335.7,337.8,333.2,334.65,403700,334.33
2015-01-02,334,346.6,334,342.25,1628200,341.92
2015-01-05,343.2,347.9,340.65,344.45,1206800,344.12
2015-01-06,340.9,342,327.7,328.75,1457900,328.43
2015-01-07,327.8,336.5,325.55,330.65,1882900,330.33
2015-01-08,335.7,341.8,330.5,340.7,2563500,340.37
2015-01-09,344,351.95,339.5,342.65,2879300,342.32
2015-01-12,343,343,335.55,337.4,1174200,337.08
2015-01-13,340,341,332.7,334.4,1291500,334.08
2015-01-14,336,338.2,327.65,330.3,1306700,329.98
2015-01-15,335.75,345.65,332.65,341.85,1786100,341.52
2015-01-16,340.25,344.8,336.7,339.9,2564300,339.57
2015-01-19,342.5,348.5,340.15,346.35,1543700,346.02
2015-01-20,348.3,356.45,347.4,355,3190500,354.66
2015-01-21,355.9,362.25,352.55,360.25,4703600,359.9
2015-01-22,357,368,355.5,364.45,2303700,364.1
2015-01-23,369.8,374.85,364.45,373.75,2876400,373.39
2015-01-26,373.75,373.75,373.75,373.75,0,373.39
2015-01-27,376.15,383.2,374.5,380.5,2097800,380.13
2015-01-28,384,384.9,364.55,365.95,2462600,365.6
2015-01-29,364.25,369.95,358.2,364.15,2851900,363.8
2015-01-30,367.45,368.2,360.25,363.95,1328100,363.6
2015-02-02,362,363.95,354,356.65,1479000,356.31
2015-02-03,360,366.6,355.5,358.3,1586500,357.95
2015-02-04,360.4,361.2,353,355,1848700,354.66
2015-02-05,358,364.4,353.05,356.4,1094900,356.06
2015-02-06,345.2,346.8,327,337.35,3465700,337.03
2015-02-09,333.8,339.6,328,329.55,2753400,329.23
2015-02-10,328,341.6,323.6,336.45,1215000,336.13
2015-02-11,336.85,339.8,333.6,338.9,1043300,338.57
2015-02-12,342.75,342.75,334.65,338.25,855700,337.92
2015-02-13,339.25,347.3,333.55,345.85,1521100,345.52
2015-02-16,347.25,351.65,344.45,350.6,2448100,350.26
2015-02-17,350.6,350.6,350.6,350.6,0,350.26
2015-02-18,350.1,354.25,343.25,350.15,2330800,349.81
2015-02-19,373,383.95,367,373.3,5492000,372.94
2015-02-20,374.9,385.8,370.6,381.65,3065900,381.28
2015-02-23,381.65,384.5,370.65,372.25,976500,371.89
2015-02-24,371.05,373.6,362.65,365.75,548700,365.4
2015-02-25,367.2,372.9,364,365.75,659300,365.4
2015-02-26,367.55,367.55,347.75,350.2,1758600,349.86
2015-02-27,354,361.2,352.45,359,899900,358.65
2015-03-02,377,377,359.3,369.55,2232300,369.19
2015-03-03,370.6,370.6,364,367,1453900,366.65
2015-03-04,374.9,375,361,362.6,1783700,362.25
2015-03-05,363.65,365.95,353.3,354.9,1808200,354.56
2015-03-06,354.9,354.9,354.9,354.9,0,354.56
2015-03-09,352,353.95,338.5,342.75,2908500,342.42
2015-03-10,346.4,350.85,339,343.7,2645000,343.37
2015-03-11,344,346.9,336.35,339.65,1854800,339.32
2015-03-12,344.7,346.5,342.9,344,1750100,343.67
2015-03-13,344.9,345.5,335.55,337.6,2835300,337.27
2015-03-16,340.2,342,334,338.95,1262100,338.62
2015-03-17,341.1,347.25,340.15,345.8,1775700,345.47
2015-03-18,345.45,345.45,338.2,339.9,1204800,339.57
2015-03-19,343.45,343.75,332.1,336.65,1461500,336.33
2015-03-20,333.95,335.6,326,327.35,1912600,327.03
2015-03-23,327.7,329.5,320.1,321.5,954500,321.19
2015-03-24,320.05,323.85,310.55,312.8,2083000,312.5
2015-03-25,316,317.8,312.05,316.15,2668800,315.85
2015-03-26,315,319.55,304.95,308.75,3682300,308.45
2015-03-27,309.2,318.7,305.45,316.5,1131200,316.2
2015-03-30,319.8,324.95,314.35,324.4,1032100,324.09
2015-03-31,325.8,338.85,321.65,331.55,2604100,331.23
2015-04-01,331.4,338.9,328.6,338.05,1664900,337.72
2015-04-02,338.05,338.05,338.05,338.05,0,337.72
2015-04-03,338.05,338.05,338.05,338.05,0,337.72
2015-04-06,339,344.4,337.3,341.45,929200,341.12
2015-04-07,341.9,345.85,339.65,342.95,2084900,342.62
2015-04-08,347,347.6,343.2,345.4,1109700,345.07
2015-04-09,345.6,346.8,339.75,343.4,1300100,343.07
2015-04-10,344,352.5,339.3,351.1,1272200,350.76
2015-04-13,352.95,356.45,347.2,354.65,1504100,354.31
2015-04-14,354.65,354.65,354.65,354.65,0,354.31
2015-04-15,354,354,341.7,344.15,1257200,343.82
2015-04-16,348,358,341,348.9,2580100,348.56
2015-04-17,349,349.5,338.5,340.5,1147000,340.17
2015-04-20,343.35,343.35,324.15,328.75,1500400,328.43
2015-04-21,330,333.35,325.1,327.65,763500,327.33
2015-04-22,328,329.9,319.65,328.1,972200,327.78
2015-04-23,331.8,331.8,318,319.15,2674400,318.84
2015-04-24,320.4,323,315,319.95,4296300,319.64
2015-04-27,321.65,323.2,311.5,315.95,1954600,315.65
2015-04-28,318,324.8,314.55,322.5,1864900,322.19
2015-04-29,323.8,323.8,315,318.45,2143100,318.14
2015-04-30,319.8,319.8,309,310.7,3497100,310.4
2015-05-01,310.7,310.7,310.7,310.7,0,310.4
2015-05-04,316.7,316.7,309.25,312.25,3325700,311.95
2015-05-05,313.9,317.4,310.7,315.75,1893100,315.45
2015-05-06,315,315,303.1,304.9,1475200,304.61
2015-05-07,301,305,290.3,295.1,1676200,294.82
2015-05-08,301,310.9,301,309.35,2461700,309.05
2015-05-11,313.35,324.15,311.8,322.75,2640000,322.44
2015-05-12,322.15,322.15,312.1,313.25,1718700,312.95
2015-05-13,315,319.45,311.1,317.85,1086300,317.54
2015-05-14,318.7,319,310,315,1271200,314.7
2015-05-15,317.8,318.1,312.6,313.85,1551600,313.55
2015-05-18,314.6,318.25,311.1,317.35,1724900,317.04
2015-05-19,316.8,316.8,312.2,313.65,854700,313.35
2015-05-20,315.8,316.05,308,309.9,2038000,309.6
2015-05-21,308.15,316.4,308.15,315.85,1006700,315.55
2015-05-22,316.45,318.8,314.05,315.35,1322300,315.05
2015-05-25,318.75,319.3,306.3,307.15,1154900,306.85
2015-05-26,307.9,310,301,308.4,1890300,308.1
2015-05-27,294,300.15,290,297.9,3146500,297.61
2015-05-28,299.8,304,297.4,298.95,1418300,298.66
2015-05-29,300,303.2,297.1,301.05,674000,300.76
2015-06-01,302.5,302.5,290,290.65,1726800,290.37
2015-06-02,292.5,294.9,285.9,286.8,1481400,286.52
2015-06-03,287.95,288.8,274.95,281.85,1985100,281.58
2015-06-04,282.9,284.85,275.75,282.15,1490800,281.88
2015-06-05,282.5,289.15,280.8,285.65,3365900,285.37
2015-06-08,284.9,284.9,278.7,280.1,1425300,279.83
2015-06-09,279.2,283,276.1,281.15,2106400,280.88
2015-06-10,281,286.1,279,281.9,1819900,281.63
2015-06-11,283.05,283.2,267.75,269.65,2514800,269.39
2015-06-12,267.6,268.5,260.65,266,2876600,265.74
2015-06-15,265.5,269.7,262.25,263.95,1940000,263.7
2015-06-16,265.6,272.55,263,269,1728400,268.74
2015-06-17,275,275.9,267.5,268.35,2507600,268.09
2015-06-18,271.25,274.2,268,272.55,2739000,272.29
2015-06-19,274.5,274.5,268,269.45,2309800,269.19
2015-06-22,272.7,275.75,271,273,2237700,272.74
2015-06-23,274.45,275.9,271.9,272.45,2070800,272.19
2015-06-24,272.95,273.75,268.9,270.25,1505700,269.99
2015-06-25,271.4,271.4,265,265.8,3144000,265.54
2015-06-26,266,270,266,268.6,1073700,268.34
2015-06-29,263.35,264.6,258.5,260.6,1596100,260.35
2015-06-30,260.5,261.65,255,260.7,2917500,260.45
2015-07-01,261.1,266.5,259,263.8,2511900,263.55
2015-07-02,268,268,259,260.05,1018200,259.8
2015-07-03,260.1,261.4,257.35,259.85,1412800,259.6
2015-07-06,256,257,251.25,254.9,1994300,254.65
2015-07-07,255.9,258.6,252,252.45,3442500,252.21
2015-07-08,250.45,250.45,237,239.45,3496300,239.22
2015-07-09,239,239.9,233.55,234.4,3186100,234.17
2015-07-10,238.1,240.7,236.3,238.55,2034400,238.32
2015-07-13,239.5,246.65,235.65,241.75,1770000,241.52
2015-07-14,243,243.5,228.05,232.1,2495600,231.88
2015-07-15,232.6,241,232.1,240.5,3075100,240.27
2015-07-16,242,242.9,235.55,236.25,2817200,236.02
2015-07-17,237.05,239.95,233.8,238.2,4270500,237.97
2015-07-20,240.05,240.3,233.25,234.9,2115700,234.67
2015-07-21,235,238.9,232.95,234.2,2725300,233.97
2015-07-22,233,241,233,240,2769100,239.77
2015-07-23,240.4,256.4,238.75,254.5,5514900,254.25
2015-07-24,255.2,256.95,245,245.55,3177300,245.31
2015-07-27,245.4,246.3,237.1,238.4,2362400,238.17
2015-07-28,239.4,240.5,233.5,237,2236000,236.77
2015-07-29,238.4,244,238.4,241.85,2047000,241.62
2015-07-30,244.35,251,243.5,249.8,2983700,249.56
2015-07-31,251,262.8,249.65,260.05,3252600,259.8
2015-08-03,261,265.3,257.35,261.85,3658800,261.6
2015-08-04,261.5,262.8,254.9,260.8,4053300,260.55
2015-08-05,262,268,259,260.35,2580100,260.1
2015-08-06,260.55,266,257,263.7,3372000,263.45
2015-08-07,265.5,272.45,264,267.85,4959000,267.59
2015-08-10,262.2,272.7,261.9,264.35,3235600,264.1
2015-08-11,264.95,266,248.9,249.95,4491400,249.71
2015-08-12,249.1,249.1,237.25,239,4200600,238.77
2015-08-13,241.2,244.95,231.1,235.25,3e+06,235.02
2015-08-14,240.25,247.4,234.5,244.8,1969400,244.56
2015-08-17,244.65,246,236.1,240.2,2175000,239.97
2015-08-18,241.85,247.5,241.5,243.55,1736600,243.32
2015-08-19,243.65,250.4,240.55,247.9,2724200,247.66
2015-08-20,247.55,247.55,240.2,243.1,2325100,242.87
2015-08-21,238,239.25,234.6,237.3,2078200,237.07
2015-08-24,226.4,231.7,213.65,219.25,6086100,219.04
2015-08-25,222.75,225.9,205.5,222.45,6621000,222.24
2015-08-26,225,233,217.4,226.1,4307600,225.88
2015-08-27,233.95,242.7,226.9,240.65,4746000,240.42
2015-08-28,243.1,247.55,239.7,245.5,2734800,245.26
2015-08-31,243.1,247.5,236.25,237.75,1888600,237.52
2015-09-01,232.7,232.8,222,223.4,3315800,223.18
2015-09-02,224,226.65,218.55,220.3,2198200,220.09
2015-09-03,223,245.7,223,234.95,4868200,234.72
2015-09-04,233.75,233.75,221.1,223.8,3606500,223.58
2015-09-07,227.7,232.4,222.15,223.4,2371300,223.18
2015-09-08,226.4,236.2,219.45,235.05,2941200,234.82
2015-09-09,239.5,245.45,235.25,239.45,2483700,239.22
2015-09-10,234.3,247,230.1,245.45,2192700,245.21
2015-09-11,247.45,250.5,240.1,242.35,1695000,242.12
2015-09-14,243.65,249.65,240.8,248.65,2591700,248.41
