"Date","TATAPOWER.NS.Open","TATAPOWER.NS.High","TATAPOWER.NS.Low","TATAPOWER.NS.Close","TATAPOWER.NS.Volume","TATAPOWER.NS.Adjusted"
2015-01-01,82.2,82.65,81.95,82.15,938300,77.94676
2015-01-02,82.25,83.75,82.25,83.35,2387900,79.08536
2015-01-05,84.1,84.6,82.7,82.85,1932000,78.61095
2015-01-06,82,82.3,79.5,79.65,3509100,75.57468
2015-01-07,79.5,80.2,78,78.25,6050700,74.24631
2015-01-08,78.8,80.4,78.8,80,2131800,75.90677
2015-01-09,80.8,80.8,79,79.8,1628200,75.717
2015-01-12,79.65,80.55,79.1,80.3,1152500,76.19142
2015-01-13,80.1,80.5,78.8,79.1,1239600,75.05282
2015-01-14,79.2,79.5,78.2,78.85,1698700,74.81561
2015-01-15,80,82.5,79.8,81.7,3779400,77.51978
2015-01-16,81.4,83,81.1,82.7,3751600,78.46862
2015-01-19,82.5,83.65,82.4,82.8,1681800,78.56351
2015-01-20,82.85,83.65,81.6,82.1,2328200,77.89932
2015-01-21,82.2,83.65,81.5,83.4,3908400,79.13281
2015-01-22,83.5,83.75,82.65,83.3,1743100,79.03792
2015-01-23,83.9,90.85,82.8,88.85,7726000,84.30395
2015-01-26,88.85,88.85,88.85,88.85,0,84.30395
2015-01-27,89.4,91.2,88.25,89,6022700,84.44628
2015-01-28,89,90.3,87.5,88,4184600,83.49744
2015-01-29,87.95,88.8,86.5,88.15,6091400,83.63977
2015-01-30,88.35,91.55,87.8,90.5,4689800,85.86953
2015-02-02,91.2,92.45,89.3,91.15,5228600,86.48628
2015-02-03,91.45,92,86.9,87.35,3239100,82.8807
2015-02-04,88.1,92,87.8,90.1,8146500,85.49
2015-02-05,91,91.1,82.35,83.3,8635900,79.03792
2015-02-06,83.3,84.45,80.55,82.1,6246000,77.89932
2015-02-09,80.5,80.9,78.45,80.05,6683100,75.95421
2015-02-10,78.3,82.2,77.95,81.3,6072900,77.14026
2015-02-11,81.8,82.7,81.5,82.15,1923400,77.94676
2015-02-12,82.1,84.4,81.8,83.9,2829200,79.60722
2015-02-13,84.5,84.65,83.15,84.4,2601900,80.08164
2015-02-16,84.3,85,83.4,84.1,1912800,79.79699
2015-02-17,84.1,84.1,84.1,84.1,0,79.79699
2015-02-18,84.4,86.8,84,86.25,2950000,81.83698
2015-02-19,86.7,88.8,83.5,88.3,3956300,83.7821
2015-02-20,88.3,88.65,85.45,85.95,3317300,81.55233
2015-02-23,86.45,87.8,84.4,84.95,4082800,80.6035
2015-02-24,85.25,86.1,83.25,84.45,4198800,80.12908
2015-02-25,84.85,85.7,82.6,83,2045300,78.75327
2015-02-26,82.8,83.65,81.2,82.7,4020000,78.46862
2015-02-27,84.6,87.9,84.5,87.3,7855200,82.83326
2015-03-02,86.5,87.4,85.1,86.25,3162200,81.83698
2015-03-03,86.4,87.8,85,87.25,2803200,82.78582
2015-03-04,88,88.3,83.8,84.35,2752000,80.0342
2015-03-05,84.35,85.9,84,85.3,2394000,80.93559
2015-03-06,85.3,85.3,85.3,85.3,0,80.93559
2015-03-09,84.55,84.85,82,82.25,2210800,78.04165
2015-03-10,82.75,83.2,80.85,81.1,2361600,76.95048
2015-03-11,81.8,82.15,80.55,80.85,3338100,76.71328
2015-03-12,81.25,82.4,81.2,81.45,3011000,77.28258
2015-03-13,82.7,82.7,79.4,79.7,3689600,75.62211
2015-03-16,80.7,81.45,79.5,81,3030100,76.8556
2015-03-17,81.65,81.8,80.05,80.55,2387300,76.42863
2015-03-18,80.15,82.1,78.85,80.35,5906400,76.23886
2015-03-19,80.95,81.75,79.5,79.8,2905700,75.717
2015-03-20,80,80.4,78.65,78.95,2398900,74.91049
2015-03-23,79.5,79.6,78.35,78.75,2500700,74.72072
2015-03-24,78.55,79.45,78.15,78.35,2560000,74.34119
2015-03-25,78.9,78.9,77.25,77.35,1892900,73.39235
2015-03-26,77.5,78.25,76,76.2,4567800,72.30119
2015-03-27,76.95,76.95,74,74.9,3761100,71.06771
2015-03-30,75.6,75.85,73.55,74.35,4614800,70.54585
2015-03-31,75.3,77.5,74.9,77.1,6840700,73.15515
2015-04-01,77.05,77.9,76.7,77.5,2798200,73.53468
2015-04-02,77.5,77.5,77.5,77.5,0,73.53468
2015-04-03,77.5,77.5,77.5,77.5,0,73.53468
2015-04-06,78,78.3,76.1,77.25,4749500,73.29747
2015-04-07,77.8,79,77.2,78.4,2546400,74.38863
2015-04-08,78.9,79,77.15,77.35,2227200,73.39235
2015-04-09,77.8,78.6,77.35,78.35,1948400,74.34119
2015-04-10,78.5,79.6,78,78.9,1930700,74.86305
2015-04-13,79.2,80.45,78.9,80.15,2412200,76.04909
2015-04-14,80.15,80.15,80.15,80.15,0,76.04909
2015-04-15,80.5,82.35,79.4,81.2,4619500,77.04537
2015-04-16,81.2,81.3,79.35,80.2,1788900,76.09653
2015-04-17,80,81.5,79.25,80.45,1602700,76.33374
2015-04-20,80.4,81.05,78.45,78.75,1983800,74.72072
2015-04-21,78.5,79.4,77.15,77.5,2395200,73.53468
2015-04-22,77.6,79.45,76.55,78.65,3366100,74.62584
2015-04-23,79.8,80.35,78.6,79.25,2348400,75.19514
2015-04-24,79.3,79.35,77.6,78.1,1487500,74.10398
2015-04-27,78.5,79.2,77.4,77.6,2222300,73.62956
2015-04-28,77.4,78.6,76.55,77.9,2494500,73.91422
2015-04-29,77.9,78.15,77.15,77.45,1615100,73.48724
2015-04-30,77.45,77.95,74.4,75.8,6036100,71.92167
2015-05-01,75.8,75.8,75.8,75.8,0,71.92167
2015-05-04,76.3,77.7,76.25,77.3,1665800,73.34492
2015-05-05,77.2,77.35,76,76.1,1528100,72.20631
2015-05-06,76,76.15,73.1,73.45,4113300,69.6919
2015-05-07,73.4,73.65,70.55,71.7,5413300,68.03144
2015-05-08,72.7,74.2,72.35,73.2,3156900,69.45469
2015-05-11,73.9,74.8,73.25,74.3,1887500,70.49841
2015-05-12,74.7,74.7,71.2,71.5,3909100,67.84167
2015-05-13,72,73.65,71.4,73.4,2948800,69.64446
2015-05-14,73.9,74,72.75,73.55,2013400,69.78679
2015-05-15,73.95,74.3,72.55,73,1709300,69.26493
2015-05-18,73.45,75.5,72.5,75.25,2663700,71.3998
2015-05-19,75.7,76.9,74.5,75.85,8089400,71.9691
2015-05-20,79.5,79.6,76.75,77.05,9937900,73.10771
2015-05-21,77.5,77.6,75.75,76.2,2586300,72.30119
2015-05-22,76.25,76.85,75.55,75.95,1980800,72.06398
2015-05-25,75.7,75.75,74.45,74.8,3492500,70.97283
2015-05-26,75.05,75.3,74.5,75.1,1557900,71.25748
2015-05-27,74.6,76,74.4,75.85,2333700,71.9691
2015-05-28,75.4,76.05,73.7,74.1,6131000,70.30864
2015-05-29,74.15,75.35,73.75,74.55,8196900,70.73562
2015-06-01,75.05,76.35,74.1,76.1,2732100,72.20631
2015-06-02,75.6,76.2,74.5,75.05,2958300,71.21004
2015-06-03,74.85,74.85,69,70.85,6074300,67.22493
2015-06-04,70.8,70.9,68.35,70.15,4884200,66.56075
2015-06-05,70.1,71.4,69.15,70.65,2612900,67.03517
2015-06-08,70.7,71.9,70.3,71.4,2485500,67.74679
2015-06-09,71.35,72.65,70.35,72.35,2864200,68.64818
2015-06-10,72.9,74.6,72.65,73.85,4019500,70.07143
2015-06-11,74,74.55,69.4,70,5389400,66.41842
2015-06-12,70,73,69.7,72.65,4929700,68.93283
2015-06-15,72.95,73.7,71.2,72.05,5738300,68.36354
2015-06-16,72,74.5,71.6,74.1,4089600,70.30864
2015-06-17,74.1,74.15,72.5,72.75,2194300,69.02772
2015-06-18,72.6,73.5,71.9,73.1,2860800,69.35981
2015-06-19,73.1,73.55,72.1,72.3,3897900,68.60074
2015-06-22,72.5,74.75,71.55,74.5,2835200,70.68818
2015-06-23,74,74.7,73.1,74.15,3045700,70.35609
2015-06-24,74,74.95,73.25,73.8,1408400,70.024
2015-06-25,73.1,75.8,72.8,75,4048200,71.16259
