"Date","TATASTEEL.NS.Open","TATASTEEL.NS.High","TATASTEEL.NS.Low","TATASTEEL.NS.Close","TATASTEEL.NS.Volume","TATASTEEL.NS.Adjusted"
2015-01-01,397.1,406,397.1,404.45,2531400,384.2528
2015-01-02,406,413,406,410.75,3433900,390.2382
2015-01-05,413,421.45,413,416.7,5205600,395.8911
2015-01-06,414,414,394.35,396.5,6170600,376.6998
2015-01-07,397.8,397.8,383.6,388.9,4749000,369.4793
2015-01-08,394,396.7,390.6,394.95,3169900,375.2272
2015-01-09,402,404.9,395.1,399.65,5061000,379.6925
2015-01-12,399.5,399.5,393,396.75,2690900,376.9373
2015-01-13,397,398.85,390.2,391.5,3002700,371.9495
2015-01-14,391.45,391.45,375.5,376.85,7129500,358.0311
2015-01-15,378.8,388.7,372.1,384.75,7011300,365.5366
2015-01-16,382,385.5,376.3,383.4,4538500,364.254
2015-01-19,384.6,386.9,380.55,384.75,2789800,365.5366
2015-01-20,385.6,403.6,385.6,402,6017800,381.9251
2015-01-21,405,406,393.5,397.1,3897700,377.2698
2015-01-22,398,404.7,396,403.4,4527700,383.2552
2015-01-23,410,412,399,403.1,4526500,382.9702
2015-01-26,403.1,403.1,403.1,403.1,0,382.9702
2015-01-27,402.8,404,395.5,398.4,3972300,378.5049
2015-01-28,397,397,388.9,391.15,3995400,371.6169
2015-01-29,390.3,392.4,383.7,390.4,5162900,370.9044
2015-01-30,392.5,395,386.5,390.45,3600800,370.9519
2015-02-02,389.9,394.8,382.2,383.85,3179000,364.6815
2015-02-03,387,387.45,378.1,381.1,3443600,362.0688
2015-02-04,383.9,393.4,383,389.2,4420500,369.7643
2015-02-05,391.7,392.8,378.05,379.25,3102100,360.3112
2015-02-06,380,380.7,367,368.65,4519400,350.2405
2015-02-09,357,361.5,346.2,347.45,7535700,330.0992
2015-02-10,345,360,345,357.75,5281200,339.8849
2015-02-11,360,368.7,353,365,3956600,346.7728
2015-02-12,366.2,367.4,356,365.3,3415600,347.0578
2015-02-13,368.7,371.8,365.25,366.55,3736400,348.2454
2015-02-16,368.75,374.45,368.35,369.8,2991300,351.3331
2015-02-17,369.8,369.8,369.8,369.8,0,351.3331
2015-02-18,371.95,371.95,364.7,367.5,3232600,349.148
2015-02-19,368,379.8,368,375.25,7752600,356.511
2015-02-20,378,381.85,373,374.7,3442400,355.9884
2015-02-23,376.5,376.9,365,367.35,3085100,349.0055
2015-02-24,368.1,370,357.2,359.1,3288100,341.1675
2015-02-25,362.8,364.8,350.1,350.9,3932300,333.3769
2015-02-26,352.3,354.9,344.25,345.2,8064300,327.9616
2015-02-27,347.45,354.7,345.8,350.65,5014600,333.1394
2015-03-02,357.4,359.2,349,352.55,4380300,334.9445
2015-03-03,353,357.85,349.5,353.15,5121100,335.5146
2015-03-04,356,357.15,345.6,348.15,4673300,330.7643
2015-03-05,348.5,349.2,341.25,343.25,4770100,326.109
2015-03-06,343.25,343.25,343.25,343.25,0,326.109
2015-03-09,343.25,343.7,335,336.3,4368700,319.506
2015-03-10,338.15,339,330.05,331.6,4091800,315.0407
2015-03-11,333,335,324.25,325.3,4682200,309.0553
2015-03-12,327.7,336.4,327.45,333.2,4324500,316.5608
2015-03-13,336,336.45,325,326.5,3279600,310.1954
2015-03-16,328.85,328.85,323.1,326.2,2777100,309.9104
2015-03-17,330,336.45,327.1,332.55,4329000,315.9433
2015-03-18,335.7,335.7,329.35,331.75,3099600,315.1832
