"Date","TECHM.NS.Open","TECHM.NS.High","TECHM.NS.Low","TECHM.NS.Close","TECHM.NS.Volume","TECHM.NS.Adjusted"
2015-01-01,1294.5,1306.724,1290.376,1297.276,489300,633.3819
2015-01-02,1293.5,1309.5,1293.5,1303.624,1025200,636.4813
2015-01-05,1300,1309.85,1277.5,1281.876,770800,625.863
2015-01-06,1277.526,1284.5,1257.676,1268.124,1959900,619.1488
2015-01-07,1272.5,1287.4,1256.6,1262.2,1331500,616.2564
2015-01-08,1264,1289.95,1264,1283.324,1760900,626.57
2015-01-09,1284,1344.95,1284,1340.176,3004000,654.3274
2015-01-12,1348.5,1379.5,1342.5,1377,3457000,672.3064
2015-01-13,1382,1386.1,1367.5,1380.55,3020500,674.0396
2015-01-14,1382,1397.974,1375.75,1395.776,1642200,681.4736
2015-01-15,1398.526,1400,1383.55,1390.9,2348000,679.0929
2015-01-16,1392.5,1409.974,1385.3,1408.474,3840900,687.6732
2015-01-19,1407.5,1410,1391.55,1400.124,1066200,683.5964
2015-01-20,1397.526,1409.974,1397.526,1400.9,1248000,683.9753
2015-01-21,1400.5,1407.95,1393.9,1398.25,2102300,682.6815
2015-01-22,1398.35,1402.5,1374.5,1379.05,2468900,673.3073
2015-01-23,1385.426,1402,1380,1390.376,1997500,678.837
2015-01-26,1390.376,1390.376,1390.376,1390.376,0,678.837
2015-01-27,1389.926,1409.95,1380.25,1408.324,1976400,687.6
2015-01-28,1403.15,1442.5,1403.15,1436.676,2378600,701.4426
2015-01-29,1439,1465,1437.5,1452.2,3780100,709.022
2015-01-30,1465.5,1495.75,1418.574,1434.25,4703800,700.2581
2015-02-02,1486,1497.55,1436.074,1447.526,7806000,706.74
2015-02-03,1459.5,1462.5,1435,1459.574,2436900,712.6223
2015-02-04,1462.5,1462.5,1420.05,1426.124,1751400,696.2907
2015-02-05,1425.55,1450.474,1422.5,1433.876,1602700,700.0755
2015-02-06,1435,1460.474,1424.974,1430.176,1711200,698.269
2015-02-09,1420,1437,1405.55,1410.224,1355900,688.5276
2015-02-10,1402.5,1403.3,1374.25,1381.25,2848300,674.3814
2015-02-11,1385,1429,1384.926,1420.876,2885200,693.7284
2015-02-12,1430,1457.5,1422.8,1454.65,1398900,710.2182
2015-02-13,1460,1461.2,1441.15,1443.276,1367400,704.665
2015-02-16,1447.5,1473.974,1445.876,1449.776,1739300,707.8385
2015-02-17,1449.776,1449.776,1449.776,1449.776,0,707.8385
2015-02-18,1439.5,1457.5,1428.5,1446.124,4645900,706.0555
2015-02-19,1450,1450,1412.55,1415.074,2996600,690.8956
2015-02-20,1405,1413.176,1397.124,1405.1,1555600,686.0259
2015-02-23,1405,1421,1381.15,1389.376,2152500,678.3488
2015-02-24,1395.026,1404.026,1390.5,1395.65,1746300,681.412
2015-02-25,1402.5,1404,1376.1,1381.276,2624300,674.3941
2015-02-26,1387.4,1387.4,1370,1374.05,4260400,670.8661
2015-02-27,1376.474,1425,1370.85,1417.876,2109400,692.2636
2015-03-02,1439.4,1447.5,1424.426,1430.026,1640100,698.1958
2015-03-03,1441,1456.8,1417.526,1454.25,2013800,710.0229
2015-03-04,1455,1469.5,1432.8,1439.75,2200500,702.9434
2015-03-05,1440,1456.4,1425.55,1439.074,1725000,702.6134
2015-03-06,1439.074,1439.074,1439.074,1439.074,0,702.6134
2015-03-09,1431,1431,1390.5,1405.676,2569900,686.3071
2015-03-10,1376.724,1423,1376.724,1419.9,2513200,693.2519
2015-03-11,1420.05,1471.876,1407.5,1460.824,5020000,713.2326
2015-03-12,1469.176,1470.026,1426.124,1428.5,4443600,697.4507
2015-03-13,719.5,719.5,702,704.6,2839900,344.0138
2015-03-16,709.5,710.112,703.75,706.987,4702000,345.1793
2015-03-17,711,720.45,707.725,715.725,5144000,349.4455
2015-03-18,718.5,720,697.5,700.125,15227500,341.829
2015-03-19,695,700.9,685,687.15,5621800,670.9881
2015-03-20,688.95,690,673,678.3,3616000,662.3463
2015-03-23,684,685.45,650.2,656.8,3672300,641.3519
2015-03-24,661,667.5,652,659.65,3793800,644.1349
2015-03-25,663,663,651,656.35,3053400,640.9125
2015-03-26,656,665,648.15,651.15,3774300,635.8349
2015-03-27,654,661.4,639,645.9,3223100,630.7083
