"Date","TITAN.NS.Open","TITAN.NS.High","TITAN.NS.Low","TITAN.NS.Close","TITAN.NS.Volume","TITAN.NS.Adjusted"
2015-01-01,381.3,382.55,377.8,379.8,269700,374.8824
2015-01-02,379.8,388.5,379.8,382.8,623900,377.8435
2015-01-05,384,389.6,382.8,385.9,551500,380.9034
2015-01-06,382.2,383.4,369.2,372.7,519100,367.8743
2015-01-07,372.9,377.4,370,374.6,397300,369.7497
2015-01-08,380,380,368.75,372.9,672500,368.0717
2015-01-09,376,376.9,369.4,372.9,985900,368.0717
2015-01-12,373.25,378.5,370.6,376.8,344300,371.9212
2015-01-13,375.85,384,370.8,372.2,715000,367.3808
2015-01-14,373.05,376.95,369,371.6,404000,366.7886
2015-01-15,373.7,379,369.7,375.9,648100,371.0329
2015-01-16,380,394,376.95,387.2,1387000,382.1866
2015-01-19,389.2,395.5,389.2,394.5,913300,389.392
2015-01-20,397,398.9,390.45,393.6,603200,388.5037
2015-01-21,394.6,408.55,390.45,406.95,1885600,401.6809
2015-01-22,407,409.2,393.1,399.75,785700,394.5741
2015-01-23,403.15,405.45,394,398.85,709200,393.6857
2015-01-26,398.85,398.85,398.85,398.85,0,393.6857
2015-01-27,399,407,393.25,400.65,1306800,395.4624
2015-01-28,409.4,437.8,404,433.25,6282100,427.6403
2015-01-29,427.8,444,425.65,441.8,3488500,436.0796
2015-01-30,441.95,442.85,428.75,430.6,970700,425.0246
2015-02-02,430,437.8,427.35,433.2,1106800,427.591
2015-02-03,435.9,448.4,430.55,432.3,2245300,426.7026
2015-02-04,434.5,443.95,427,430.05,1392000,424.4817
2015-02-05,431.9,431.9,413.35,417.8,1040000,412.3903
2015-02-06,425.9,427,409.1,416.7,1116200,411.3046
2015-02-09,409.1,421.6,409.1,412.25,813000,406.9122
2015-02-10,409.85,430.6,409.8,425.2,1092600,419.6946
2015-02-11,428.3,433.75,423.1,426.25,1113400,420.731
2015-02-12,429,433.9,423.5,425.75,1131400,420.2374
2015-02-13,427.5,432,423.65,426.7,935000,421.1751
2015-02-16,432.4,432.4,414.95,417.5,842700,412.0942
2015-02-17,417.5,417.5,417.5,417.5,0,412.0942
2015-02-18,419.15,432.5,416.3,429.75,1093700,424.1856
2015-02-19,434.85,442.7,430.8,432.75,1517000,427.1468
2015-02-20,434,439,422.5,435.35,1033900,429.7131
2015-02-23,435.3,435.35,418,419.75,1004900,414.3151
2015-02-24,421.25,426.45,418,422.45,748800,416.9802
2015-02-25,424.4,428,418.5,422.25,788000,416.7827
2015-02-26,423.9,426,416.1,423.6,726000,418.1153
2015-02-27,425.1,436.75,421.3,435.35,826500,429.7131
2015-03-02,420.7,420.75,408.15,412.5,1124300,407.159
2015-03-03,412.6,421.8,410.45,415.9,719500,410.515
2015-03-04,424.7,424.7,409.5,411.4,655400,406.0732
2015-03-05,412,415.65,400.3,405.75,959100,400.4964
2015-03-06,405.75,405.75,405.75,405.75,0,400.4964
2015-03-09,404,405.7,395.2,399.7,648400,394.5247
2015-03-10,402.4,407.3,399.7,405.4,657200,400.1509
2015-03-11,408.7,408.7,398,399.85,410700,394.6728
2015-03-12,401.5,406.7,400.25,404.6,349900,399.3613
2015-03-13,406,407.55,397.2,398.75,428500,393.587
2015-03-16,399.8,400,391.7,397.6,399200,392.4519
2015-03-17,399,405.75,395.8,404.45,562400,399.2132
2015-03-18,406.95,406.95,400,401.8,309000,396.5975
2015-03-19,403.95,414.7,400.2,404.8,1023100,399.5587
2015-03-20,405.6,407.8,390.8,392.7,461600,387.6154
2015-03-23,394.5,396.6,385,390.85,498800,385.7893
2015-03-24,391.05,396,385.55,387.25,408200,382.2359
2015-03-25,388.1,393.95,385,390.45,636100,385.3945
2015-03-26,390,393.7,385,389.75,1419100,384.7035
2015-03-27,389.65,395.6,385,392.85,670000,387.7634
2015-03-30,395,397.45,387.15,391.35,420500,386.2828
2015-03-31,392.85,397.95,390.55,391.6,438400,386.5296
2015-04-01,391.4,394.25,387.35,390.4,452800,385.3451
2015-04-02,390.4,390.4,390.4,390.4,0,385.3451
2015-04-03,390.4,390.4,390.4,390.4,0,385.3451
2015-04-06,395,404.4,391,403.6,904600,398.3742
2015-04-07,404.5,410.7,401.5,406.6,636100,401.3354
2015-04-08,407.6,411.4,404.5,407.45,534900,402.1744
2015-04-09,410,410,398.15,399.95,756900,394.7715
2015-04-10,399.7,406.55,399.05,400.55,969300,395.3637
2015-04-13,401,418.45,401,414.85,1399600,409.4786
2015-04-14,414.85,414.85,414.85,414.85,0,409.4786
2015-04-15,415,422.6,406.1,411.35,947000,406.0239
2015-04-16,411.35,417.5,396.65,406.25,884600,400.9899
2015-04-17,403,407.95,393.25,395.05,603500,389.9349
2015-04-20,396,403.8,392.05,394.95,934600,389.8362
2015-04-21,401,401.4,388.75,392.25,657200,387.1712
2015-04-22,393.4,397.5,389.2,396.1,517300,390.9713
2015-04-23,398.1,404.65,392,403.45,743100,398.2262
2015-04-24,405,405.5,390,395.9,738900,390.7739
2015-04-27,398.7,398.7,383,386.5,947600,381.4956
2015-04-28,386,390.55,382,386.15,612800,381.1502
2015-04-29,387.9,388.6,380,381.85,866400,376.9058
2015-04-30,380.4,386.85,379.95,382.8,2267700,377.8435
2015-05-01,382.8,382.8,382.8,382.8,0,377.8435
2015-05-04,384.8,394.25,382.25,385.25,462900,380.2618
2015-05-05,386.1,388.7,380.25,384.4,593400,379.4228
2015-05-06,382.65,386,368,383.4,1719700,378.4358
2015-05-07,383.9,385.8,365.25,369.55,1729000,364.7651
2015-05-08,340,357.7,334.35,353.6,5691300,349.0216
2015-05-11,352,371.4,346.2,367.65,1343500,362.8897
2015-05-12,369.45,369.45,356,362.75,901900,358.0531
2015-05-13,362.2,369,357.95,367.4,837800,362.6429
2015-05-14,363.55,366,360.1,362.9,527000,358.2012
2015-05-15,363.1,371,363.1,367.95,557100,363.1858
2015-05-18,367.75,379.9,365.05,378.75,796600,373.846
2015-05-19,378.75,381.9,373.6,379.55,711600,374.6356
2015-05-20,381,383.8,375,376.15,476800,371.2796
2015-05-21,372.6,381,372.6,376,351900,371.1316
2015-05-22,374.15,378.45,369,370.45,438600,365.6535
2015-05-25,367.05,372.5,364.65,371,406300,366.1963
2015-05-26,373,373.6,366.5,370.6,251000,365.8015
2015-05-27,368.05,375.5,366.9,372.2,215400,367.3808
2015-05-28,375,385.8,365.5,380.25,1467500,375.3266
2015-05-29,381,381,372.2,378.3,312500,373.4018
2015-06-01,375.1,379.6,373.05,376.3,232900,371.4277
2015-06-02,378.45,378.45,367.2,368.95,322800,364.1729
2015-06-03,369.9,370.95,355.5,367.65,407700,362.8897
2015-06-04,365.85,366.6,355.9,361.5,331400,356.8193
2015-06-05,357.55,370.85,354.25,363.75,513100,359.0402
2015-06-08,364.5,366.3,351.2,352.95,275200,348.38
2015-06-09,350.05,360.9,350.05,359.55,400600,354.8946
2015-06-10,359.25,366.5,359,364.7,423100,359.9779
2015-06-11,365.3,368,351.95,353.7,402800,349.1203
2015-06-12,353.45,356,345.1,347.95,306200,343.4448
2015-06-15,345,352.35,343,344.25,502000,339.7927
2015-06-16,346,349.65,337.5,347.15,794300,342.6551
2015-06-17,349.9,355.5,345.2,353.95,554000,349.3671
2015-06-18,353.15,360.5,350.1,358.8,375900,354.1543
2015-06-19,360.65,361.2,352.2,358.2,499400,353.5621
2015-06-22,357.35,368.9,356,366.25,503100,361.5078
2015-06-23,367.8,368,355.85,357.25,581200,352.6244
2015-06-24,357.6,361.9,354.05,356.6,1036000,351.9828
2015-06-25,353,355.95,348.95,352.85,2374800,348.2813
2015-06-26,352.9,361.5,350.25,360.15,972300,355.4868
2015-06-29,354.65,360,350.15,358.85,521300,354.2036
2015-06-30,358.85,370.25,355.1,366.3,928000,361.5572
2015-07-01,365,366.95,360.55,361.9,581400,357.2141
2015-07-02,362.25,363.25,352.35,355.25,1301400,350.6503
2015-07-03,349.5,359.5,349.5,357.3,640900,352.6737
2015-07-06,352.05,357.95,352,355.85,606900,351.2425
2015-07-07,356,362.95,355.6,361.05,622800,356.3751
2015-07-08,356.1,360,351.25,354.95,743100,350.3541
2015-07-09,355.45,361.9,354,359.7,492700,355.0426
2015-07-10,360.2,364.45,354.45,355.8,675600,351.1931
2015-07-13,356.5,358.5,352.4,357.3,349900,352.6737
2015-07-14,357.8,363.65,356,359.85,483200,355.1907
2015-07-15,358.7,358.7,348.35,350.75,597100,346.2085
2015-07-16,350,353.85,348.5,350.65,330300,346.1098
2015-07-17,348.5,353.6,347.1,348.95,557500,346.706
2015-07-20,349,351.3,344,345.15,808200,342.9304
2015-07-21,346,346.9,338.05,339.75,475000,337.5651
2015-07-22,339,340,333.35,338,810000,335.8264
2015-07-23,339,345,335.3,337.05,672600,334.8825
2015-07-24,337,343.9,335.35,340.1,709900,337.9129
2015-07-27,339.5,341.35,331.2,335.9,487300,333.7399
2015-07-28,336.5,344.9,336.5,341.1,1107000,338.9064
2015-07-29,342.85,343.75,333.3,338.55,801900,336.3728
2015-07-30,338.5,345.25,336,338.8,1117600,336.6212
2015-07-31,339,341.6,320.35,323.65,3631800,321.5686
2015-08-03,323,324,315.45,317.25,2457600,315.2098
2015-08-04,317.7,319.4,314.5,315.95,1300100,313.9182
2015-08-05,316.95,322.85,316.05,320.5,1990500,318.4389
2015-08-06,324.45,328.75,321,327.75,1355000,325.6423
2015-08-07,328,335.15,324.5,334,1020300,331.8521
2015-08-10,334.45,334.5,328,329.35,527200,327.232
2015-08-11,330.5,338,323.1,328.4,1135500,326.2881
2015-08-12,327.9,334,323.2,330.1,628700,327.9772
2015-08-13,331.2,338.6,320.6,328.15,1800100,326.0397
2015-08-14,331.9,337,326,335.05,349400,332.8953
2015-08-17,336.1,340,330.15,336.6,590900,334.4354
2015-08-18,338,338.6,331.6,336.15,219000,333.9883
2015-08-19,335.85,342.9,334.25,340.45,336300,338.2606
2015-08-20,344.6,345.8,338.35,341.2,758800,339.0058
2015-08-21,338.1,345.5,334.1,344.3,603100,342.0858
2015-08-24,334.5,338.85,328.55,332.6,802600,330.4611
2015-08-25,335.05,337.7,321.5,327,635400,324.8971
2015-08-26,328,333.1,320.5,324.75,795800,322.6616
2015-08-27,320,353.1,320,347.05,3735000,344.8182
2015-08-28,346.1,348,338.4,341.6,742500,339.4032
2015-08-31,341.9,345,336.15,337.8,561900,335.6276
2015-09-01,335.75,339.3,328,334.95,423200,332.796
2015-09-02,336,336,321.1,323.1,909000,321.0222
2015-09-03,324.85,330,323,327.2,351600,325.0958
2015-09-04,327.75,334.4,318.35,332.95,854700,330.8089
2015-09-07,333,337.7,329.1,332.4,366500,330.2624
2015-09-08,333.1,334.95,316.05,322,842500,319.9293
2015-09-09,325.25,332.5,324.35,330.55,903800,328.4243
2015-09-10,326.35,329.8,321.25,325.95,756900,323.8539
2015-09-11,326.25,331,325.15,326.45,481700,324.3507
2015-09-14,329.9,331,325.2,329,324400,326.8842
2015-09-15,331,331,323,326,231800,323.9035
2015-09-16,330.1,331.25,326.4,327.75,179100,325.6423
2015-09-17,327.75,327.75,327.75,327.75,0,325.6423
2015-09-18,326.3,329.8,319.65,321.9,1000300,319.8299
2015-09-21,320,323.4,317.3,318.7,430000,316.6505
2015-09-22,319.5,323.65,316.3,318.85,457800,316.7995
2015-09-23,317,321.5,311.2,319.9,635500,317.8428
2015-09-24,319.45,326.9,318,324.85,1692800,322.7609
2015-09-25,324.85,324.85,324.85,324.85,0,322.7609
