"Date","TORNTPHARM.NS.Open","TORNTPHARM.NS.High","TORNTPHARM.NS.Low","TORNTPHARM.NS.Close","TORNTPHARM.NS.Volume","TORNTPHARM.NS.Adjusted"
2015-01-01,1125,1149.9,1115.1,1145.5,38400,1095.623
2015-01-02,1145,1203,1138,1192.5,77400,1140.577
2015-01-05,1185,1205,1178.6,1187.2,41700,1135.507
2015-01-06,1179.95,1179.95,1123.3,1132.6,43200,1083.285
2015-01-07,1148,1150,1101.1,1126.55,58400,1077.498
2015-01-08,1148,1167,1139.05,1147.5,50700,1097.536
2015-01-09,1166.7,1189,1152.05,1184.35,81300,1132.782
2015-01-12,1191,1198.85,1078.7,1138.2,96500,1088.641
2015-01-13,1135,1178,1135,1147.95,124800,1097.966
2015-01-14,1150.1,1152.9,1120.25,1125.6,82900,1076.59
2015-01-15,1140,1153.05,1101.85,1116.05,55100,1067.455
2015-01-16,1122,1122,1092,1097.05,84600,1049.283
2015-01-19,1118.45,1124.8,1088,1111.75,85700,1063.343
2015-01-20,1116.1,1148.9,1116.1,1139.8,87800,1090.171
2015-01-21,1140,1147.95,1111,1122.25,40300,1073.385
2015-01-22,1122.1,1149,1115,1145.8,88100,1095.91
2015-01-23,1154.7,1154.7,1128,1143.25,45100,1093.471
2015-01-26,1143.25,1143.25,1143.25,1143.25,0,1093.471
2015-01-27,1135.05,1209,1135.05,1181.95,133900,1130.486
2015-01-28,1184.9,1223,1182,1211.95,134700,1159.18
2015-01-29,1180,1180,1100,1138.4,213000,1088.832
2015-01-30,1143.7,1150.5,1073.2,1099.7,233700,1051.817
2015-02-02,1100,1149.9,1100,1134.6,132700,1090.154
2015-02-03,1134.5,1140,1113.5,1135.3,74100,1090.827
2015-02-04,1145.8,1146.45,1095,1124.85,89800,1080.786
2015-02-05,1128.9,1138.9,1101.1,1107.1,52400,1063.732
2015-02-06,1107,1124.4,1070,1078.65,54800,1036.396
2015-02-09,1078.65,1133,1059.95,1101.2,69700,1058.063
2015-02-10,1086,1149.4,1077.05,1140.4,90200,1095.727
2015-02-11,1136,1155.6,1119.25,1142.9,34800,1098.129
2015-02-12,1150,1157.1,1132.8,1151.5,23500,1106.392
2015-02-13,1154.95,1166,1136,1148.9,27100,1103.894
2015-02-16,1146.35,1152,1126.2,1131.75,332200,1087.416
2015-02-17,1131.75,1131.75,1131.75,1131.75,0,1087.416
2015-02-18,1115.3,1159.05,1115.3,1144.85,50500,1100.003
2015-02-19,1142.5,1144.7,1111,1122.35,90200,1078.384
2015-02-20,1125.95,1141.4,1112.6,1118.75,27800,1074.925
2015-02-23,1120,1127.3,1110,1116.8,26200,1073.052
2015-02-24,1113.05,1120.35,1093.1,1100.8,38800,1057.678
2015-02-25,1100.15,1110.6,1097,1103.15,11900,1059.936
2015-02-26,1105.8,1105.8,1062.95,1070.95,41300,1028.998
2015-02-27,1067,1073.15,1030.1,1043.15,97500,1002.287
2015-03-02,1078,1078,1050,1058.65,47500,1017.18
2015-03-03,1060,1087.3,1055.05,1081.45,51600,1039.086
2015-03-04,1081.1,1128,1070.25,1094.2,69500,1051.337
2015-03-05,1098,1111,1077.4,1101.8,26500,1058.639
2015-03-06,1101.8,1101.8,1101.8,1101.8,0,1058.639
2015-03-09,1105.95,1126.9,1085,1091.65,45500,1048.887
2015-03-10,1090,1124,1082.6,1099.1,104600,1056.045
2015-03-11,1095,1106.35,1073,1078.75,70800,1036.492
2015-03-12,1084.6,1108,1084.6,1094.15,39000,1051.289
2015-03-13,1097.95,1103.9,1077.6,1088.8,46000,1046.149
2015-03-16,1093,1160,1093,1137.8,167400,1093.229
2015-03-17,1143,1164,1121,1134.75,147100,1090.298
2015-03-18,1139,1158.7,1121,1141.05,207600,1096.352
2015-03-19,1140.1,1172.85,1140.1,1145.95,87800,1101.06
2015-03-20,1153.5,1160.5,1122,1131.9,115900,1087.56
2015-03-23,1149,1152,1131,1138.95,65400,1094.334
2015-03-24,1140,1149,1111.35,1118.9,34400,1075.069
2015-03-25,1138.8,1150.5,1128,1148.55,116300,1103.558
2015-03-26,1155,1175,1125,1134.35,73000,1089.914
2015-03-27,1148.8,1153,1120.35,1138.25,25000,1093.661
2015-03-30,1132.1,1157.65,1131.35,1146.05,524800,1101.156
2015-03-31,1156,1166.5,1137,1158.6,100400,1113.214
2015-04-01,1173.95,1211,1163.9,1195.5,141100,1148.669
2015-04-02,1195.5,1195.5,1195.5,1195.5,0,1148.669
2015-04-03,1195.5,1195.5,1195.5,1195.5,0,1148.669
2015-04-06,1230.3,1260,1230.3,1243.15,168800,1194.452
2015-04-07,1250.9,1251,1220.55,1240.2,66400,1191.618
2015-04-08,1248,1283,1247.3,1262.75,114100,1213.284
2015-04-09,1260,1263.35,1215,1236.85,162400,1188.399
2015-04-10,1237,1248,1218.7,1244.3,51300,1195.557
2015-04-13,1252,1300,1252,1274.8,118700,1224.862
2015-04-14,1274.8,1274.8,1274.8,1274.8,0,1224.862
2015-04-15,1325,1333.7,1296.6,1303.7,136700,1252.63
2015-04-16,1308.5,1325,1261.4,1309.4,78600,1258.107
2015-04-17,1301,1319.95,1271.55,1281.25,56300,1231.06
2015-04-20,1284.5,1289,1219,1236,119900,1187.582
2015-04-21,1250,1250,1166,1174.55,76700,1128.539
2015-04-22,1184,1230.05,1166.95,1212.25,133000,1164.763
2015-04-23,1222,1242,1202.05,1213.75,119300,1166.204
2015-04-24,1205,1228.65,1179.1,1217.5,44000,1169.807
2015-04-27,1220.1,1231.05,1155.55,1169.95,58900,1124.12
2015-04-28,1161.8,1211,1135,1191.05,90300,1144.393
2015-04-29,1260,1322.95,1200,1215.5,298000,1167.885
2015-04-30,1234.8,1238.7,1180.05,1201.85,72000,1154.77
2015-05-01,1201.85,1201.85,1201.85,1201.85,0,1154.77
2015-05-04,1205,1220,1151,1171.6,246100,1125.705
2015-05-05,1152.5,1193.9,1152.5,1180.7,87500,1134.448
2015-05-06,1220,1220,1184.65,1199.8,289100,1152.8
