"Date","TORNTPOWER.NS.Open","TORNTPOWER.NS.High","TORNTPOWER.NS.Low","TORNTPOWER.NS.Close","TORNTPOWER.NS.Volume","TORNTPOWER.NS.Adjusted"
2015-01-01,159,162.3,157.75,158.65,585000,154.08
2015-01-02,159.1,166.4,159.1,161.95,1573300,157.28
2015-01-05,162.3,167.4,161.4,161.9,1106700,157.23
2015-01-06,161.1,163.9,158.5,160.4,821200,155.78
2015-01-07,161.05,162.6,157,160.4,395000,155.78
2015-01-08,162,166.85,162,164.8,860100,160.05
2015-01-09,165.9,170,163.2,164.3,961600,159.56
2015-01-12,164.95,169.9,163.8,167.95,1123200,163.11
2015-01-13,168.9,175.45,167.7,168.85,1399300,163.98
2015-01-14,168,170.3,165.5,167.15,477500,162.33
2015-01-15,169,169.9,164.8,165.5,407900,160.73
2015-01-16,165.1,167.15,163.1,164.3,652700,159.56
2015-01-19,165,169.4,165,167.7,677800,162.86
2015-01-20,167.5,173.65,167.5,170.35,1187900,165.44
2015-01-21,171.3,171.6,167.75,168.6,265600,163.74
2015-01-22,169.7,170.5,166.15,167.15,223100,162.33
2015-01-23,168.9,175.4,164.25,174.15,1157200,169.13
2015-01-26,174.15,174.15,174.15,174.15,0,169.13
2015-01-27,175.3,178.2,172.65,175.45,1333800,170.39
2015-01-28,174.2,178.5,172.1,173.45,629900,168.45
2015-01-29,173.8,175.8,169.5,170.55,498300,165.63
2015-01-30,171.95,174.4,170.5,171.75,378500,166.8
2015-02-02,180,181.85,174.4,174.95,1241000,169.91
2015-02-03,175.15,176.5,171.5,173.1,322500,168.11
2015-02-04,173.9,174.9,171.5,172.35,295500,167.38
2015-02-05,172.9,176,168.2,170.1,392900,165.2
2015-02-06,170.9,171.05,164.5,165.4,254700,160.63
2015-02-09,164,166.2,161.8,164.6,229200,159.85
2015-02-10,163.1,168.8,160.4,167.2,273100,162.38
2015-02-11,169,170.6,166.1,167.3,229100,162.48
2015-02-12,168.45,173,168.4,170.7,230500,165.78
2015-02-13,171.45,172.5,169.05,170.75,214300,165.83
2015-02-16,170.05,176,170.05,171.7,309700,166.75
2015-02-17,171.7,171.7,171.7,171.7,0,166.75
2015-02-18,172.9,174.4,171.25,172.4,197400,167.43
2015-02-19,172.1,177,169.15,175.2,447700,170.15
2015-02-20,175.2,176.4,171.1,171.7,200400,166.75
2015-02-23,173,175.5,170.9,172.75,238200,167.77
2015-02-24,173.4,178,169.8,176.1,485900,171.02
2015-02-25,177.85,179.4,173.25,174.1,265200,169.08
2015-02-26,173,174.8,169.1,169.85,185300,164.95
2015-02-27,171.05,173.45,170.85,171.55,382300,166.6
2015-03-02,170.95,172.4,167.25,170.4,269800,165.49
2015-03-03,170.5,171.9,168.05,169.6,370800,164.71
2015-03-04,170.8,171.45,166.95,167.5,566400,162.67
2015-03-05,167.9,170.45,166.1,168.8,187400,163.93
2015-03-06,168.8,168.8,168.8,168.8,0,163.93
2015-03-09,167.65,169.3,164.35,166.1,188000,161.31
2015-03-10,167.95,169.3,164.5,165.15,211300,160.39
2015-03-11,165.4,166.45,162.3,164,243000,159.27
2015-03-12,164.6,165,162,162.65,243500,157.96
2015-03-13,163.45,164.3,160.1,161.1,335800,156.45
2015-03-16,161,161.05,156,156.95,274900,152.42
2015-03-17,158.4,162.25,157.25,159.8,796200,155.19
2015-03-18,160,160.9,157.35,158.8,252700,154.22
2015-03-19,160,167.4,158.6,164.65,476900,159.9
2015-03-20,164.7,165.25,159,159.75,731500,155.14
2015-03-23,160,166.35,158.25,165.15,533200,160.39
2015-03-24,163.35,163.9,160.1,161.45,186000,156.79
2015-03-25,161.45,163.45,158.75,161.7,250300,157.04
2015-03-26,173,176.25,164.4,166.85,2593800,162.04
2015-03-27,167,167,159,162.05,283500,157.38
2015-03-30,163.65,164.8,160.3,161.4,192900,156.75
2015-03-31,162,165.5,161.5,163.55,252000,158.83
2015-04-01,164.8,166.7,161,161.9,1175700,157.23
2015-04-02,161.9,161.9,161.9,161.9,0,157.23
2015-04-03,161.9,161.9,161.9,161.9,0,157.23
2015-04-06,162.45,165.4,162.2,163.3,166600,158.59
2015-04-07,163.9,166.4,160.8,164.85,246600,160.1
2015-04-08,165.55,167.35,162.4,162.9,182500,158.2
2015-04-09,164.05,165.7,160.2,161.35,314700,156.7
