"Date","TV18BRDCST.NS.Open","TV18BRDCST.NS.High","TV18BRDCST.NS.Low","TV18BRDCST.NS.Close","TV18BRDCST.NS.Volume","TV18BRDCST.NS.Adjusted"
2015-01-01,30.6,31.5,30.45,31.15,3560400,31.15
2015-01-02,31.35,31.6,30.55,30.7,2712700,30.7
2015-01-05,30.95,31.4,30.1,31,2881200,31
2015-01-06,30.7,30.75,29.1,29.3,4837500,29.3
2015-01-07,29.35,29.7,28.8,29.15,2380300,29.15
2015-01-08,29.5,30.1,29.2,29.8,1976700,29.8
2015-01-09,30.45,30.45,28.95,29.3,4390200,29.3
2015-01-12,29.45,29.6,28.95,29.2,3259700,29.2
2015-01-13,29.35,30.4,29.15,29.3,5332800,29.3
2015-01-14,29.35,30.3,28.6,29.2,9842300,29.2
2015-01-15,29.7,29.7,28.7,29.05,3803500,29.05
2015-01-16,29.2,31.7,28.8,31.45,11455800,31.45
2015-01-19,31.4,33.4,31.4,33.1,9282900,33.1
2015-01-20,32.85,34.35,32.8,33.85,8544700,33.85
2015-01-21,33.85,35.7,33.05,35.25,15258000,35.25
2015-01-22,35.25,35.9,34.4,34.65,6964400,34.65
2015-01-23,34.7,35.65,33.6,35.2,6061100,35.2
2015-01-26,35.2,35.2,35.2,35.2,0,35.2
2015-01-27,35,36.85,34.55,35.25,6339300,35.25
2015-01-28,35.2,36.7,34.3,35.3,4707900,35.3
2015-01-29,35.3,35.75,34.75,35.35,3929000,35.35
2015-01-30,35.5,36,34.55,35.05,3429100,35.05
2015-02-02,35,35.7,33.75,35.3,3481800,35.3
2015-02-03,35.55,35.75,34.3,34.6,2745800,34.6
2015-02-04,34.7,34.9,33.5,33.65,1932500,33.65
2015-02-05,33.65,33.95,32.25,32.5,1542600,32.5
2015-02-06,32.75,33.65,31.8,32.55,1830500,32.55
2015-02-09,32.5,33.85,31.7,33.7,2479100,33.7
2015-02-10,33.2,33.6,31.1,33.2,10021600,33.2
2015-02-11,33.3,33.3,32.35,32.9,1812000,32.9
2015-02-12,32.9,34.3,32.45,33.1,3830200,33.1
2015-02-13,33.45,35.25,33.2,35,3685800,35
2015-02-16,35.25,35.7,34.35,35.15,2419800,35.15
2015-02-17,35.15,35.15,35.15,35.15,0,35.15
2015-02-18,35.25,35.65,34,34.9,3245800,34.9
2015-02-19,34.7,35.2,34.1,34.5,1703400,34.5
2015-02-20,34.55,35.2,33.85,34.2,2453100,34.2
2015-02-23,34.25,35,33.85,34.1,2437600,34.1
2015-02-24,34.4,36.6,33.5,34.8,4809100,34.8
2015-02-25,35.1,35.4,34,34.2,1806100,34.2
2015-02-26,34.25,34.7,34,34.35,1322600,34.35
2015-02-27,34.35,34.8,33.9,34.1,1344100,34.1
2015-03-02,33.6,34.4,33.45,34.05,1043900,34.05
2015-03-03,34.35,34.45,33.8,34,966000,34
2015-03-04,34.35,34.4,32.8,32.95,1455000,32.95
2015-03-05,33.2,34.1,33.05,33.85,1611000,33.85
2015-03-06,33.85,33.85,33.85,33.85,0,33.85
2015-03-09,33.5,33.75,32.15,32.4,981300,32.4
2015-03-10,32.45,33.1,32.1,32.2,772300,32.2
