"Date","TVSMOTOR.NS.Open","TVSMOTOR.NS.High","TVSMOTOR.NS.Low","TVSMOTOR.NS.Close","TVSMOTOR.NS.Volume","TVSMOTOR.NS.Adjusted"
2015-01-01,267.9,278.8,265.7,277.55,3402900,271.5045
2015-01-02,280,280,266.7,267.45,4469400,261.6245
2015-01-05,267.8,271.85,265,270.9,2662100,264.9994
2015-01-06,268.5,275.6,264.15,268.05,4281600,262.2115
2015-01-07,269.9,279.8,269.2,278.3,5465400,272.2382
2015-01-08,282,297.9,282,296.2,6558300,289.7483
2015-01-09,298,300.1,291,296.5,4546000,290.0418
2015-01-12,293.85,305,290.55,299.5,2950500,292.9764
2015-01-13,302.2,312.5,301,308.95,4856200,302.2206
2015-01-14,309,313.5,306.1,307.9,3127100,301.1935
2015-01-15,312,317.5,303.2,316.05,4089800,309.1659
2015-01-16,316.05,321.35,313.2,320.15,2772900,313.1766
2015-01-19,321.3,322.25,307.85,308.85,3061600,302.1228
2015-01-20,309.8,313.5,305.6,308.95,2235600,302.2206
2015-01-21,310,311.8,298.2,300.65,2976900,294.1014
2015-01-22,302,305,297.05,300.6,3300000,294.0525
2015-01-23,303.45,309.4,300,306.45,2822100,299.7751
2015-01-26,306.45,306.45,306.45,306.45,0,299.7751
2015-01-27,307,314.65,307,308.4,2597300,301.6826
2015-01-28,308.6,316.5,308.2,312,2605900,305.2042
2015-01-29,312,313.5,309.4,310.1,1590200,303.3456
2015-01-30,312,314.7,306.2,308.2,2215000,301.487
2015-02-02,308.05,308.4,282.6,285.25,4440100,279.0368
2015-02-03,285.5,298.9,280.4,285.25,7571500,279.0368
2015-02-04,287.8,297.65,284.6,294.4,3918000,287.9875
2015-02-05,295.9,303.85,290.35,293.5,2726100,287.1071
2015-02-06,294.3,295.85,285.2,293.6,2151100,287.9407
2015-02-09,289.6,297.5,286.7,294.05,2036600,288.382
2015-02-10,292.95,297.35,287.15,295.4,1880800,289.706
2015-02-11,296.95,304,293.5,301.1,1926000,295.2962
2015-02-12,304.7,306,301.1,304.85,1536500,298.9739
2015-02-13,304.5,310.95,302.6,307.85,1833900,301.9161
2015-02-16,309.1,310.35,301.2,302.45,1963400,296.6202
2015-02-17,302.45,302.45,302.45,302.45,0,296.6202
2015-02-18,304,305,299.75,301.75,1414600,295.9336
2015-02-19,303,303,290.4,295.05,1595200,289.3628
2015-02-20,296,299.8,292.5,296,1225500,290.2945
2015-02-23,297.3,298,287.6,289.45,1685600,283.8707
2015-02-24,290,290.65,267.8,269.55,4453900,264.3543
2015-02-25,269.55,275.4,267.05,271.55,3876100,266.3157
2015-02-26,272.9,273.5,261,271,4082500,265.7764
2015-02-27,275.05,282.95,272.15,282,2221300,276.5643
2015-03-02,280.4,281.9,269,272,2338700,266.7571
2015-03-03,287,297.4,283.45,293.2,7675900,287.5485
2015-03-04,294.9,296,284.4,289.3,2015200,283.7236
2015-03-05,291.5,293.7,285.05,292.35,1646400,286.7148
2015-03-06,292.35,292.35,292.35,292.35,0,286.7148
2015-03-09,283.1,296,283.1,286.95,1605500,281.4189
2015-03-10,288.95,296.9,287.1,295,1532700,289.3137
2015-03-11,297,297,283.55,285.25,2219200,279.7517
2015-03-12,287.75,291.3,283.05,289.65,1353600,284.0669
2015-03-13,291.15,291.6,276.3,277.7,1532700,272.3472
2015-03-16,277,277,269.2,274.15,1987300,268.8656
2015-03-17,276.85,284,275.65,283.25,1641100,277.7902
2015-03-18,283,283.8,276.9,278.85,1109200,273.4751
2015-03-19,281.4,283,271.4,273.35,1789600,268.0811
2015-03-20,273.5,274,264.3,268.45,1757800,263.2755
2015-03-23,269.45,270.95,262,266.55,2058300,261.4121
2015-03-24,266,267,251.4,259.9,3054000,254.8903
2015-03-25,261,262,256.1,259.4,1821300,254.3999
2015-03-26,259,272,258,266.45,2812000,261.3141
2015-03-27,271,274.45,266,271.95,2210600,266.7081
2015-03-30,273.5,274.3,262.55,266.3,2205100,261.1669
2015-03-31,267.5,269,261,263.85,1863500,258.7642
2015-04-01,262,263.3,252.6,254.8,3411900,249.8886
2015-04-02,254.8,254.8,254.8,254.8,0,249.8886
2015-04-03,254.8,254.8,254.8,254.8,0,249.8886
2015-04-06,256.85,257.3,247.6,252.75,3157600,247.8781
2015-04-07,251.2,258.5,251.2,255.4,1796300,250.477
2015-04-08,257,258.8,249.75,251.05,2286000,246.2109
2015-04-09,252.9,253.7,248.7,250.6,2432800,245.7696
2015-04-10,251,258,251,256.95,1932900,251.9972
2015-04-13,258.5,260.9,253.5,254.85,3447300,249.9377
2015-04-14,254.85,254.85,254.85,254.85,0,249.9377
2015-04-15,256,257.7,250.4,251.3,3397200,246.4561
2015-04-16,252,252.45,242.4,244.7,2792900,239.9833
2015-04-17,242.3,249.35,237.25,244.45,2479100,239.7381
2015-04-20,245.45,248,230.9,234.3,2053900,229.7838
2015-04-21,233.95,241.65,225.65,238.15,2717800,233.5596
2015-04-22,239.5,240.9,232.3,237.7,2385300,233.1182
2015-04-23,238.8,243.35,230.6,233.55,2601600,229.0482
2015-04-24,233.55,236.45,226.8,232.15,1720100,227.6752
2015-04-27,233.8,235.7,220.6,229.1,2428700,224.684
2015-04-28,230,231.05,224.1,228,1817100,223.6052
2015-04-29,229,240,227.55,236.95,5715500,232.3827
2015-04-30,240,241.25,234,235.65,4551700,231.1077
2015-05-01,235.65,235.65,235.65,235.65,0,231.1077
2015-05-04,239.85,250.6,236.1,249.65,2812300,244.8379
2015-05-05,249.9,249.95,238.1,240.35,1661200,236.808
2015-05-06,238.75,238.75,224.75,226.25,2971300,222.9158
2015-05-07,225,225.5,208.4,215.3,4412900,212.1272
2015-05-08,220,226.5,217.2,220.6,3553200,217.3491
2015-05-11,222.3,227.9,222,227.05,1396700,223.704
2015-05-12,228,230.9,221.5,222.6,2052300,219.3196
2015-05-13,224.2,227.3,217.2,220.1,2330900,216.8564
2015-05-14,218,224.9,215.35,224.2,1711300,220.896
2015-05-15,225.4,227,219.5,221.3,1084300,218.0387
2015-05-18,222.7,225,219.1,224.15,1229600,220.8467
2015-05-19,223.8,225.8,221,222.05,1658900,218.7777
2015-05-20,223,224.3,219.4,220.35,1097200,217.1027
2015-05-21,221.6,232.8,218,229.65,3140000,226.2657
2015-05-22,230.7,231.25,225.1,227.2,1602800,223.8518
2015-05-25,227.5,233.3,226.1,230.25,1310400,226.8568
2015-05-26,230.6,235.75,229.8,235.05,2134600,231.5861
2015-05-27,231.35,239.5,231.35,236.2,1515500,232.7192
2015-05-28,236.3,241.5,234.5,235.8,2349500,232.3251
2015-05-29,237,239.95,233.9,238.15,1068500,234.6404
2015-06-01,235,240.4,235,236.65,910100,233.1625
2015-06-02,237,238.9,217.65,224.55,2469400,221.2408
2015-06-03,224,226.4,214.9,221.65,2248000,218.3836
2015-06-04,221.7,227.9,217.75,226.25,1617300,222.9158
2015-06-05,224.95,227.3,221.8,223.15,1025800,219.8615
2015-06-08,223.5,224.4,216.4,218.8,1316000,215.5756
2015-06-09,216.9,220.3,214.5,218.75,1115600,215.5263
2015-06-10,219,225.7,218.1,224,848500,220.6989
2015-06-11,227,233.3,225,227.05,2461400,223.704
2015-06-12,226.85,228.5,219.05,224.6,1323400,221.2901
2015-06-15,225.75,227.95,222.8,226.7,868800,223.3592
2015-06-16,226.1,228.9,222.75,228.1,889600,224.7385
2015-06-17,228.65,233.25,228,231.5,1180100,228.0884
2015-06-18,230.75,236.45,230.25,231.7,1169700,228.2855
2015-06-19,232.5,241.1,232.5,239.45,1246600,235.9213
2015-06-22,241,246.85,240.95,245.05,1200400,241.4387
2015-06-23,246.35,248,241.8,242.95,1012700,239.3697
2015-06-24,243.5,243.75,235.8,239.85,1391000,236.3154
2015-06-25,239.75,243.45,237.4,238.6,2133900,235.0838
2015-06-26,238.6,247.4,236.55,245.2,1310100,241.5865
2015-06-29,240,243.2,235,241.65,1129400,238.0888
2015-06-30,243,245.65,239.35,244.1,1237000,240.5027
2015-07-01,245.25,247.95,242.95,245.95,910600,242.3255
2015-07-02,251,259.7,249.05,257.3,3674900,253.5082
2015-07-03,258.45,262.4,256,257.65,2072500,253.853
2015-07-06,255.95,265.85,252.3,264.75,2088700,260.8484
2015-07-07,266,272,264.9,270.25,2130300,266.2674
2015-07-08,267,272.75,262.3,264.35,1609500,260.4543
2015-07-09,264.9,265.7,257.2,258.4,978400,254.592
2015-07-10,259,259.4,254.4,257.15,791200,253.3604
2015-07-13,257,272.5,256.75,270.7,1765700,266.7108
2015-07-14,272.35,272.35,266.05,266.5,829500,262.5726
2015-07-15,266.5,272.4,265.4,267.8,1430200,263.8535
2015-07-16,268.9,269.6,265.05,266.7,761000,262.7697
2015-07-17,268.5,270,261.45,263.25,1051700,259.3705
2015-07-20,265,268.6,259.8,263.8,1278700,259.9124
2015-07-21,265.3,266.4,256.1,258.4,914000,254.592
2015-07-22,258.5,265.5,255.4,263.7,1184000,259.8139
2015-07-23,264.95,271.55,262.1,263.1,2244200,259.2227
2015-07-24,263.95,267.5,249.55,251.55,4173300,247.843
2015-07-27,251.5,251.5,239.15,241.1,4121800,237.547
2015-07-28,242.8,243,228.4,232.35,3326600,228.9259
2015-07-29,235.4,238.4,232,235.1,1824300,231.6354
2015-07-30,238.65,239.45,234.25,236.2,4168400,232.7192
2015-07-31,235.65,241.3,233.5,238,1355600,234.4926
2015-08-03,236,237.8,229.2,230.1,1573500,226.7091
2015-08-04,228.8,234.4,227.1,233.3,1611400,229.8619
2015-08-05,235.5,237,232.15,235,1451900,231.5368
2015-08-06,235.5,240.3,233.5,237.8,1337000,234.2956
2015-08-07,237.85,241.6,236.75,239.6,1247600,236.0691
2015-08-10,238.35,239.75,232.45,233.95,995700,230.5023
2015-08-11,234.8,235,222.3,223.25,2238400,219.96
2015-08-12,220.6,227.25,220,223.4,1906800,220.1078
2015-08-13,223.4,229,223.4,225.55,982100,222.2261
2015-08-14,226.55,230.95,224.8,230.2,934000,226.8076
2015-08-17,231.25,234.5,228.05,230.25,896400,226.8568
2015-08-18,229.75,233.85,229.65,230.85,1106700,227.448
2015-08-19,230.9,235,228.8,229.9,870700,226.512
2015-08-20,229.5,232.75,227.45,231.7,1326600,228.2855
