"Date","UBL.NS.Open","UBL.NS.High","UBL.NS.Low","UBL.NS.Close","UBL.NS.Volume","UBL.NS.Adjusted"
2015-01-01,834,840.95,827.1,834.6,38300,832.46
2015-01-02,836,842,829.25,835.6,62400,833.45
2015-01-05,840,840,829,832.9,72100,830.76
2015-01-06,831.4,849,825.55,832.45,230300,830.31
2015-01-07,837.7,910,821,897.1,987400,894.8
2015-01-08,911.1,918,887.35,893.35,360900,891.06
2015-01-09,894.35,912,891.05,903.95,193800,901.63
2015-01-12,902,934.85,896.1,912.95,343700,910.61
2015-01-13,914,939,909.9,926.1,238000,923.72
2015-01-14,927.15,942.7,920,931.15,219000,928.76
2015-01-15,934,955,929.85,945.15,200100,942.72
2015-01-16,951.95,953.35,925.1,942.35,125200,939.93
2015-01-19,943.4,962.7,940.15,950.05,147800,947.61
2015-01-20,952,952,931.95,942.9,81300,940.48
2015-01-21,942.5,953,932.2,936.2,91800,933.8
2015-01-22,935,1002.4,935,992.75,509300,990.2
2015-01-23,999,1050,994.4,1040.25,373400,1037.58
2015-01-26,1040.25,1040.25,1040.25,1040.25,0,1037.58
2015-01-27,1047,1055.4,1030.2,1038.3,439600,1035.63
2015-01-28,1028,1033,984.9,999.5,396100,996.93
2015-01-29,985,1008,973.05,988.1,221900,985.56
2015-01-30,994.85,1013,969.45,975.05,192100,972.55
2015-02-02,975.05,995,965,976.45,108000,973.94
2015-02-03,965.05,996.9,965.05,983.1,126800,980.58
2015-02-04,995,1012.9,983.3,992.15,272800,989.6
2015-02-05,988,1000,922.25,953.45,189800,951
2015-02-06,953.5,974,946.7,954.25,154000,951.8
2015-02-09,950,953,925,928.2,118600,925.82
2015-02-10,918.2,959.7,918.15,934.55,129100,932.15
2015-02-11,938,970.9,935.1,963.1,120500,960.63
2015-02-12,966.5,983,963.1,974.2,151300,971.7
2015-02-13,977.9,1024,968,1010.3,380100,1007.71
2015-02-16,1003.8,1008.95,945.15,967.35,268100,964.87
2015-02-17,967.35,967.35,967.35,967.35,0,964.87
2015-02-18,971.8,992,961.25,970.1,173900,967.61
2015-02-19,975,983.6,945.25,958.1,164700,955.64
2015-02-20,964.8,987.8,953.35,974.45,162500,971.95
2015-02-23,978,986,961.5,970.35,104700,967.86
2015-02-24,974,984.85,956,961.1,126300,958.63
