"Date","UJJIVAN.NS.Open","UJJIVAN.NS.High","UJJIVAN.NS.Low","UJJIVAN.NS.Close","UJJIVAN.NS.Volume","UJJIVAN.NS.Adjusted"
2016-05-10,231.9,244.65,216.65,231.55,48259300,231.33
2016-05-11,230,239.8,227.1,234.75,5224900,234.52
2016-05-12,235.45,244.5,234.65,243.45,5095200,243.22
2016-05-13,245.3,253.7,243,251.7,7194100,251.46
2016-05-16,252,258.9,252,257.95,4104100,257.7
2016-05-17,259,261.05,256.6,260.15,2393900,259.9
2016-05-18,259.4,259.45,255,257.5,1079700,257.25
2016-05-19,256.3,267.3,256.3,266.35,3172200,266.09
2016-05-20,267.9,268.75,260.2,262,1226000,261.75
2016-05-23,262.5,263.5,256.55,257.15,681500,256.9
2016-05-24,257.5,257.85,253.1,255.2,526800,254.95
2016-05-25,257,272.9,255.25,265.85,3008300,265.59
2016-05-26,276,308.35,275.55,298.4,9673300,298.11
2016-05-27,298.4,299.35,287.65,292.95,2283400,292.67
2016-05-30,294.7,316.8,292.5,314.7,4621200,314.4
2016-05-31,314.45,322.25,306.6,317,2944500,316.69
2016-06-01,317.45,324.8,312.2,313.9,2414000,313.6
2016-06-02,314.1,338.35,312.4,333.7,3861500,333.38
2016-06-03,339.95,400.4,338.35,382.55,15700000,382.18
2016-06-06,386.7,386.7,328.3,342.85,13281700,342.52
2016-06-07,346,371.5,344.5,354.85,7721600,354.51
2016-06-08,359.35,364.9,354.3,362,3508200,361.65
2016-06-09,363.85,369.45,358.4,365.7,2997100,365.35
2016-06-10,364.9,379.7,363,367.55,3673200,367.2
2016-06-13,364.5,369.35,358.15,361.2,1983700,360.85
2016-06-14,363.05,388.9,360.4,378.65,6204300,378.29
2016-06-15,380.25,397.5,380.25,392.15,5229800,391.77
2016-06-16,378,391.2,372.55,377.5,3986700,377.14
2016-06-17,381,386.85,372.15,375.7,1266600,375.34
2016-06-20,369.85,382.9,367.95,376.95,1486000,376.59
2016-06-21,379.8,381.5,368.3,370.6,1120100,370.24
2016-06-22,372.95,380,367.15,369.3,1407500,368.94
2016-06-23,370,377,364.4,373,1092500,372.64
2016-06-24,355,377.25,341.35,373.45,3234900,373.09
2016-06-27,375.95,387.8,375,378.8,1623500,378.43
2016-06-28,380.75,383.9,376.15,376.95,747400,376.59
2016-06-29,379.45,407.35,379,400.3,6296900,399.91
2016-06-30,404.4,414.6,396.5,398.75,3262700,398.37
2016-07-01,402.65,407.6,396.4,399.05,1188600,398.67
2016-07-04,402.6,421.45,401.6,418.35,2848200,417.95
2016-07-05,421.4,429.5,419.3,426.85,2270300,426.44
2016-07-06,426.85,426.85,426.85,426.85,0,426.44
2016-07-07,427.5,430.95,414.15,416.85,1593800,416.45
2016-07-08,417.9,419.4,407.05,412.7,921100,412.3
2016-07-11,420,424,415.3,421,853600,420.59
2016-07-12,422.95,423.95,408.3,411.85,722700,411.45
2016-07-13,412.3,412.7,398.2,401.25,794700,400.86
2016-07-14,400.9,411.9,394.1,405.4,1168400,405.01
2016-07-15,408.85,408.85,398,404.3,722100,403.91
2016-07-18,405.85,415.9,404,408.1,995900,407.71
2016-07-19,409,413.7,403,411.7,793600,411.3
2016-07-20,412.45,418.6,408.05,412.9,717400,412.5
2016-07-21,412.9,415.95,405,406.2,653900,405.81
2016-07-22,408.2,448.7,406.2,437.6,4246800,437.18
2016-07-25,440.05,448.85,434.85,436.15,1666600,435.73
2016-07-26,438.2,470.55,437.5,461.4,3863000,460.96
2016-07-27,465,491.75,457.05,483.95,3001900,483.48
2016-07-28,490,547.5,490,528.35,8251700,527.84
2016-07-29,532,540.85,496.1,511.05,6138300,510.56
2016-08-01,516.95,530,512.5,518.7,2831000,518.2
2016-08-02,520,521.3,475,485.95,2740900,485.95
2016-08-03,485.65,486.9,433.35,454.8,4309700,454.8
2016-08-04,461,470.8,437.7,448.55,2622300,448.55
2016-08-05,458.95,469.8,455,463.9,2202800,463.9
2016-08-08,467,467.3,450.55,452.3,1100700,452.3
2016-08-09,452.8,455.5,438.3,441.4,1743400,441.4
2016-08-10,442.9,444.65,428.45,432.2,1113200,432.2
2016-08-11,433.75,433.75,417.1,422.5,1143600,422.5
2016-08-12,423.35,454.9,418.65,451.95,2248900,451.95
2016-08-15,451.95,451.95,451.95,451.95,0,451.95
2016-08-16,452,459.8,445.1,450.7,1433100,450.7
2016-08-17,450.8,450.8,435,436.35,952500,436.35
2016-08-18,438,454.7,437.1,450.55,1498400,450.55
2016-08-19,452.15,459.8,444.75,449.7,1292400,449.7
2016-08-22,453.9,467.75,442.15,444.35,1794500,444.35
2016-08-23,445.8,450.8,440.15,443,749600,443
2016-08-24,444.8,451.35,438.55,440.3,641300,440.3
2016-08-25,442.2,446.7,438.5,439.95,447000,439.95
2016-08-26,443.7,448.9,428.25,432.65,797900,432.65
2016-08-29,432.7,434.7,423.1,427.65,818600,427.65
2016-08-30,430,437.5,422,427.3,1027500,427.3
2016-08-31,426,438,422,424.05,1123800,424.05
2016-09-01,425.6,430,416.5,419.55,814900,419.55
2016-09-02,420.9,439.7,420.5,424,2002400,424
2016-09-05,424,424,424,424,0,424
2016-09-06,430.15,433.55,422.1,423.85,774300,423.85
2016-09-07,425,431.65,422.25,428.75,713300,428.75
2016-09-08,430.9,436.25,428,432.15,868400,432.15
2016-09-09,430,437.7,425.75,429.6,1128000,429.6
2016-09-12,423,424.8,415.05,417.15,596700,417.15
2016-09-13,417.15,417.15,417.15,417.15,0,417.15
2016-09-14,419.3,431,417.15,425.7,696700,425.7
2016-09-15,425.7,428.45,420.2,421.65,373200,421.65
