"Date","ULTRACEMCO.NS.Open","ULTRACEMCO.NS.High","ULTRACEMCO.NS.Low","ULTRACEMCO.NS.Close","ULTRACEMCO.NS.Volume","ULTRACEMCO.NS.Adjusted"
2015-01-01,2678.9,2678.9,2651.2,2662.5,54000,2647.33
2015-01-02,2669.5,2752.5,2667.25,2742.1,228600,2726.48
2015-01-05,2748,2775.4,2726,2747.7,181600,2732.04
2015-01-06,2737.7,2739,2651,2670.6,292400,2655.38
2015-01-07,2675,2692.95,2612.25,2660.05,120000,2644.89
2015-01-08,2675,2732.3,2660.3,2727.45,249800,2711.91
2015-01-09,2760,2760,2711,2729.35,334800,2713.8
2015-01-12,2727.7,2735,2690,2700.3,148000,2684.91
2015-01-13,2735,2851.25,2715.05,2818.5,517200,2802.44
2015-01-14,2829,2918.8,2829,2908.85,537800,2892.28
2015-01-15,2920,3102.3,2898.4,3083.05,699200,3065.48
2015-01-16,3100.2,3139.95,3045.75,3070.1,369200,3052.61
2015-01-19,3099,3139.95,3066.5,3088.5,147100,3070.9
2015-01-20,3100,3127.95,3085.05,3096.45,303300,3078.81
2015-01-21,3109,3115.9,3041.3,3054.8,295800,3037.39
2015-01-22,3062,3144.25,3059,3122.45,368700,3104.66
2015-01-23,3168,3185.75,3130,3147.9,414300,3129.96
2015-01-26,3147.9,3147.9,3147.9,3147.9,0,3129.96
2015-01-27,3199.9,3199.9,3105.45,3121.45,426900,3103.66
2015-01-28,3130,3189.95,3125,3139.75,241000,3121.86
2015-01-29,3135,3175,3113.1,3162.75,353400,3144.73
2015-01-30,3162.35,3185,3097,3140.35,170800,3122.46
2015-02-02,3149.8,3169.15,3039,3087.05,258400,3069.46
2015-02-03,3070,3188,3060,3107.55,407700,3089.84
2015-02-04,3125.4,3126.4,3068.1,3096.9,220000,3079.25
2015-02-05,3109.9,3109.9,3041,3064.1,130300,3046.64
2015-02-06,3030,3050,2995,3008.35,129800,2991.21
2015-02-09,2961.05,2990,2941,2962.75,127600,2945.87
2015-02-10,2951.1,3025.95,2941.1,2966.2,187800,2949.3
2015-02-11,2975,3019.95,2975,3008,170700,2990.86
2015-02-12,3007,3095,3000.5,3035.1,187000,3017.81
2015-02-13,3071.1,3144.75,3068,3112.5,193700,3094.76
2015-02-16,3123,3150,3070.15,3078.8,177600,3061.26
2015-02-17,3078.8,3078.8,3078.8,3078.8,0,3061.26
2015-02-18,3082.3,3127.5,3082,3110,202100,3092.28
2015-02-19,3112.6,3128.9,3008.1,3062.3,165700,3044.85
2015-02-20,3119,3125.1,3005.65,3014.1,201200,2996.93
2015-02-23,3028,3043,2970,2978.1,2e+05,2961.13
2015-02-24,2981,3008.2,2965,2988.6,118100,2971.57
2015-02-25,2995.2,3060,2992.2,3042.85,284700,3025.51
2015-02-26,3044,3065,2952.45,2977.45,218700,2960.48
2015-02-27,3001,3136.7,2994,3125.8,251600,3107.99
2015-03-02,3159,3379,3145,3369.8,446700,3350.6
2015-03-03,3375,3375,3310,3360.85,247500,3341.7
2015-03-04,3369,3398,3292.5,3310.3,278800,3291.44
2015-03-05,3315,3330,3152.35,3189.55,490500,3171.38
2015-03-06,3189.55,3189.55,3189.55,3189.55,0,3171.38
2015-03-09,3179,3190,3053.15,3066.15,318400,3048.68
2015-03-10,3070,3108.9,3006,3017.2,539100,3000.01
2015-03-11,3017.2,3044.65,2975,2987.1,309600,2970.08
2015-03-12,2998,3029.95,2994.15,3009.35,483500,2992.2
2015-03-13,3040,3040,2934.55,2946.9,254000,2930.11
2015-03-16,2970,2975,2890,2913.4,214400,2896.8
2015-03-17,2947,2964.8,2891.1,2928.4,290800,2911.71
2015-03-18,2950,2966.4,2909.45,2935.7,292200,2918.97
2015-03-19,2954,2993.3,2874,2893,354400,2876.52
2015-03-20,2888,2890,2835.6,2855.05,284700,2838.78
2015-03-23,2860,2878.55,2825,2829,213000,2812.88
2015-03-24,2837,2846,2790.65,2801.5,389900,2785.54
2015-03-25,2819,2829.7,2750,2766,389200,2750.24
2015-03-26,2750,2826.55,2734.7,2795.8,433200,2779.87
2015-03-27,2810.1,2815.6,2763.9,2801.85,267100,2785.88
2015-03-30,2823,2957.6,2810.05,2944.05,340500,2927.27
2015-03-31,2967.5,2967.5,2855,2877.9,465200,2861.5
2015-04-01,2888.95,2909.3,2857.35,2883.7,371300,2867.27
2015-04-02,2883.7,2883.7,2883.7,2883.7,0,2867.27
2015-04-03,2883.7,2883.7,2883.7,2883.7,0,2867.27
2015-04-06,2899,2909.7,2870,2892.55,137100,2876.07
2015-04-07,2900,2945,2878.4,2931.85,283900,2915.14
2015-04-08,2964.7,3022.5,2938.8,2986.45,270700,2969.43
2015-04-09,3000,3003,2945,2963.95,192700,2947.06
2015-04-10,2988.9,3003.95,2945,2969.05,118800,2952.13
2015-04-13,2970,3028.9,2952.35,3001.45,238100,2984.35
2015-04-14,3001.45,3001.45,3001.45,3001.45,0,2984.35
2015-04-15,3024.9,3029.9,2965,2986.5,585700,2969.48
2015-04-16,2986.5,3003.85,2860.6,2895.05,301200,2878.55
2015-04-17,2882,2885,2797.25,2809.15,505500,2793.14
2015-04-20,2809.15,2825.8,2748.5,2778.15,496700,2762.32
2015-04-21,2789.7,2817,2732.75,2751.2,127300,2735.52
2015-04-22,2763,2809,2752,2792.8,361800,2776.89
2015-04-23,2805,2850,2711.5,2728.3,220200,2712.75
2015-04-24,2728.5,2744.4,2690,2706.95,361300,2691.53
2015-04-27,2707,2769,2638.05,2655.3,585500,2640.17
2015-04-28,2655.35,2716.95,2625.6,2688.9,461900,2673.58
2015-04-29,2705,2796,2663.25,2679.25,292300,2663.98
2015-04-30,2679.25,2688.7,2635,2672.1,465500,2656.87
2015-05-01,2672.1,2672.1,2672.1,2672.1,0,2656.87
2015-05-04,2672,2748,2612,2709.05,304100,2693.61
2015-05-05,2710,2738,2689.05,2709.2,150900,2693.76
2015-05-06,2704,2708.3,2596.65,2605.7,481800,2590.85
2015-05-07,2592,2664.35,2531,2619.15,342400,2604.23
2015-05-08,2632,2710,2626.05,2698,391200,2682.63
2015-05-11,2698.1,2859.9,2698,2823.8,500200,2807.71
2015-05-12,2830.85,2830.85,2730.1,2748.85,321000,2733.19
2015-05-13,2780,2824.9,2755.7,2794.4,211700,2778.48
2015-05-14,2793.9,2803.65,2731.25,2796.05,169300,2780.12
2015-05-15,2803.2,2837.25,2790.8,2805.4,165400,2789.41
2015-05-18,2815,2905,2780.35,2900.1,269900,2883.58
2015-05-19,2900.1,2985,2894.9,2971.4,639600,2954.47
