"Date","UNIONBANK.NS.Open","UNIONBANK.NS.High","UNIONBANK.NS.Low","UNIONBANK.NS.Close","UNIONBANK.NS.Volume","UNIONBANK.NS.Adjusted"
2015-01-01,239.4,243.9,238.1,241.15,1576500,227.82
2015-01-02,242.7,244.75,239.05,240.3,2628000,227.02
2015-01-05,240.8,241.95,236.35,237.65,2628200,224.51
2015-01-06,235.8,235.8,224,225.05,3287800,212.61
2015-01-07,224.1,225.5,217.5,219.5,4234400,207.37
2015-01-08,223.15,230.65,221.7,229.3,3828400,216.62
2015-01-09,229.35,231.9,226.7,230.4,3521400,217.66
2015-01-12,229.7,237.45,227,235.95,3086700,222.91
2015-01-13,238.25,239.5,231.55,232.7,2094400,219.84
2015-01-14,233.25,233.9,224.3,225.35,3091600,212.89
2015-01-15,235.15,241,231.6,239.3,5358700,226.07
2015-01-16,240,241.5,235.85,236.4,2627500,223.33
2015-01-19,237.4,240.9,236.2,237.8,2096100,224.65
2015-01-20,238,243.85,238,240.5,3271400,227.2
2015-01-21,241.3,248.5,240.55,247.35,4245300,233.68
2015-01-22,248.7,250.25,245,246.7,3033400,233.06
2015-01-23,250,253.5,240.3,251.4,4279200,237.5
2015-01-26,251.4,251.4,251.4,251.4,0,237.5
2015-01-27,251.5,253.5,232.2,238.15,9325800,224.98
2015-01-28,236,236.5,225.75,226.55,7240700,214.03
2015-01-29,225,226,214.65,215.95,6874900,204.01
2015-01-30,216.8,219.45,205.95,209.15,7105100,197.59
2015-02-02,207.2,213.5,206,209.45,4872200,197.87
2015-02-03,210.75,214.2,203.5,205,5431500,193.67
2015-02-04,206,206.8,199.2,200.5,5759200,189.42
2015-02-05,200.8,202.45,191.8,193.35,4977000,182.66
2015-02-06,192.25,196.55,189.05,190.2,4863900,179.69
2015-02-09,189,190,176.1,177.55,6584000,167.73
2015-02-10,175.7,184.2,172,180.4,5890900,170.43
2015-02-11,181.55,183.5,177.25,179.7,6116800,169.77
2015-02-12,181.45,182.5,176.5,178.4,4025400,168.54
2015-02-13,179.35,185.1,177.6,181.55,7227900,171.51
2015-02-16,183.45,184.15,177.85,179.3,4316200,169.39
2015-02-17,179.3,179.3,179.3,179.3,0,169.39
2015-02-18,180,181,177.65,178.3,2523600,168.44
2015-02-19,179.3,179.7,173.1,176.2,3652100,166.46
2015-02-20,177.5,183.3,174.65,179.85,4927100,169.91
2015-02-23,181,181,176.55,177.9,2774800,168.07
2015-02-24,178.05,179.95,174.5,178.15,4261500,168.3
2015-02-25,179,180.7,174.35,174.75,2628800,165.09
2015-02-26,174.6,175.15,165.5,166.65,5886900,157.44
2015-02-27,168.3,176.2,167.6,175.35,4867100,165.66
2015-03-02,173.8,174.8,169.2,171,4165900,161.55
2015-03-03,171.5,174.95,168.55,173.85,4175700,164.24
2015-03-04,180.65,183,168.7,170.05,5947700,160.65
2015-03-05,170.8,172.25,167.6,171.45,2967200,161.97
2015-03-06,171.45,171.45,171.45,171.45,0,161.97
2015-03-09,170,171.8,166.8,169.6,3382800,160.22
2015-03-10,170,172.35,168.55,170.95,2645600,161.5
2015-03-11,171.15,173,168.15,169.9,2897200,160.51
2015-03-12,171.4,172.45,170.1,170.95,1598900,161.5
2015-03-13,172.2,172.6,168.5,169.15,2009500,159.8
2015-03-16,169.5,170.75,166.05,169.95,1951400,160.55
2015-03-17,171,172.35,168.75,170.8,2433400,161.36
2015-03-18,171.1,173.45,169.2,169.65,2479300,160.27
2015-03-19,171.5,171.65,168,169.25,2352700,159.89
2015-03-20,168.2,168.95,163.1,167.35,2744700,158.1
2015-03-23,167.95,168,164,165.8,1771300,156.63
2015-03-24,165.4,168.2,160.4,163.95,3253100,154.89
2015-03-25,164,167.2,161.85,166.05,2724200,156.87
2015-03-26,164.45,167.6,161.05,162,3899900,153.04
2015-03-27,162.7,164.7,154.1,160.1,4473200,151.25
2015-03-30,161.25,162.7,157.8,159.45,3191200,150.64
2015-03-31,160.65,161.4,155.7,156.5,3514100,147.85
2015-04-01,156,162.6,154.45,162.05,3296200,153.09
2015-04-02,162.05,162.05,162.05,162.05,0,153.09
2015-04-03,162.05,162.05,162.05,162.05,0,153.09
2015-04-06,162.45,162.85,158.2,159.55,2631300,150.73
2015-04-07,160.2,161.65,157.2,157.8,2972700,149.08
2015-04-08,158.7,160.05,156.8,157.1,2424800,148.42
2015-04-09,158.5,161.75,157.1,160.6,4888400,151.72
2015-04-10,161.3,163.25,159.7,161.25,3833600,152.34
2015-04-13,161.8,166,161.8,163.9,2444200,154.84
2015-04-14,163.9,163.9,163.9,163.9,0,154.84
2015-04-15,164.9,170,164.15,165.7,4497000,156.54
2015-04-16,166.4,166.8,162.5,164,1856700,154.93
2015-04-17,164.6,166.25,162.2,164.6,2333400,155.5
2015-04-20,164.5,167.8,157.2,158.5,2957900,149.74
2015-04-21,158.5,160.1,156.05,158.25,3009400,149.5
2015-04-22,159.15,160.45,152.9,156.1,2928500,147.47
2015-04-23,156.6,157.3,152.4,153,2264700,144.54
2015-04-24,153.15,153.75,147.2,147.85,2359400,139.68
2015-04-27,148,148.55,142.2,142.95,3784300,135.05
2015-04-28,142.95,144.6,141,143,4820700,135.09
2015-04-29,142.95,144.7,141.8,142.25,2068000,134.39
