"Date","UPL.NS.Open","UPL.NS.High","UPL.NS.Low","UPL.NS.Close","UPL.NS.Volume","UPL.NS.Adjusted"
2015-01-01,346.2,346.2,338.45,341.6,525100,335.465
2015-01-02,341.75,355.25,341.75,352.25,2323600,345.924
2015-01-05,350,354,345.1,345.7,970100,339.491
2015-01-06,342.95,342.95,326.1,328.95,1380700,323.042
2015-01-07,327.9,334.6,315.3,323.05,2480100,317.248
2015-01-08,326.05,334.65,323.9,332.8,1494100,326.823
2015-01-09,334.9,338.45,327.3,332.35,2060300,326.381
2015-01-12,332.8,334.95,328.05,330.6,900700,324.663
2015-01-13,332,357.4,332,344.75,4629800,338.558
2015-01-14,345.8,359.9,343,358.2,2878300,351.767
2015-01-15,363,365,353.6,362.5,1983200,355.99
2015-01-16,361.5,373.95,358.95,370.15,1853300,363.502
2015-01-19,370.7,374.5,367.25,371.05,1490700,364.386
2015-01-20,372,375.2,369.1,371.35,1252300,364.681
2015-01-21,372.8,372.8,357.1,364.3,1639200,357.757
2015-01-22,363.05,367.6,357,360.35,1148900,353.878
2015-01-23,363.75,365.55,356.3,358.05,1025100,351.62
2015-01-26,358.05,358.05,358.05,358.05,0,351.62
2015-01-27,359,363,349,350.65,1327300,344.353
2015-01-28,353,360.3,349.25,354.25,1093700,347.888
2015-01-29,354,367.4,350.2,365.2,1722500,358.641
2015-01-30,369.8,374.25,364,368.35,1265600,361.735
2015-02-02,369.9,395.7,359.05,393.8,4039900,386.728
2015-02-03,397.05,419,389.75,416.3,7005100,408.823
2015-02-04,418.8,436,415.15,429.6,6008700,421.885
2015-02-05,428,428,415.65,417.95,1841400,410.444
2015-02-06,414,436.75,409.05,428.35,3732300,420.657
2015-02-09,426,426,409,413.6,1405300,406.172
2015-02-10,412.3,429.5,411.35,424.65,1641800,417.024
2015-02-11,427.05,439.9,418.05,435.65,3583000,427.826
2015-02-12,439.5,447.75,437.2,442.15,1886500,434.209
2015-02-13,442.65,443.05,426.7,429.6,1530500,421.885
2015-02-16,428,436.4,422.15,426.45,991300,418.791
2015-02-17,426.45,426.45,426.45,426.45,0,418.791
2015-02-18,426.45,430.1,416.55,417.85,1055200,410.346
2015-02-19,419.8,433.25,419,427.95,1291500,420.264
2015-02-20,427.85,427.85,417.1,421.05,853700,413.488
2015-02-23,425.1,428.9,413.35,417.15,1422500,409.658
2015-02-24,415.15,424,411.75,414.1,1966000,406.663
2015-02-25,416.8,421.6,404,411.25,2936400,403.864
2015-02-26,412,414.25,399.1,407.35,1477500,400.034
2015-02-27,408.5,421.4,408.5,419.8,1015000,412.261
2015-03-02,418,425.75,415.6,422.85,865400,415.256
2015-03-03,423.1,426.25,417.1,418.55,640000,411.033
2015-03-04,422.6,426,411.3,415.25,1392000,407.792
2015-03-05,417.5,424,414.05,421.7,1104000,414.127
2015-03-06,421.7,421.7,421.7,421.7,0,414.127
2015-03-09,422.2,439.95,417.7,436.5,2730300,428.661
2015-03-10,440.25,442.2,432,433.9,1356400,426.107
2015-03-11,432.3,434.8,424,425.55,698800,417.907
2015-03-12,424,431.8,420.25,428.85,950800,421.148
2015-03-13,431.05,434,409.6,413.2,1327300,405.779
2015-03-16,413.2,414.7,400.75,408.35,1158100,401.016
2015-03-17,408.9,422.95,407.45,417.55,1858000,410.051
2015-03-18,421,428.4,417.2,422.45,1325300,414.863
2015-03-19,426,433.75,419.8,428.3,1820600,420.608
2015-03-20,434.7,436.5,411.3,417.3,2324900,409.805
2015-03-23,419,425.95,416.15,419.8,1140000,412.261
2015-03-24,419.7,423.85,413.55,414.45,725700,407.007
2015-03-25,415.9,425.5,415,419.95,959700,412.408
2015-03-26,419.8,431.05,417.35,426.85,1694800,419.184
2015-03-27,430,446.95,415.5,435.25,2625000,427.433
2015-03-30,439.7,445.9,437,440.6,1485600,432.687
2015-03-31,442.9,457.85,438.35,442.15,2623800,434.209
2015-04-01,443.5,449.65,435.95,440.7,1263300,432.785
2015-04-02,440.7,440.7,440.7,440.7,0,432.785
2015-04-03,440.7,440.7,440.7,440.7,0,432.785
2015-04-06,440.7,452.5,438.4,450.3,1888700,442.213
2015-04-07,454.85,478.8,451.05,473.25,2842800,464.751
2015-04-08,475.95,475.95,458.4,462.25,1741000,453.948
2015-04-09,462.6,470.15,452.15,454.25,1885800,446.092
2015-04-10,453.8,465.2,453,463.4,1762400,455.078
2015-04-13,464.95,478.4,462.6,474.7,3325700,466.175
2015-04-14,474.7,474.7,474.7,474.7,0,466.175
2015-04-15,476,485,458.35,460.85,3550000,452.573
2015-04-16,462.9,467.85,438.65,451.95,1788200,443.833
2015-04-17,453.8,455.9,427.35,428.9,2555500,421.197
2015-04-20,429,429.45,404.1,409.9,1997700,402.538
2015-04-21,409.4,429.5,397.35,424.95,1804500,417.318
2015-04-22,428.4,435.55,418.2,429.85,2093000,422.13
2015-04-23,432.9,439.5,431.2,437.25,1526000,429.397
2015-04-24,438.7,438.7,423.65,434.7,1267300,426.893
2015-04-27,431.6,452.75,424.15,445.85,5126900,437.843
2015-04-28,448,479.85,444.1,475.85,3496200,467.304
2015-04-29,475,483.2,466,468.65,2439800,460.233
2015-04-30,466,496,462.25,490.65,5377400,481.838
2015-05-01,490.65,490.65,490.65,490.65,0,481.838
2015-05-04,491.5,501.4,485.1,497.15,3005900,488.221
2015-05-05,494.3,505.9,487.3,495.1,2614900,486.208
2015-05-06,491.5,502,476.7,478.9,3380800,470.299
2015-05-07,484.9,493.8,475.1,488,2026400,479.236
2015-05-08,494.5,510.9,492.35,506.55,1845500,497.453
2015-05-11,510.75,512.6,500.4,504.75,2852300,495.685
2015-05-12,499.55,502,477.2,489.1,3186800,480.316
2015-05-13,496.9,513.3,495.25,507.8,4812600,498.68
2015-05-14,510.5,525,510.45,515.25,2861600,505.996
2015-05-15,516.4,526.5,515.1,521.35,1609300,511.987
2015-05-18,521.45,532,519.3,527.7,2886500,518.223
2015-05-19,527.8,533.15,518.75,521.15,1198700,511.79
2015-05-20,525,529,514.6,517.15,1776400,507.862
2015-05-21,519.7,540.6,519.2,538.8,2540300,529.123
2015-05-22,547,547,529.55,537.65,1324800,527.994
2015-05-25,538.7,555.4,537.85,551.6,2123600,541.694
2015-05-26,551.6,568.4,546.1,565.25,4126700,555.098
2015-05-27,557.1,560,532.3,537.1,4634200,527.454
2015-05-28,532,541.7,510.2,518.9,4624500,509.581
2015-05-29,518.6,570,512.8,552.65,31588700,542.725
2015-06-01,535,561.5,532.15,543.05,3212900,533.297
2015-06-02,546.4,555.65,525.65,531.1,1914300,521.562
2015-06-03,531.95,544.85,526.65,539.9,2228200,530.204
2015-06-04,541.25,563.4,541.25,560.5,2304500,550.434
2015-06-05,560.25,567.8,543.65,550.15,2422200,540.27
2015-06-08,548.7,548.7,532.65,534.6,1713200,524.999
2015-06-09,533,536.1,512.85,516.4,2301300,507.126
2015-06-10,518.5,525.8,511.4,520.75,1466400,511.398
2015-06-11,526,526.85,504,506.55,1275800,497.453
2015-06-12,506.4,526.95,501.4,524.05,1309800,514.638
2015-06-15,526.4,536,511.2,514.1,2231800,504.867
2015-06-16,513,522.7,507.75,519.2,1353200,509.875
2015-06-17,522.8,536,519.35,532.3,1439800,522.74
2015-06-18,533.4,536.5,523.25,525.05,1122700,515.62
2015-06-19,527.8,528.3,516.55,521.5,1969600,512.134
2015-06-22,524.75,550.05,521.5,546.2,2065700,536.391
2015-06-23,551,562.3,550.45,559.45,2476000,549.403
2015-06-24,560,564.05,536.5,541.45,1827900,531.726
2015-06-25,539.9,561,536.9,557.95,4138600,547.93
2015-06-26,553.05,574.8,546.3,559.05,2857800,549.01
2015-06-29,541,551.6,536.5,538.15,1383000,528.485
2015-06-30,540.8,547,531.25,535.6,2507700,525.981
2015-07-01,538.8,550.7,537,547.2,1688300,537.373
2015-07-02,547.45,556.7,543.55,548.9,1188400,539.042
2015-07-03,551,557.4,544,547.4,928100,537.569
2015-07-06,540,560,539,558.6,1579000,548.568
2015-07-07,559.1,562.4,548.3,552.9,1703100,542.97
2015-07-08,548,552.75,530.25,533.3,1794600,523.722
2015-07-09,533.2,533.2,514,516.8,3534700,507.519
2015-07-10,520,525.6,514.6,518.7,2940100,509.384
2015-07-13,520.5,525.4,511,521.3,1917900,511.938
2015-07-14,522.5,529.5,520.05,522.5,1722600,513.116
2015-07-15,523.45,529.2,519.05,526.75,1189600,517.29
2015-07-16,524.2,539,521.2,536.45,2046600,531.864
2015-07-17,539.95,544.25,531.65,533.95,1510100,529.386
2015-07-20,535.5,549.5,533.7,546.6,1454600,541.927
2015-07-21,547,555,538.05,543,1518000,538.358
2015-07-22,544.7,552.9,542.05,546.15,1428100,541.481
2015-07-23,549.9,550,537,541.3,845300,536.673
2015-07-24,542.7,549.9,533.6,536.5,1003200,531.914
2015-07-27,537,546.95,522.5,536.85,1249800,532.261
2015-07-28,535.8,546,524,526.15,1013200,521.652
2015-07-29,531.5,538.7,515,526.7,2188400,522.198
2015-07-30,530,534,517.5,519.3,1393200,514.861
2015-07-31,520,548,519.5,535.7,2365100,531.121
2015-08-03,536.95,546.35,535,541.3,974200,536.673
2015-08-04,542,563,541.5,560.8,2134400,556.006
2015-08-05,565.6,575,562.05,566.5,2231800,561.657
2015-08-06,567.85,568,546.4,550.25,1431400,545.546
2015-08-07,551.8,556,542.25,544.05,1322200,539.399
2015-08-10,544.9,572,544,562.85,2654000,558.038
2015-08-11,566.4,576.4,555,562.35,2536900,557.543
2015-08-12,555,559.4,540.8,542.7,888500,538.061
2015-08-13,548,564,545.05,552.05,1848200,547.331
2015-08-14,555,559.85,544.1,547.5,1529700,542.82
2015-08-17,548.7,558.95,536.5,553.45,938600,548.719
2015-08-18,558,564.5,552.5,560.55,699800,555.758
2015-08-19,561,571,556.25,565.1,1043700,560.269
2015-08-20,563,565.1,545,547.5,1020500,542.82
2015-08-21,542.9,542.9,520.35,535.7,1016700,531.121
2015-08-24,519.8,519.8,456,488.45,2089900,484.274
