"Date","VEDL.NS.Open","VEDL.NS.High","VEDL.NS.Low","VEDL.NS.Close","VEDL.NS.Volume","VEDL.NS.Adjusted"
2015-01-01,213.7,219.7,212.2,219.25,2304300,191.33415
2015-01-02,219.35001,224.45,219.35001,222.3,3270300,193.99581
2015-01-05,222.5,225.3,218.10001,219.8,3512000,191.81413
2015-01-06,217.95,219.5,206.75,209.05,6095700,182.43286
2015-01-07,209,211.85001,204.14999,209,3410900,182.38922
2015-01-08,211.3,212.64999,205.55,210.5,3956200,183.69824
2015-01-09,213.89999,213.89999,206.60001,207.8,2842300,181.34202
2015-01-12,207.05,208,204.25,206.25,2641800,179.98937
2015-01-13,207,209,203.3,204.60001,4640700,178.54946
2015-01-14,202,203,185.85001,188.10001,10865000,164.15031
2015-01-15,188.5,192.5,186.5,189.7,7275600,165.54658
2015-01-16,191.60001,194.89999,190,193.25,6323200,168.64458
2015-01-19,195,195.95,192.05,193.14999,2577600,168.55731
2015-01-20,193.5,205,192.60001,204.14999,7450200,178.15674
2015-01-21,205.39999,206,196.55,199.64999,5341300,174.2297
2015-01-22,203.8,206.8,198.60001,201.10001,6966500,175.49509
2015-01-23,203.5,206.7,200.39999,205.39999,5078700,179.24759
2015-01-26,205.39999,205.39999,205.39999,205.39999,0,179.24759
2015-01-27,204.8,208.14999,201.8,207.3,4559000,180.90568
2015-01-28,206.25,206.95,198.45,201.14999,3755400,175.53872
2015-01-29,199.5,203.89999,196.39999,201.45,10159500,175.80052
2015-01-30,203,204.8,196.45,201.95,5627700,176.23686
2015-02-02,199.5,205,197.55,198.2,3557300,172.96432
2015-02-03,201,212,198.2,210.7,7921200,183.87277
2015-02-04,212.05,219.60001,210.7,216.60001,7754900,189.02157
2015-02-05,215,215.64999,206.55,207.8,2866900,181.34202
2015-02-06,207.5,213.39999,206.55,210.60001,3334700,183.78551
2015-02-09,208.5,210,198.60001,200.8,2464800,175.23329
2015-02-10,200.55,207.39999,199.55,206.35001,2110700,180.07664
2015-02-11,206,211.60001,202,208.25,2673300,181.73472
2015-02-12,208.89999,215.2,204.60001,212.64999,3097800,185.57449
2015-02-13,213.25,215.89999,211,212.2,2306200,185.18178
2015-02-16,215.05,217.64999,210.64999,211.55,2958900,184.61455
2015-02-17,211.55,211.55,211.55,211.55,0,184.61455
2015-02-18,210,210,203.75,205.2,2482100,179.07305
2015-02-19,204.95,224.75,203.3,219.05,7692200,191.15962
2015-02-20,221.89999,223.05,215.35001,217.3,6158700,189.63244
2015-02-23,218.5,224.89999,217.85001,219.55,6338400,191.59596
2015-02-24,219.45,219.55,210.5,211.35001,2852100,184.44002
2015-02-25,212.55,215.75,209,210.75,2562100,183.91641
2015-02-26,214.05,215.2,207,208.25,4487900,181.73472
2015-02-27,210.7,218.39999,210.60001,217.2,4081500,189.54516
2015-03-02,218.85001,219.89999,213.5,218.2,3243900,190.41784
2015-03-03,219,222.85001,217.60001,222.05,2607800,193.77765
2015-03-04,225,225,211,212.39999,3312800,185.35632
2015-03-05,212.64999,215.5,208.75,210.14999,3805200,183.3928
2015-03-06,210.14999,210.14999,210.14999,210.14999,0,183.3928
2015-03-09,208.5,208.5,197.60001,199.10001,3849200,173.74974
2015-03-10,197.89999,199.5,194.3,197.60001,3249200,172.44073
2015-03-11,198,198.55,192,192.7,2900300,168.16461
2015-03-12,194.64999,202.5,194,200.60001,4152200,175.05875
2015-03-13,202.10001,203.5,195.14999,195.89999,3166000,170.95717
2015-03-16,195.7,195.7,184.75,185.5,5329300,161.88135
2015-03-17,187,194.8,186.39999,192.89999,6331600,168.33914
2015-03-18,199.45,202,192.14999,193.95,6723800,169.25545
2015-03-19,195.64999,197.85001,190.5,191.5,3789600,167.1174
2015-03-20,192.3,193.5,187,187.85001,5985200,163.93214
2015-03-23,193.3,194,185,190.95,4809400,166.63743
2015-03-24,191.55,195.5,190.2,193.85001,3999900,169.16819
2015-03-25,194,197.5,190.85001,196.8,2751100,171.74258
2015-03-26,195,195.85001,186.85001,188.3,3772800,164.32484
2015-03-27,190,192.39999,183.75,188.39999,4884900,164.4121
2015-03-30,191,191.5,185.5,189.14999,2370700,165.06661
2015-03-31,190.7,196,188.60001,189.5,5909900,165.37205
2015-04-01,190.8,191.89999,187.2,190.14999,2895400,165.93928
2015-04-02,190.14999,190.14999,190.14999,190.14999,0,165.93928
2015-04-03,190.14999,190.14999,190.14999,190.14999,0,165.93928
2015-04-06,190.89999,192.39999,187.5,191.5,2195300,167.1174
2015-04-07,192.75,198.8,189.64999,197.75,5056000,172.57162
2015-04-08,197,197.39999,192.5,193.60001,3773500,168.95002
2015-04-09,195,196,191.75,194.64999,3687600,169.86632
2015-04-10,194.85001,203.5,194.3,202.35001,5633600,176.58594
2015-04-13,201.64999,202.35001,198,200.55,2956700,175.01512
2015-04-14,200.55,200.55,200.55,200.55,0,175.01512
2015-04-15,200.55,209.39999,200,206.25,4696200,179.98937
2015-04-16,207.35001,207.8,200.10001,204.10001,4517700,178.11312
2015-04-17,204,212.89999,201.85001,211.25,5362900,184.35275
2015-04-20,210.2,211,206.2,207.89999,4437300,181.42928
2015-04-21,208.5,217,204.05,211.10001,6374700,184.22185
2015-04-22,211.2,211.85001,205.85001,211,4555700,184.13458
2015-04-23,212,216,209.89999,211.5,4473000,184.57091
2015-04-24,210,212.8,203.3,204.89999,3967000,178.81125
2015-04-27,205.89999,211,204.39999,210,4253200,183.2619
2015-04-28,208.39999,214.25,206,211.89999,4272600,184.91998
2015-04-29,208.85001,209.05,202.60001,207.05,6810700,180.68751
2015-04-30,203.95,211.39999,202,209.85001,6871800,183.131
2015-05-01,209.85001,209.85001,209.85001,209.85001,0,183.131
2015-05-04,212,215.55,209.75,212.39999,4478100,185.35632
2015-05-05,212,228.39999,210.05,226.7,9398900,197.83558
2015-05-06,226,229.39999,216,220.14999,6674200,192.11955
2015-05-07,218.39999,224,215.60001,218.14999,4077400,190.3742
2015-05-08,220,221.8,214.10001,217.95,2699300,190.19967
2015-05-11,222,233.39999,217.75,230.3,7737300,200.97722
2015-05-12,229.85001,229.89999,217.10001,218.25,4292600,190.46148
2015-05-13,221.85001,221.85001,210.45,218.14999,4720400,190.3742
2015-05-14,217,217.89999,212.5,214.75,3139000,187.40711
2015-05-15,215.7,217.89999,208.2,210.35001,2725600,183.56734
2015-05-18,210.75,213.60001,206.39999,211.14999,1999000,184.26547
2015-05-19,210.7,219.85001,209.7,215.05,4979500,187.66892
2015-05-20,214.14999,216.85001,213.89999,216.05,2333100,188.54159
2015-05-21,216.64999,216.85001,208,209,3225600,182.38922
2015-05-22,209,209,205,206.2,3921800,179.94573
2015-05-25,206,206,198.7,199.39999,2206700,174.01153
2015-05-26,201.7,202.8,194.3,195.10001,4827800,170.25904
2015-05-27,194.60001,194.7,190.5,191.60001,4761300,167.20467
2015-05-28,192.7,198.39999,191.60001,196.75,6024100,171.69895
2015-05-29,196.2,204,192.8,196.45,29940700,171.43714
2015-06-01,198,201.64999,196.39999,197.7,2477500,172.52799
2015-06-02,197,198,193.60001,194.75,2171200,169.9536
2015-06-03,194.75,195.5,185.05,188.3,2981300,164.32484
2015-06-04,190,191.8,180.2,184.2,4567400,160.74686
2015-06-05,183.55,186.95,181.45,182.8,4560300,159.52512
2015-06-08,183.39999,184.45,175.60001,177.05,4278500,154.50724
2015-06-09,179.75,184.3,177.39999,182.55,5165700,159.30695
2015-06-10,181.85001,187.8,179.3,185,5136400,161.44501
2015-06-11,186.55,190.95,181.85001,188,8432100,164.06303
2015-06-12,186.7,187.39999,181.55,183.8,3941200,160.3978
2015-06-15,187.5,188.8,180.10001,181.35001,7462000,158.25975
2015-06-16,181.39999,181.89999,175.75,178.5,3176200,155.77262
2015-06-17,178.8,178.8,172,172.64999,7092900,150.66746
2015-06-18,172.64999,175.3,172.64999,173.2,2255500,151.14743
2015-06-19,174.10001,176.95,170.7,174.85001,6224500,152.58735
2015-06-22,175.5,177.89999,175,176.55,2570400,154.0709
2015-06-23,176.60001,179.35001,174.89999,176.45,2791800,153.98363
2015-06-24,177,179.25,175.14999,176.10001,2851000,153.6782
2015-06-25,176,182.14999,175,179.60001,12070300,156.73256
2015-06-26,179,179.7,174,174.85001,3068900,152.58735
2015-06-29,172.89999,173.8,169.5,172.7,2573100,150.71109
2015-06-30,172.7,175,170.60001,174.14999,4054000,151.97647
2015-07-01,174.10001,177.5,173.10001,176,2149200,153.59093
2015-07-02,175.8,176,172.55,173.55,3188300,151.45287
2015-07-03,174,174.75,170.10001,170.55,1926500,150.87784
2015-07-06,167.5,167.5,159.3,163.39999,5858900,146.57216
2015-07-07,163,163.35001,158.25,158.55,6155400,142.22165
2015-07-08,155,155.2,138.75,145.7,26911600,130.69501
2015-07-09,144.60001,146.95,137.85001,138.89999,17018300,124.59531
2015-07-10,140.14999,146.95,140.10001,146.2,9752500,131.14352
2015-07-13,144.8,148.85001,142.7,147.55,6710900,132.35449
2015-07-14,147.55,148.2,144.95,145.25,2846600,130.29136
2015-07-15,145.10001,146.95,144.8,145.5,2303400,130.51561
2015-07-16,145.5,146.35001,143.05,143.64999,2583200,128.85613
2015-07-17,144,147.14999,142.60001,145.55,2961800,130.56046
2015-07-20,145.89999,146.5,142.7,143.2,2126600,128.45247
2015-07-21,142,142.35001,135.8,136.35001,4529000,122.30793
2015-07-22,134.95,137.39999,130.10001,136.10001,8309400,122.08368
2015-07-23,131.89999,138.8,131.75,135.5,6953500,121.54546
2015-07-24,134.85001,135.60001,132,132.45,3715300,118.80957
2015-07-27,131.89999,133.39999,128,128.5,4123700,115.26636
2015-07-28,128.75,129.8,126.3,128.64999,3862000,115.40091
