"Date","VOLTAS.NS.Open","VOLTAS.NS.High","VOLTAS.NS.Low","VOLTAS.NS.Close","VOLTAS.NS.Volume","VOLTAS.NS.Adjusted"
2015-01-01,242.5,243.35,239.65,240.8,856300,237.318
2015-01-02,239.2,248.4,239.2,245.65,2630400,242.098
2015-01-05,246,251.2,244.1,245.85,1975900,242.295
2015-01-06,244.4,244.4,235.2,237.35,1951700,233.918
2015-01-07,236.3,238.85,227,229.45,2337600,226.132
2015-01-08,233.8,244.7,233.65,243.35,2362300,239.831
2015-01-09,246.8,246.9,242.1,246,1946800,242.443
2015-01-12,246,248.25,243.1,245.9,1292900,242.344
2015-01-13,245,247.3,239.75,242.05,2700500,238.55
2015-01-14,242,248.5,241.6,247.75,4226400,244.168
2015-01-15,249.1,254.9,245.35,253.45,4586400,249.785
2015-01-16,252.2,257.8,249,255.5,4723600,251.806
2015-01-19,255.5,259.8,251,252.8,1730600,249.145
2015-01-20,253,257.4,252.7,253.8,2274400,250.13
2015-01-21,253,257.7,251.3,256.25,1557700,252.545
2015-01-22,255,263.95,250.2,253.05,2169100,249.391
2015-01-23,254.8,259,252.15,256.75,1957800,253.037
2015-01-26,256.75,256.75,256.75,256.75,0,253.037
2015-01-27,258.05,263.8,255.3,261.2,2484900,257.423
2015-01-28,261,274.9,261,273.95,4859600,269.989
2015-01-29,274.9,277.5,270.85,276,1572700,272.009
2015-01-30,277.2,278.45,265.5,268.6,1500300,264.716
2015-02-02,265.55,268.4,261.7,266.25,988900,262.4
2015-02-03,267.5,275.5,266.45,269.6,1408800,265.702
2015-02-04,271.65,283,261.25,276.4,2745700,272.403
2015-02-05,276.35,277.15,261,262.85,1557900,259.049
2015-02-06,263.5,269.5,258.3,265.3,1337900,261.464
2015-02-09,263.3,263.3,250.25,253.25,1320900,249.588
2015-02-10,252.45,262.4,250.5,258.7,1249800,254.959
2015-02-11,261,266.4,254.7,264.7,1636700,260.873
2015-02-12,253,259,248.5,257.1,4874700,253.382
2015-02-13,258,261.9,255.2,256.25,1441200,252.545
2015-02-16,257.25,258,248.45,249.55,1802300,245.942
2015-02-17,249.55,249.55,249.55,249.55,0,245.942
2015-02-18,248.9,253.35,245.1,250.5,1989900,246.878
2015-02-19,253.45,263,249.3,260.1,2377200,256.339
2015-02-20,261,265,256.55,259.65,2018600,255.896
2015-02-23,260.6,261.8,250,253.05,1739500,249.391
2015-02-24,253,256,250.7,252.75,1993600,249.095
2015-02-25,253.5,256.4,251.05,254.6,1885600,250.919
2015-02-26,255.1,256.5,248.2,251.65,1709500,248.011
2015-02-27,253.55,257.7,249.65,256.2,2712500,252.495
2015-03-02,256,275.5,253.35,273.15,4998100,269.2
2015-03-03,276,276.9,267.85,271.65,2096400,267.722
2015-03-04,274.9,280.9,263.25,267.1,2884900,263.238
2015-03-05,265.05,270.25,261.9,265.55,1208300,261.71
2015-03-06,265.55,265.55,265.55,265.55,0,261.71
2015-03-09,264,264.9,256,257.8,1080300,254.072
2015-03-10,257.05,267.8,255.1,262,1693000,258.212
2015-03-11,260,271.45,257.4,268.95,1578700,265.061
2015-03-12,269.05,289.55,269,287.45,3649700,283.294
2015-03-13,290,301.4,284.55,289,11904600,284.821
2015-03-16,291.55,291.8,276.65,280.85,2813000,276.789
2015-03-17,281.95,287.35,275.2,280.8,2624300,276.74
2015-03-18,280.95,285.4,278.45,280.45,1822300,276.395
2015-03-19,282.5,289.3,271.65,273.8,2639500,269.841
2015-03-20,276,280.9,273.45,275.25,2443400,271.27
2015-03-23,277.8,280.5,272.45,274.3,1339000,270.334
2015-03-24,275,281.4,274.55,278,1840700,273.98
2015-03-25,279,282.75,276.55,281.35,1946100,277.282
2015-03-26,281,284,272.05,273.3,2849500,269.348
2015-03-27,275.6,277.4,265.05,274.8,1450500,270.826
2015-03-30,278.8,282.4,274.5,279.95,1079400,275.902
2015-03-31,281.4,285.85,276.2,279.85,1344900,275.803
2015-04-01,279.9,285,277.2,283.7,961700,279.598
2015-04-02,283.7,283.7,283.7,283.7,0,279.598
2015-04-03,283.7,283.7,283.7,283.7,0,279.598
2015-04-06,286,288,279,284.6,1768300,280.485
2015-04-07,286.15,295.5,280.6,293.05,2914800,288.813
2015-04-08,295,301,291.35,294.4,3337300,290.143
2015-04-09,295.5,299.5,290.65,293.5,2141200,289.256
2015-04-10,294,307.65,293,306.05,3551900,301.625
2015-04-13,307.85,310.3,302.2,303.35,2534400,298.964
2015-04-14,303.35,303.35,303.35,303.35,0,298.964
2015-04-15,303,309.75,296.5,300.5,2479600,296.155
2015-04-16,300.5,302,289.4,292,1899800,287.778
2015-04-17,292.3,299.3,290.55,295.15,1637000,290.882
2015-04-20,294.2,295.15,282.35,288.35,1625800,284.181
2015-04-21,288.2,298.5,287,291.95,1902600,287.728
2015-04-22,292.1,297,284.15,286.6,2322200,282.456
2015-04-23,288,291.8,286.55,288.95,1250500,284.772
2015-04-24,289.35,289.95,277.8,279.9,1329800,275.853
2015-04-27,280.8,280.95,258.25,265.45,2752200,261.612
2015-04-28,266,278.4,262.55,275.35,1473200,271.369
2015-04-29,276.3,277.4,271,273.25,1089000,269.299
2015-04-30,271.95,284.65,268.55,281.1,2613700,277.035
2015-05-01,281.1,281.1,281.1,281.1,0,277.035
2015-05-04,281.9,286.25,281,284.6,867500,280.485
2015-05-05,281,292.8,281,289,1465400,284.821
2015-05-06,287,288.3,272,276.1,1766100,272.108
2015-05-07,276,276,261.3,267.05,1521300,263.189
2015-05-08,271,282.45,271,281.45,1546000,277.38
2015-05-11,282.85,285.5,277.45,281.5,1470400,277.43
2015-05-12,281,281.8,273.8,275.25,855900,271.27
2015-05-13,276.9,282.35,270.4,280.1,2121900,276.05
2015-05-14,281,284.3,276.8,281.7,1409700,277.627
2015-05-15,284,293.95,284,290.7,2440900,286.497
2015-05-18,292.75,295.75,291.75,293.9,1393000,289.65
2015-05-19,293.95,298.6,290.75,294.05,1565200,289.798
2015-05-20,296,297.9,294.1,295.3,994900,291.03
2015-05-21,295.25,297.25,286.35,288.55,1640800,284.378
2015-05-22,300.05,321,300.05,318.9,14060300,314.289
2015-05-25,318.8,326.8,312.8,324.9,4248500,320.202
2015-05-26,325,347.8,321.3,344.15,7061300,339.174
2015-05-27,338,345.8,334.25,336.85,3963800,331.979
2015-05-28,337.3,342.45,328.55,330.5,3939100,325.721
2015-05-29,330,337.7,328.05,332.95,2461900,328.136
2015-06-01,332,342.25,329.85,337.95,4668700,333.063
2015-06-02,337.5,338.3,326.6,330.25,1978700,325.475
2015-06-03,329.95,333.65,322.5,330.35,2236700,325.573
2015-06-04,331.5,336.65,325.35,331.1,2142900,326.312
2015-06-05,330.3,336.5,329.35,332.45,1464700,327.643
2015-06-08,332,334.2,324.1,326.4,1208800,321.68
2015-06-09,325.5,331.45,325.5,328.4,2064400,323.651
2015-06-10,330,348.35,329.4,343.05,4401300,338.09
2015-06-11,346,347.85,331.1,333.05,3037800,328.234
2015-06-12,333.05,334.8,325.4,329.8,1608800,325.031
2015-06-15,330.25,336.25,329.55,330.7,1133800,325.918
2015-06-16,331.5,332.65,324.3,330.7,1499500,325.918
2015-06-17,331.9,340.4,331.75,338.55,2823800,333.655
2015-06-18,341,344.7,337.85,340.85,1407700,335.921
2015-06-19,342.85,344.25,334.75,337.4,1094700,332.521
