"Date","WIPRO.NS.Open","WIPRO.NS.High","WIPRO.NS.Low","WIPRO.NS.Close","WIPRO.NS.Volume","WIPRO.NS.Adjusted"
2015-01-01,552.54999,554.40002,550.5,552.40002,202900,532.74433
2015-01-02,553.40002,560.25,553,557.29999,787300,537.46994
2015-01-05,557.04999,565,555.5,558.29999,719700,538.43435
2015-01-06,555,556.40002,542.09998,545.25,2324300,525.84872
2015-01-07,543.20001,545,538.34998,541.09998,1557200,521.84636
2015-01-08,556.15002,558.90002,543.20001,545,1461000,525.60761
2015-01-09,549.20001,560,543.25,553.5,2547500,533.80516
2015-01-12,550,559,547.70001,556.04999,829000,536.26441
2015-01-13,557.09998,566.70001,555,563.5,1183600,543.44934
2015-01-14,566,569.5,550,551.95001,1823200,532.31033
2015-01-15,560,564,551.25,559.5,1311200,539.59167
2015-01-16,560.79999,563.40002,552.90002,555.04999,1557100,535.3
2015-01-19,591.09998,598.5,582.34998,584.20001,6062600,563.41279
2015-01-20,586.09998,594,582.90002,590.40002,2510700,569.3922
2015-01-21,589.59998,595,576.65002,588.70001,3319000,567.75267
2015-01-22,590,597.70001,584.70001,594.54999,3648400,578.30619
2015-01-23,599.20001,604,590.25,601.79999,3614500,585.35811
2015-01-26,601.79999,601.79999,601.79999,601.79999,0,585.35811
2015-01-27,602.40002,605.75,595,598.54999,2955800,582.19691
2015-01-28,596,612,595.75,607.25,3144300,590.65923
2015-01-29,608,614.5,599.79999,602.70001,2529000,586.23355
2015-01-30,606.90002,610.04999,597.15002,606.54999,1761200,589.97834
2015-02-02,612,627.70001,609,625.09998,2990300,608.02152
2015-02-03,624,628.04999,617.75,621.54999,1587200,604.56852
2015-02-04,623.20001,629.90002,616.25,619.20001,1673100,602.28275
2015-02-05,620.95001,643.09998,620.90002,638.25,2299400,620.81227
2015-02-06,638,654.70001,636,643.25,2076400,625.67566
2015-02-09,639.90002,650,635.59998,647.79999,1273900,630.10134
2015-02-10,641,652,637.34998,642.59998,2088800,625.0434
2015-02-11,646,649,633.15002,638.40002,2656200,620.9582
2015-02-12,643.5,653,641.25,646.79999,1807400,629.12866
2015-02-13,648,663.90002,646.79999,660.70001,1732300,642.64892
2015-02-16,660.90002,667.25,660,661.5,959500,643.42705
2015-02-17,661.5,661.5,661.5,661.5,0,643.42705
2015-02-18,662,671,655.5,669,1133500,650.72214
2015-02-19,669,669,655,659.5,1384100,641.4817
2015-02-20,659.5,661,647.5,650,909300,632.24125
2015-02-23,650,658,643.54999,649.75,1066800,631.99808
2015-02-24,652.5,659.79999,649.59998,653,1581300,635.15928
2015-02-25,653.54999,665.59998,652.09998,663.79999,1842900,645.6642
2015-02-26,663.79999,668.90002,651.40002,657.90002,1964700,639.92543
2015-02-27,657,658.59998,648.70001,654.29999,2299600,636.42375
2015-03-02,660.09998,674.40002,654,664.5,1848600,646.34509
2015-03-03,665,677,663,672.45001,1801800,654.0779
2015-03-04,672.25,673.75,656.29999,659.5,1630000,641.4817
2015-03-05,659.90002,669.90002,655.25,667.79999,1352400,649.55492
2015-03-06,667.79999,667.79999,667.79999,667.79999,0,649.55492
2015-03-09,667,667,656.04999,660.09998,1423800,642.06528
2015-03-10,651,661.79999,645,654.29999,1749000,636.42375
2015-03-11,657.54999,677.59998,650.5,654.75,2285700,636.86147
2015-03-12,655.79999,656.95001,646.5,655.29999,1176600,637.39643
2015-03-13,658.40002,658.40002,631.95001,639.25,1876400,621.78495
2015-03-16,641.20001,650.95001,636.59998,646.25,1653800,628.5937
2015-03-17,650,651.40002,639.25,643.40002,1478000,625.82159
2015-03-18,647,648,628.75,631.40002,1673500,614.14944
2015-03-19,637.70001,642.70001,632.5,635.04999,1471500,617.69969
2015-03-20,638.70001,656.70001,636.65002,652.65002,2257000,634.81887
2015-03-23,652.70001,660.5,641.20001,645.09998,1149900,627.4751
2015-03-24,645,658.5,643.09998,652.25,1314500,634.42977
2015-03-25,651,663.95001,646.54999,661.09998,1098600,643.03796
2015-03-26,657.90002,657.90002,625.20001,631.90002,2292600,614.63578
2015-03-27,639.70001,641.59998,608.54999,612.15002,2559900,595.42538
2015-03-30,620,624.95001,616.20001,623.40002,1277700,606.36801
2015-03-31,623.04999,634.59998,618.20001,628.84998,1689500,611.66906
2015-04-01,623.40002,636.45001,620.20001,633.20001,1191500,615.90025
2015-04-02,633.20001,633.20001,633.20001,633.20001,0,615.90025
2015-04-03,633.20001,633.20001,633.20001,633.20001,0,615.90025
2015-04-06,628.95001,628.95001,617.40002,621.15002,1476000,604.17949
2015-04-07,623.40002,627.90002,609.15002,615.04999,1854500,598.24611
