"Date","WOCKPHARMA.NS.Open","WOCKPHARMA.NS.High","WOCKPHARMA.NS.Low","WOCKPHARMA.NS.Close","WOCKPHARMA.NS.Volume","WOCKPHARMA.NS.Adjusted"
2015-01-01,1012,1028.9,1008,1021.25,633400,1007.47
2015-01-02,1025,1044,1021,1034.4,860300,1020.44
2015-01-05,1031.3,1045.65,1030.2,1039.4,542800,1025.38
2015-01-06,1032.1,1032.1,969.25,979.55,1031200,966.33
2015-01-07,981,1003.85,977.5,997.65,1140200,984.19
2015-01-08,1022,1035.9,1017,1030.3,986300,1016.4
2015-01-09,1042.1,1084.75,1038.2,1076.8,1942800,1062.27
2015-01-12,1082.1,1100,1078.2,1093,1055900,1078.25
2015-01-13,1093,1116.4,1065.95,1071.55,1205400,1057.09
2015-01-14,1073,1073,1032,1040.45,849200,1026.41
2015-01-15,1054.1,1063.6,1021.1,1037.95,989200,1023.95
2015-01-16,1040.1,1052,1025,1035.5,712400,1021.53
2015-01-19,1042.3,1075,1042.3,1069.1,1094600,1054.68
2015-01-20,1079.7,1109,1076.5,1102.75,1633100,1087.87
2015-01-21,1106.1,1108.85,1072.05,1090.3,1023200,1075.59
2015-01-22,1086.1,1120,1076.3,1109.35,986700,1094.38
2015-01-23,1118.6,1135,1098,1121.8,1077900,1106.66
2015-01-26,1121.8,1121.8,1121.8,1121.8,0,1106.66
2015-01-27,1126,1152,1122.1,1144.25,1e+06,1128.81
2015-01-28,1136.1,1153.5,1128.05,1142.9,623000,1127.48
2015-01-29,1146.3,1189,1135,1182.4,1252800,1166.45
2015-01-30,1198.1,1215,1187.5,1207.9,828500,1191.6
2015-02-02,1190.3,1229,1190,1209.2,548300,1192.88
2015-02-03,1216.4,1225,1175.1,1181.7,590300,1165.76
2015-02-04,1190.95,1308.4,1153.15,1284.8,5284700,1267.46
2015-02-05,1306,1318.6,1221.1,1237.75,2944800,1221.05
2015-02-06,1242,1265.45,1211.5,1235.55,1326200,1218.88
2015-02-09,1229.9,1333,1218.05,1315.2,2652700,1297.45
2015-02-10,1314.8,1371.75,1306.25,1356.85,2369400,1338.54
2015-02-11,1375.1,1462.5,1369.2,1441.2,3285900,1421.75
2015-02-12,1438,1522.4,1403.75,1496.1,3684900,1475.91
2015-02-13,1508,1560,1494,1520.25,3203600,1499.74
2015-02-16,1533.8,1573.5,1515.6,1533.5,2026300,1512.81
2015-02-17,1533.5,1533.5,1533.5,1533.5,0,1512.81
2015-02-18,1541.6,1542.4,1484,1511.45,1344400,1491.06
2015-02-19,1519,1532.95,1482.65,1502.55,1123100,1482.28
2015-02-20,1497.9,1504.9,1458.5,1463.95,698800,1444.2
2015-02-23,1469.55,1540.8,1453,1533.05,2166900,1512.37
2015-02-24,1545,1582.9,1536.8,1568.65,2361200,1547.48
2015-02-25,1580,1612,1569,1603.9,2425200,1582.26
2015-02-26,1614.95,1616.25,1518.2,1549.7,3177000,1528.79
2015-02-27,1558,1590,1528,1584.35,1463200,1562.97
2015-03-02,1590,1666,1461.05,1660.4,1920200,1638
2015-03-03,1674,1697,1646,1665.7,1236100,1643.23
2015-03-04,1654.75,1693,1638.3,1652.6,1068800,1630.3
2015-03-05,1660.5,1705,1654,1694.75,934100,1671.88
2015-03-06,1694.75,1694.75,1694.75,1694.75,0,1671.88
2015-03-09,1700.95,1729.4,1680.85,1715.3,963700,1692.16
2015-03-10,1727.9,1804.9,1719.4,1781.65,2250600,1757.61
2015-03-11,1807,1833.45,1787.65,1803.5,1679300,1779.17
2015-03-12,1814.8,1815.95,1775.5,1808.5,1005000,1784.1
2015-03-13,1821.3,1824.9,1779,1791.1,941200,1766.93
2015-03-16,1797.4,1904,1787.75,1892.8,2026700,1867.26
2015-03-17,1919,1948,1905.2,1920.45,1744600,1894.54
2015-03-18,1900,1915,1850,1879.3,2104400,1853.94
2015-03-19,1960,1980,1894.95,1910.15,2276000,1884.38
2015-03-20,1914,1914,1795,1826.1,1827100,1801.46
2015-03-23,1834,1868,1795.1,1843.15,1637600,1818.28
