"Date","YESBANK.NS.Open","YESBANK.NS.High","YESBANK.NS.Low","YESBANK.NS.Close","YESBANK.NS.Volume","YESBANK.NS.Adjusted"
2015-01-01,769,774.65,766.05,772.55,735000,757.15
2015-01-02,773,795.8,771,792.2,2125400,776.4
2015-01-05,796.5,804.9,789.8,793.9,2832800,778.07
2015-01-06,788.55,788.8,768.35,771.65,2549800,756.26
2015-01-07,770,776,754.25,757.35,3113400,742.25
2015-01-08,770,774.5,761,769.15,2226100,753.81
2015-01-09,780,782.3,751.35,763.85,2653000,748.62
2015-01-12,766,781,758.5,777.85,1884600,762.34
2015-01-13,785.5,798.75,776,781.75,3599500,766.16
2015-01-14,787.95,793,775.2,786.7,6196700,771.01
2015-01-15,818,825,807,813.2,6019200,796.99
2015-01-16,813.5,818.7,800,802.65,4912700,786.65
2015-01-19,809.95,827.25,806.3,824.95,2934300,808.5
2015-01-20,827,862.95,827,858.35,4086800,841.24
2015-01-21,861,880,848.5,855.2,4883500,838.15
2015-01-22,859,862.9,841.4,852,2261400,835.01
2015-01-23,864.4,881.75,857.5,876.2,3743100,858.73
2015-01-26,876.2,876.2,876.2,876.2,0,858.73
2015-01-27,880,885,862.2,882.85,3523600,865.25
2015-01-28,881.2,895,874.35,883.8,3031100,866.18
2015-01-29,879.05,887.9,872,874.25,3622100,856.82
2015-01-30,878,885.95,857,862.45,3053800,845.25
2015-02-02,858.95,858.95,819.05,832.2,8153300,815.61
2015-02-03,839.9,840.7,801,807.15,5855500,791.06
2015-02-04,811,821.9,791.6,802.35,3634600,786.35
2015-02-05,800.8,827,794,807.85,3827300,791.74
2015-02-06,810,819.9,798.1,810.8,3011400,794.63
2015-02-09,805,807.5,791,796.55,2545300,780.67
2015-02-10,789.7,829.8,734,817.8,4361000,801.49
2015-02-11,820,835,820,826.55,2440300,810.07
2015-02-12,824.2,841.2,815.25,839.1,2972800,822.37
2015-02-13,842,845,831.25,835.05,2238500,818.4
2015-02-16,839.5,839.55,812.1,815.65,2529300,799.39
2015-02-17,815.65,815.65,815.65,815.65,0,799.39
2015-02-18,816,824.85,806.15,819.65,2533700,803.31
2015-02-19,823.5,827.2,802.6,813.35,2599600,797.13
2015-02-20,813.9,832,804,825.05,2502300,808.6
2015-02-23,841,841.8,806.75,811,3236100,794.83
2015-02-24,812,812,795,800.35,3431000,784.39
2015-02-25,803,810.65,793,794.85,3155000,779
