"Date","ZEEL.NS.Open","ZEEL.NS.High","ZEEL.NS.Low","ZEEL.NS.Close","ZEEL.NS.Volume","ZEEL.NS.Adjusted"
2015-01-01,381,381.05,377.05,377.7,321100,371.684
2015-01-02,378,383.5,378,380.95,960300,374.882
2015-01-05,379.1,381.6,377.1,380,842600,373.948
2015-01-06,377,378.45,361.2,367.9,1443100,362.04
2015-01-07,367.9,370,360.45,364.85,1527500,359.039
2015-01-08,366.85,372,362.1,364.5,729000,358.694
2015-01-09,367.5,368,357.25,360.8,1385700,355.053
2015-01-12,360.7,362.9,354.05,360.9,1646400,355.152
2015-01-13,362,367.5,360.4,361.75,1761200,355.988
2015-01-14,362,363.95,358,359.95,1392600,354.217
2015-01-15,363,370.75,361,369.4,2146700,363.516
2015-01-16,369.4,387.8,367.5,385.85,2633500,379.704
2015-01-19,388,389.6,381.05,384.6,798800,378.474
2015-01-20,384.9,393.2,380.8,390.7,1263200,384.477
2015-01-21,393,400.05,376.2,381.55,7657000,375.473
2015-01-22,384,390.8,383.5,389.5,1587400,383.296
2015-01-23,394,394.4,387.25,390.75,1321200,384.526
2015-01-26,390.75,390.75,390.75,390.75,0,384.526
2015-01-27,387.6,391.75,384.2,389.95,1179700,383.739
2015-01-28,387,391.55,385.15,387.3,2090300,381.131
2015-01-29,388,389.95,382.5,386.05,3507200,379.901
2015-01-30,386,386.85,373.05,376.75,1861000,370.749
2015-02-02,376,376,369.1,371.75,1280700,365.829
2015-02-03,372.25,376.3,371.6,373.1,1032400,367.158
2015-02-04,376,376,362,365.2,1900000,359.383
2015-02-05,365,367.75,359.15,360.65,3533900,354.906
2015-02-06,359.5,366.75,359.5,361.55,3206200,355.791
2015-02-09,360,360.3,348.1,351.8,1323300,346.197
2015-02-10,348.2,353.85,345.95,350,1895100,344.425
2015-02-11,351.85,351.85,341.2,345.5,3085800,339.997
2015-02-12,351,362.9,350.45,361.2,5612400,355.447
2015-02-13,362.3,367.05,360.25,363.9,1402200,358.104
2015-02-16,365,366,358.7,360.3,1061100,354.561
2015-02-17,360.3,360.3,360.3,360.3,0,354.561
2015-02-18,360.3,361.3,352.55,356.2,1613300,350.527
2015-02-19,358.6,361.45,350.55,353.4,794200,347.771
2015-02-20,353,360.5,352,358.8,976300,353.085
2015-02-23,358.8,361.4,342.7,344.6,1306700,339.111
2015-02-24,344.6,353.95,343.05,353,1248100,347.378
2015-02-25,352.7,353.6,347.1,348.55,1078700,342.999
2015-02-26,347.75,351.8,340,343.1,1938700,337.635
2015-02-27,346,350.45,342,348.95,5049100,343.392
2015-03-02,347.6,350.35,340.5,342.75,3356200,337.291
2015-03-03,346.5,349.25,340.75,347.95,4390000,342.408
2015-03-04,350.15,350.25,340.6,341.95,835700,336.504
2015-03-05,342,345.1,335,342,1293200,336.553
2015-03-06,342,342,342,342,0,336.553
2015-03-09,340,342.5,335.8,336.7,786700,331.337
2015-03-10,333.3,345.1,333.3,341.9,1391100,336.454
2015-03-11,342.25,350,339.15,348.7,1390200,343.146
2015-03-12,349.2,354,346.15,352.95,1309200,347.328
2015-03-13,354.9,356,342.85,344.2,809100,338.718
2015-03-16,344.25,356.5,340.3,353.75,1132800,348.116
2015-03-17,353.65,357.8,347.4,355.2,1805500,349.543
2015-03-18,355.7,370.95,354.2,366.3,2937100,360.466
2015-03-19,363.35,370.25,359,360.85,1364500,355.103
2015-03-20,361,361,351,353.55,1120200,347.919
2015-03-23,356,361.95,347.8,350.35,1973600,344.77
2015-03-24,348.4,355.95,346.35,354.05,510900,348.411
2015-03-25,352.4,355.05,346.15,349.05,1074600,343.491
2015-03-26,347.5,352.3,337.1,339.3,2189900,333.896
2015-03-27,341.25,342,331,337.5,3034100,332.125
2015-03-30,338.8,344.75,336.7,342.35,1415000,336.897
2015-03-31,344,344,336.65,341.75,1272300,336.307
2015-04-01,341.6,344.25,339.6,340.85,2323700,335.421
2015-04-02,340.85,340.85,340.85,340.85,0,335.421
2015-04-03,340.85,340.85,340.85,340.85,0,335.421
2015-04-06,343.85,344.85,336.6,338.2,1119500,332.813
2015-04-07,339.95,339.95,333.1,336.4,2070200,331.042
2015-04-08,336.45,342.25,336.45,340.4,2381300,334.978
2015-04-09,343,358.1,342,357.1,2486300,351.412
2015-04-10,356.5,356.8,345,347.15,1452900,341.621
2015-04-13,350.4,350.4,342.95,346.75,1800600,341.227
2015-04-14,346.75,346.75,346.75,346.75,0,341.227
2015-04-15,344.3,350.9,342.5,343.75,1392900,338.275
2015-04-16,343.75,343.75,335.2,340.15,1332800,334.732
2015-04-17,338.05,339.85,333.55,336.55,1942800,331.19
2015-04-20,337.25,337.5,325.05,327.8,2855000,322.579
2015-04-21,327.9,333.5,325,325.75,5400400,320.562
2015-04-22,326.5,330.25,313.4,322.85,3683200,317.708
2015-04-23,322.45,330.65,322,328.9,1577100,323.661
2015-04-24,328.9,331.4,319.05,320.8,2149500,315.69
2015-04-27,321.2,325.3,319.4,324.25,1785500,319.086
2015-04-28,322,323.45,315.25,320.8,1424500,315.69
2015-04-29,319.1,324.5,319,320.75,1660000,315.641
2015-04-30,317.9,319,311,312.05,2932500,307.08
