Close,Hi,Low
,ACC,
1496.016684,1443.119544,1548.913824
1494.216555,1418.975214,1569.457896
1494.20543,1401.409904,1587.000957
,ADANIENT,
148.4135022,137.6547467,159.1722577
149.2405773,134.4679181,164.0132365
149.5118991,130.8107939,168.2130043
,ADANIPORTS,
327.0758134,310.5039462,343.6476806
326.9485351,303.6590021,350.238068
325.938192,297.2691232,354.6072608
,ADANIPOWER,
32.60593896,30.08341654,35.12846138
32.6129731,28.97605131,36.24989489
32.69832457,28.15691825,37.23973089
,AJANTPHARM,
1720.014679,1596.278625,1843.750732
1726.08116,1547.674946,1904.487374
1726.047164,1520.589281,1931.505048
,ALBK,
73.28494609,68.64786056,77.92203161
73.25491811,66.50839339,80.00144284
73.28107691,65.07032009,81.49183372
,AMARAJABAT,
873.6327113,830.7277435,916.5376791
874.4307305,817.175672,931.6857891
873.6695061,804.1334144,943.2055978
,AMBUJACEM,
239.5079081,229.8221792,249.193637
239.3851452,225.7602395,253.010051
239.1486461,222.3375591,255.959733
,ANDHRABANK,
59.80102141,56.32878898,63.27325383
59.54505718,54.61887507,64.47123929
59.55718417,53.46484908,65.64951925
,APOLLOHOSP,
1167.693233,1108.205056,1227.18141
1166.881745,1081.554954,1252.208536
1166.533406,1065.500722,1267.566089
,APOLLOTYRE,
237.8173421,226.94558,248.6891042
237.1677995,221.8547928,252.4808063
237.024256,218.2602663,255.7882456
,ARVIND,
399.2535877,380.9036377,417.6035377
399.716211,374.5563703,424.8760516
399.8566116,369.6001718,430.1130514
,ASHOKLEY,
85.32285863,80.7572519,89.88846535
84.87382403,78.35396807,91.39367998
84.94896898,77.28375721,92.61418075
,ASIANPAINT,
1064.943944,1027.298889,1102.588998
1065.787367,1013.929213,1117.645521
1065.999631,1004.035605,1127.963657
,AUROPHARMA,
635.1485705,568.5828325,701.7143086
640.6541791,548.9576506,732.3507075
641.549206,537.7495563,745.3488558
,AXISBANK,
486.4834089,460.1681019,512.7987159
486.0396576,447.633347,524.4459682
486.4312832,439.5994115,533.263155
,BAJAJ-AUTO,
1512.433748,1459.523393,1565.344104
1513.20095,1437.925715,1588.476185
1511.615723,1418.770637,1604.460809
,BAJFINANCE,
1243.094071,1151.066946,1335.121196
1242.402208,1114.315336,1370.48908
1240.337288,1095.935462,1384.739114
,BANKBARODA,
175.2948599,153.8409559,196.7487638
175.2045753,144.8616268,205.5475239
175.202261,137.7931768,212.6113452
,BANKINDIA,
150.4121642,140.9489409,159.8753876
150.2839616,137.0292482,163.538675
150.2667181,134.1150412,166.418395
,BATAINDIA,
572.0332578,524.3064719,619.7600437
569.5738295,499.7595939,639.3880651
568.0506728,481.709764,654.3915816
,BEL,
180.7457894,-9.102225286,370.5938042
180.4544706,-79.01456906,439.9235103
180.6560278,-132.8110538,494.1231093
,BEML,
1368.715093,1306.541602,1430.888583
1371.159571,1279.821067,1462.498075
1373.170735,1257.389519,1488.951951
,BHARATFIN,
745.5988915,702.1874596,789.0103233
742.807198,680.58933,805.0250661
743.9922998,668.3361236,819.6484759
,BHARATFORG,
1073.627382,1019.427201,1127.827563
1074.616693,999.0784746,1150.154911
1073.766256,983.0041824,1164.528329
,BHARTIARTL,
342.8955398,327.0648112,358.7262684
342.8861873,321.2177287,364.5546458
342.9531867,316.6257222,369.2806513
,BHEL,
176.1284337,165.5570708,186.6997966
176.4099121,161.6152179,191.2046063
175.7755987,157.4032031,194.1479943
,BIOCON,
1094.495536,1061.622682,1127.36839
1094.223826,1049.605632,1138.842019
1094.898345,1040.990187,1148.806504
,BOSCHLTD,
22405.12054,21402.6437,23407.59739
22390.23513,20934.17211,23846.29814
22393.50912,20557.22732,24229.79093
,BPCL,
713.594705,671.9148092,755.2746008
715.5284409,655.82898,775.2279018
715.007139,641.02961,788.984668
,BRITANNIA,
3376.330271,3255.23967,3497.420871
3376.042411,3202.15263,3549.932192
3375.887466,3161.044762,3590.730169
,CADILAHC,
449.6162302,398.75874,500.4737203
444.4568166,373.7041627,515.2094704
444.328436,363.396905,525.259967
,CAIRN,
267.6941265,257.4539396,277.9343133
268.1269753,253.5880403,282.6659103
268.1909045,250.3733661,286.0084428
,CANBK,
323.0000913,306.0117789,339.9884037
323.0774381,298.7565043,347.398372
323.0785162,293.2336849,352.9233474
,CAPF,
769.9974222,738.8319538,801.1628906
768.7196721,724.2014968,813.2378475
769.5085627,715.0868792,823.9302462
,CASTROLIND,
423.8877893,406.397692,441.3778867
423.5919609,399.308938,447.8749837
423.7023078,393.5254637,453.8791519
,CEATLTD,
1446.366414,1383.465987,1509.266841
1447.766255,1356.549148,1538.983362
1448.947187,1336.263178,1561.631197
,CENTURYTEX,
1136.145783,1089.539627,1182.751939
1135.669932,1069.280357,1202.059508
1136.653701,1055.046638,1218.260764
,CESC,
911.0703751,882.974212,939.1665382
911.9969459,873.1212608,950.872631
911.5241731,863.2153092,959.8330371
,CGPOWER,
911.0703751,882.974212,939.1665382
911.9969459,873.1212608,950.872631
911.5241731,863.2153092,959.8330371
,CIPLA,
565.0825245,540.1897382,589.9753109
565.7692187,531.6151192,599.9233181
565.5221744,525.1346358,605.909713
,COALINDIA,
277.3904477,264.8694412,289.9114543
277.752444,260.2018751,295.3030129
278.0222491,256.940441,299.1040571
,COLPAL,
1032.100824,959.6772347,1104.524412
1029.424885,929.2977866,1129.551983
1025.955676,908.2923401,1143.619013
,CONCOR,
1188.339206,1124.9499,1251.728512
1192.381835,1100.596376,1284.167295
1198.794976,1083.542375,1314.047577
,CUMMINSIND,
967.7130768,927.5772129,1007.848941
966.5481695,912.1922185,1020.904121
966.1782989,901.8970016,1030.459596
,DABUR,
291.1405964,280.5902671,301.6909257
291.0606741,276.2846648,305.8366835
291.085952,273.7425195,308.4293845
,DALMIABHA,
2055.016481,1985.399843,2124.633119
2045.672471,1939.752588,2151.592354
2050.149547,1910.908025,2189.391069
,DCBBANK,
183.2393184,175.9117289,190.5669078
183.3056433,172.748683,193.8626036
183.4885235,170.5089464,196.4681006
,DHFL,
415.8313299,394.5546388,437.1080209
415.0502765,383.8581543,446.2423987
415.563725,375.6913841,455.4360659
,DISHTV,
98.75450072,92.90429375,104.6047077
98.65189691,90.33282226,106.9709716
98.94002341,88.78859531,109.0914515
,DIVISLAB,
631.8687592,536.1435418,727.5939766
632.9587761,495.5370291,770.380523
633.9152597,467.2638144,800.5667049
,DLF,
183.3952925,173.576077,193.2145079
181.8894308,168.2588704,195.5199912
182.8216285,166.6772336,198.9660234
,DRREDDY,
2610.074527,2456.415053,2763.734001
2611.102304,2378.867226,2843.337383
2612.179885,2317.149063,2907.210708
,EICHERMOT,
25611.80617,24633.23584,26590.3765
25562.11264,24136.19745,26988.02783
25591.07526,23823.07351,27359.07702
,ENGINERSIN,
167.5475067,155.5736809,179.5213325
167.8922632,150.0815033,185.7030231
167.9340342,146.331863,189.5362054
,EQUITAS,
171.0663115,162.2385686,179.8940544
171.3911407,158.6285839,184.1536975
171.5327888,155.9503901,187.1151875
,ESCORTS,
556.2401033,539.5146293,572.9655773
557.0697223,534.7743095,579.365135
558.0794526,531.272962,584.8859431
,EXIDEIND,
234.3811086,226.7175685,242.0446488
234.2537801,223.7358404,244.7717198
234.2004572,221.5344159,246.8664984
,FEDERALBNK,
91.88742056,85.65151275,98.12332836
92.23102443,82.88754021,101.5745086
92.21979191,80.87159026,103.5679936
,GAIL,
398.6502672,380.0731351,417.2273993
398.0721817,371.9655951,424.1787683
399.1106262,367.634945,430.5863074
,GLENMARK,
903.7073189,860.2142391,947.2003987
903.101247,839.6996679,966.5028262
903.0717181,826.6024095,979.5410268
,GMRINFRA,
17.51602428,16.46403069,18.56801787
17.51448644,16.0669579,18.96201498
17.53907911,15.79516037,19.28299784
,GODREJCP,
1680.029562,1613.244856,1746.814268
1680.851091,1586.552823,1775.149359
1679.809939,1568.160355,1791.459523
,GODREJIND,
522.0917546,503.2845579,540.8989513
522.9154792,496.3627318,549.4682267
522.9541232,489.7241178,556.1841285
,GRANULES,
150.0850889,136.638457,163.5317209
149.6326876,130.6790141,168.5863611
149.0476184,126.1152238,171.9800131
,GRASIM,
1100.030666,988.5227069,1211.538626
1099.601207,941.5900871,1257.612328
1083.432037,909.4720133,1257.392061
,HAVELLS,
490.3271599,474.7138863,505.9404335
490.4866968,468.6895237,512.28387
490.7700411,464.0605089,517.4795732
,HCLTECH,
815.4101854,740.0963274,890.7240435
820.9140211,716.9597227,924.8683195
822.6376126,706.2736393,939.001586
,HDFC,
1508.825559,1457.141417,1560.509701
1509.717935,1437.274506,1582.161364
1508.424822,1419.989077,1596.860567
,HDFCBANK,
1494.410963,1465.303049,1523.518877
1494.206567,1453.458005,1534.955129
1496.360305,1446.596249,1546.124361
,HDIL,
92.13876221,84.39867982,99.8788446
92.14586058,81.37610799,102.9156132
91.8690975,78.64174293,105.0964521
,HEROMOTOCO,
3204.25634,3099.757908,3308.754772
3203.568891,3049.62719,3357.510592
3204.227559,3014.588618,3393.866499
,HEXAWARE,
215.1339821,202.398192,227.8697721
215.6522257,198.1619308,233.1425205
215.3760405,193.8487006,236.9033804
,HINDALCO,
188.7429628,180.7250256,196.7609001
188.7336097,177.5409984,199.926221
188.1692792,174.394307,201.9442515
,HINDPETRO,
557.0646086,517.8128771,596.3163401
556.943823,501.7710839,612.1165622
556.9151513,490.1475942,623.6827085
,HINDUNILVR,
906.2323836,876.1725426,936.2922247
906.1763868,863.8172461,948.5355275
906.3411649,854.7117251,957.9706046
,HINDZINC,
272.9429938,261.5435297,284.342458
273.3474992,257.4012031,289.2937954
273.5504687,254.334039,292.7668984
,IBREALEST,
140.6321447,132.8346044,148.4296849
140.7383045,130.1068165,151.3697925
142.8325353,129.8753912,155.7896794
,IBULHSGFIN,
991.1829448,955.3740842,1026.991805
991.3496164,936.336948,1046.362285
991.4130471,922.6650162,1060.161078
,ICICIBANK,
268.6166821,254.7261611,282.5072031
269.0214426,249.3192316,288.7236536
269.6915364,245.4113263,293.9717465
,ICIL,
192.6847021,171.4770714,213.8923327
192.6898295,163.2440997,222.1355594
192.6998707,156.9696567,228.4300848
,IDBI,
72.26375026,67.56034486,76.96715566
72.26930239,65.63499369,78.90361109
72.23297467,63.874674,80.59127535
,IDEA,
85.33977856,77.42343473,93.25612238
85.44141247,73.83875787,97.04406707
85.35775788,71.10898857,99.6065272
,IDFC,
57.39391828,54.11854024,60.66929632
57.36698614,52.85632986,61.87764242
57.39083171,52.03537651,62.7462869
,IDFCBANK,
58.76549677,55.7568755,61.77411805
58.79885341,54.48309785,63.11460897
58.85971682,53.34113905,64.37829459
,IFCI,
29.36997856,27.63627489,31.10368223
29.38879809,27.01635649,31.76123969
29.38995469,26.45336056,32.32654883
,IGL,
1060.389906,1034.626727,1086.153084
1062.679994,1027.288936,1098.071051
1060.18439,1016.951012,1103.417768
,INDIACEM,
188.7608072,178.7655607,198.7560537
189.9112234,176.270948,203.5514988
189.9180774,173.4205844,206.4155705
,INDIANB,
260.0529424,247.2801496,272.8257351
260.210702,241.9295756,278.4918284
260.3713509,237.3860297,283.356672
,INDIGO,
1108.724915,1040.29131,1177.15852
